CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00607236  Best=0.00607236 BestError=0.00589426  Time=  55.7  Run Time=  56.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00092329  Best=0.00092329 BestError=0.00040855  Time=  55.7  Run Time=  56.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00491961  Best=0.00092329 BestError=0.00040855  Time=  56.0  Run Time=  56.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00086146  Best=0.00086146 BestError=0.00098152  Time=  56.0  Run Time=  57.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   4  Generation=  7  Age=  4  Evolution= 2  Weight=0.00062121  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   2.7  Run Time=  78.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   4  Generation=  6  Age=  3  Evolution= 2  Weight=0.00051767  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   5.1  Run Time=  80.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   4  Generation=  5  Age=  2  Evolution= 2  Weight=0.00041414  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   5.2  Run Time=  80.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=  16  Generation=  3  Age=  3  Evolution= 1  Weight=0.00037426  Old Result= 0.00018713  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   5.8  Run Time=  81.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00010353 BestError=0.00009623  Time=   7.3  Run Time=  82.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=  16  Generation=  7  Age=  7  Evolution= 1  Weight=0.00112278  Old Result= 0.00018713  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   4.8  Run Time=  82.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   4  Generation=  8  Age=  5  Evolution= 2  Weight=0.00072474  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   7.6  Run Time=  83.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=  16  Generation=  2  Age=  2  Evolution= 1  Weight=0.00018713  Old Result= 0.00018713 >New Result=0.00011191  Best=0.00010353 BestError=0.00009623  Time=   7.7  Run Time=  83.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=  16  Generation=  5  Age=  5  Evolution= 1  Weight=0.00074852  Old Result= 0.00018713  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   2.1  Run Time=  85.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   4  Generation= 11  Age=  8  Evolution= 2  Weight=0.00103535  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   4.7  Run Time=  85.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   4  Generation= 12  Age=  9  Evolution= 2  Weight=0.00113888  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   7.1  Run Time=  85.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   4  Generation=  9  Age=  6  Evolution= 2  Weight=0.00082828  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   3.5  Run Time=  86.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=  16  Generation=  6  Age=  6  Evolution= 1  Weight=0.00093565  Old Result= 0.00018713 >New Result=0.00014319  Best=0.00010353 BestError=0.00009623  Time=   6.1  Run Time=  86.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   4  Generation= 13  Age= 10  Evolution= 2  Weight=0.00124242  Old Result= 0.00010353  Bad Result=10.00000000  Best=0.00010353 BestError=0.00009623  Time=   3.6  Run Time=  86.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   4  Generation= 10  Age=  7  Evolution= 2  Weight=0.00093181  Old Result= 0.00010353 *New Result=0.00010002  Best=0.00010002 BestError=0.00008160  Time=   5.6  Run Time=  87.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=  16  Generation=  9  Age=  2  Evolution= 2  Weight=0.00089527  Old Result= 0.00011191  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.5  Run Time=  89.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=  16  Generation= 13  Age=  6  Evolution= 2  Weight=0.00134290  Old Result= 0.00011191  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.5  Run Time=  89.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=  16  Generation= 14  Age=  7  Evolution= 2  Weight=0.00145481  Old Result= 0.00011191  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.6  Run Time=  89.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=  16  Generation= 11  Age=  4  Evolution= 2  Weight=0.00111909  Old Result= 0.00011191  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.7  Run Time=  89.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=  16  Generation= 12  Age=  5  Evolution= 2  Weight=0.00123100  Old Result= 0.00011191  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.7  Run Time=  90.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=  16  Generation= 15  Age=  8  Evolution= 2  Weight=0.00156672  Old Result= 0.00011191  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.4  Run Time=  92.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=  16  Generation= 16  Age=  9  Evolution= 2  Weight=0.00167863  Old Result= 0.00011191  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.5  Run Time=  92.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   4  Generation= 18  Age=  5  Evolution= 3  Weight=0.00170033  Old Result= 0.00010002  Bad Result=10.00000000  Best=0.00010002 BestError=0.00008160  Time=   2.7  Run Time=  93.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.48324537  Best=0.00010002 BestError=0.00008160  Time=   6.7  Run Time=  93.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   4  Generation= 15  Age=  2  Evolution= 3  Weight=0.00140027  Old Result= 0.00010002 *New Result=0.00001987  Best=0.00001987 BestError=0.00002734  Time=   6.6  Run Time=  93.9
