instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 128;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.16391611  Result=0.16391611  Best=0.16391611  Seed=C0A9496D  ResultHash=C9A4  ProgramHash=1058
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 135  Best=0.01511335  Result=0.01572049  Best=0.01511335  Seed=C0A94B02  ResultHash=90A9  ProgramHash=5FE8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 136  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B05  ResultHash=6AB6  ProgramHash=0387
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 137  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B08  ResultHash=8A51  ProgramHash=50E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 138  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B0B  ResultHash=15C3  ProgramHash=DA53
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 139  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B0E  ResultHash=BF8C  ProgramHash=CDB0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 140  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B11  ResultHash=2C33  ProgramHash=58B9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 141  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B14  ResultHash=8563  ProgramHash=4664
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 142  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B17  ResultHash=9A32  ProgramHash=4664
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 143  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B1A  ResultHash=DC6B  ProgramHash=71E1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 144  Best=0.01511335  Result=0.01541984  Best=0.01511335  Seed=C0A94B1D  ResultHash=2CE7  ProgramHash=310C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 145  Best=0.01511335  Result=0.01519930  Best=0.01511335  Seed=C0A94B20  ResultHash=3FEE  ProgramHash=6481
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 146  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B23  ResultHash=0693  ProgramHash=8F8A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 147  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B26  ResultHash=5D1C  ProgramHash=92F3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 148  Best=0.01511335  Result=0.01518941  Best=0.01511335  Seed=C0A94B29  ResultHash=6658  ProgramHash=0361
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 149  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B2C  ResultHash=2F9F  ProgramHash=C65D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 150  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B2F  ResultHash=E7E6  ProgramHash=F244
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 151  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B32  ResultHash=E7E6  ProgramHash=6DA3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 152  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94B35  ResultHash=E45A  ProgramHash=6DA3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 153  Best=0.01511335  Result=0.01576883  Best=0.01511335  Seed=C0A94B38  ResultHash=9325  ProgramHash=DD01
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 154  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B3B  ResultHash=9EFF  ProgramHash=88D0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 155  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B3E  ResultHash=9EFF  ProgramHash=54C0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 156  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B41  ResultHash=410F  ProgramHash=F942
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 157  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B44  ResultHash=EB2A  ProgramHash=B140
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 158  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B47  ResultHash=65A7  ProgramHash=B4BB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 159  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B4A  ResultHash=4C77  ProgramHash=2562
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 160  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B4D  ResultHash=4C77  ProgramHash=8F9F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 161  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B50  ResultHash=6724  ProgramHash=3DD7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 162  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B53  ResultHash=9523  ProgramHash=3B2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 163  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B56  ResultHash=5BA6  ProgramHash=99BB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 164  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B59  ResultHash=4CCD  ProgramHash=07F1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 165  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B5C  ResultHash=748A  ProgramHash=07F1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 166  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B5F  ResultHash=748A  ProgramHash=CE76
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 167  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B62  ResultHash=556D  ProgramHash=92CD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 168  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B65  ResultHash=556D  ProgramHash=86A9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 169  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B68  ResultHash=556D  ProgramHash=B5C7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 170  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B6B  ResultHash=CC1B  ProgramHash=3CB5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 171  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B6E  ResultHash=8686  ProgramHash=3CB5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 172  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B71  ResultHash=EE75  ProgramHash=3CB5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 173  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B74  ResultHash=24EE  ProgramHash=9BC4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 174  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B77  ResultHash=24EE  ProgramHash=700A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 175  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B7A  ResultHash=FE1D  ProgramHash=A48B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 176  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B7D  ResultHash=4595  ProgramHash=E28A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 177  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B80  ResultHash=A042  ProgramHash=0EC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 178  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B83  ResultHash=AD42  ProgramHash=4E62
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 179  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B86  ResultHash=57F9  ProgramHash=4E62
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 180  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B89  ResultHash=5D33  ProgramHash=4E62
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 181  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B8C  ResultHash=8CF7  ProgramHash=E4BF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 182  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B8F  ResultHash=035C  ProgramHash=F839
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 183  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B92  ResultHash=857D  ProgramHash=3D10
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 184  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B95  ResultHash=4BF1  ProgramHash=19E4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 185  Best=0.01504743  Result=0.01504743  Best=0.01504743  Seed=C0A94B98  ResultHash=31EC  ProgramHash=0822
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00047082  Result=0.00047082  Best=0.00047082  Seed=C0A949CE  ResultHash=45EF  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00040680  Result=0.00040680  Best=0.00040680  Seed=C0A94A32  ResultHash=BACD  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00010419  Result=0.00010419  Best=0.00010419  Seed=C0A94A96  ResultHash=2E02  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00006491  Result=0.00006491  Best=0.00006491  Seed=C0A94AFA  ResultHash=A520  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00006446  Result=0.00006446  Best=0.00006446  Seed=C0A94B5E  ResultHash=E175  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00005603  Result=0.00005603  Best=0.00005603  Seed=C0A94BC2  ResultHash=A8F1  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00004625  Result=0.00004625  Best=0.00004625  Seed=C0A94C26  ResultHash=BC82  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00004578  Result=0.00004578  Best=0.00004578  Seed=C0A94C8A  ResultHash=D3F1  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00004459  Result=0.00004459  Best=0.00004459  Seed=C0A94CEE  ResultHash=922F  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00004459  Result=0.00004550  Best=0.00004459  Seed=C0A94D52  ResultHash=1503  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00004447  Result=0.00004447  Best=0.00004447  Seed=C0A94DB6  ResultHash=2DA0  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00004447  Result=0.00004743  Best=0.00004447  Seed=C0A94E1A  ResultHash=1255  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00004447  Result=0.00004447  Best=0.00004447  Seed=C0A94E7E  ResultHash=B57F  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00004424  Result=0.00004424  Best=0.00004424  Seed=C0A94EE2  ResultHash=DD75  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00004259  Result=0.00004259  Best=0.00004259  Seed=C0A94F46  ResultHash=17B2  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00004220  Result=0.00004220  Best=0.00004220  Seed=C0A94FAA  ResultHash=5EEB  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00004220  Result=0.00004339  Best=0.00004220  Seed=C0A9500E  ResultHash=BE3D  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00004220  Result=0.00004315  Best=0.00004220  Seed=C0A95072  ResultHash=69D6  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00004220  Result=0.00004256  Best=0.00004220  Seed=C0A950D6  ResultHash=1677  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00004220  Result=0.00004292  Best=0.00004220  Seed=C0A9513A  ResultHash=48C3  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00004220  Result=0.00004220  Best=0.00004220  Seed=C0A9519E  ResultHash=171B  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00004220  Result=0.00004280  Best=0.00004220  Seed=C0A95202  ResultHash=326F  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00004220  Result=0.00004327  Best=0.00004220  Seed=C0A95266  ResultHash=72E5  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00004220  Result=0.00004232  Best=0.00004220  Seed=C0A952CA  ResultHash=2323  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.00004184  Result=0.00004184  Best=0.00004184  Seed=C0A9532E  ResultHash=84E6  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.00004172  Result=0.00004172  Best=0.00004172  Seed=C0A95392  ResultHash=4D3C  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.00004101  Result=0.00004101  Best=0.00004101  Seed=C0A953F6  ResultHash=FAB1  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.00004101  Result=0.00004196  Best=0.00004101  Seed=C0A9545A  ResultHash=D197  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.00004101  Result=0.00004184  Best=0.00004101  Seed=C0A954BE  ResultHash=F27D  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00004101  Result=0.00004125  Best=0.00004101  Seed=C0A95522  ResultHash=BEFC  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00004077  Result=0.00004077  Best=0.00004077  Seed=C0A95586  ResultHash=F9B6  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00004065  Result=0.00004065  Best=0.00004065  Seed=C0A955EA  ResultHash=573B  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00004065  Result=0.00004125  Best=0.00004065  Seed=C0A9564E  ResultHash=BDC1  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00004065  Result=0.00004095  Best=0.00004065  Seed=C0A956B2  ResultHash=52CA  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00004029  Result=0.00004029  Best=0.00004029  Seed=C0A95716  ResultHash=B710  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00004029  Result=0.00004089  Best=0.00004029  Seed=C0A9577A  ResultHash=E6B7  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00004029  Result=0.00004053  Best=0.00004029  Seed=C0A957DE  ResultHash=D8F9  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00004029  Result=0.00004101  Best=0.00004029  Seed=C0A95842  ResultHash=6099  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00004029  Result=0.00004101  Best=0.00004029  Seed=C0A958A6  ResultHash=7BCB  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00004029  Result=0.00004101  Best=0.00004029  Seed=C0A9590A  ResultHash=E4EE  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00004029  Result=0.00004101  Best=0.00004029  Seed=C0A9596E  ResultHash=ACFC  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00004029  Result=0.00004083  Best=0.00004029  Seed=C0A959D2  ResultHash=C5D0  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00004005  Result=0.00004005  Best=0.00004005  Seed=C0A95A36  ResultHash=8096  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00004005  Result=0.00004041  Best=0.00004005  Seed=C0A95A9A  ResultHash=DAD8  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00004005  Result=0.00004053  Best=0.00004005  Seed=C0A95AFE  ResultHash=419D  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00004005  Result=0.00004053  Best=0.00004005  Seed=C0A95B62  ResultHash=E7C4  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00004005  Result=0.00004065  Best=0.00004005  Seed=C0A95BC6  ResultHash=9E4F  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.00004005  Result=0.00004065  Best=0.00004005  Seed=C0A95C2A  ResultHash=0202  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00004005  Result=0.00004077  Best=0.00004005  Seed=C0A95C8E  ResultHash=2EA5  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00004005  Result=0.00004089  Best=0.00004005  Seed=C0A95CF2  ResultHash=A3E2  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00004005  Result=0.00004059  Best=0.00004005  Seed=C0A95D56  ResultHash=7A28  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.00004005  Result=0.00004077  Best=0.00004005  Seed=C0A95DBA  ResultHash=4E98  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.00004005  Result=0.00004053  Best=0.00004005  Seed=C0A95E1E  ResultHash=B21D  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.00004005  Result=0.00004065  Best=0.00004005  Seed=C0A95E82  ResultHash=97A0  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.00004005  Result=0.00004077  Best=0.00004005  Seed=C0A95EE6  ResultHash=2C26  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.00004005  Result=0.00004077  Best=0.00004005  Seed=C0A95F4A  ResultHash=60F9  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.00004005  Result=0.00004053  Best=0.00004005  Seed=C0A95FAE  ResultHash=400D  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.00004005  Result=0.00004017  Best=0.00004005  Seed=C0A96012  ResultHash=9F33  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.00004005  Result=0.00004041  Best=0.00004005  Seed=C0A96076  ResultHash=AB11  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.00004005  Result=0.00004029  Best=0.00004005  Seed=C0A960DA  ResultHash=85CD  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.00004005  Result=0.00004059  Best=0.00004005  Seed=C0A9613E  ResultHash=14A8  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.00004005  Result=0.00004089  Best=0.00004005  Seed=C0A961A2  ResultHash=4EDF  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.00004005  Result=0.00004029  Best=0.00004005  Seed=C0A96206  ResultHash=CB94  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.00004005  Result=0.00004089  Best=0.00004005  Seed=C0A9626A  ResultHash=F67A  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.00004005  Result=0.00004029  Best=0.00004005  Seed=C0A962CE  ResultHash=1461  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.00004005  Result=0.00004065  Best=0.00004005  Seed=C0A96332  ResultHash=6BCB  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.00004005  Result=0.00004077  Best=0.00004005  Seed=C0A96396  ResultHash=0DE7  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.00004005  Result=0.00004065  Best=0.00004005  Seed=C0A963FA  ResultHash=8683  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.00004005  Result=0.00004077  Best=0.00004005  Seed=C0A9645E  ResultHash=E588  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.00004005  Result=0.00004053  Best=0.00004005  Seed=C0A964C2  ResultHash=23E5  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.00004005  Result=0.00004029  Best=0.00004005  Seed=C0A96526  ResultHash=E602  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.00004005  Result=0.00004077  Best=0.00004005  Seed=C0A9658A  ResultHash=E8AB  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.00004005  Result=0.00004047  Best=0.00004005  Seed=C0A965EE  ResultHash=C6F4  ProgramHash=88D0
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.00004005  Result=0.00004041  Best=0.00004005  Seed=C0A96652  ResultHash=7267  ProgramHash=88D0
