CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00021689  Best=0.00021689 BestError=0.00014874  Time=   7.6  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01479495  Best=0.00021689 BestError=0.00014874  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00061760  Best=0.00021689 BestError=0.00014874  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00637629  Best=0.00021689 BestError=0.00014874  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   6  Id=   0  Generation= 12  Age=  3  Evolution= 2  Weight=0.00121521  Old Result= 0.00011047  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   2.6  Run Time=  30.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   3  Id=  10  Generation=  6  Age=  4  Evolution= 2  Weight=0.00092715  Old Result= 0.00018543  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   4.9  Run Time=  33.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   5  Id=  10  Generation=  7  Age=  5  Evolution= 2  Weight=0.00111258  Old Result= 0.00018543  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   5.1  Run Time=  33.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   1  Id=  10  Generation=  4  Age=  2  Evolution= 2  Weight=0.00055629  Old Result= 0.00018543  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   7.7  Run Time=  35.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   2  Id=  10  Generation=  5  Age=  3  Evolution= 2  Weight=0.00074172  Old Result= 0.00018543  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   7.7  Run Time=  35.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.24038529  Best=0.00011047 BestError=0.00024051  Time=   7.8  Run Time=  36.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   4  Id=   0  Generation= 11  Age=  2  Evolution= 2  Weight=0.00110473  Old Result= 0.00011047  Bad Result=10.00000000  Best=0.00011047 BestError=0.00024051  Time=   7.9  Run Time=  36.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  15  Id=  10  Generation= 11  Age=  9  Evolution= 2  Weight=0.00185430  Old Result= 0.00018543 *New Result=0.00010294  Best=0.00010294 BestError=0.00017738  Time=   7.8  Run Time=  38.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  14  Id=   0  Generation= 17  Age=  8  Evolution= 2  Weight=0.00176758  Old Result= 0.00011047  Bad Result=10.00000000  Best=0.00010294 BestError=0.00017738  Time=   7.9  Run Time=  39.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  11  Id=   0  Generation= 15  Age=  6  Evolution= 2  Weight=0.00154663  Old Result= 0.00011047  Bad Result=10.00000000  Best=0.00010294 BestError=0.00017738  Time=   6.9  Run Time=  40.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  13  Id=  10  Generation= 10  Age=  8  Evolution= 2  Weight=0.00166887  Old Result= 0.00018543 >New Result=0.00014341  Best=0.00010294 BestError=0.00017738  Time=   7.0  Run Time=  40.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  10  Id=  10  Generation=  9  Age=  7  Evolution= 2  Weight=0.00148344  Old Result= 0.00018543 *New Result=0.00004911  Best=0.00004911 BestError=0.00004265  Time=   5.6  Run Time=  41.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   8  Id=   0  Generation= 13  Age=  4  Evolution= 2  Weight=0.00132568  Old Result= 0.00011047  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   5.6  Run Time=  42.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   9  Id=   0  Generation= 14  Age=  5  Evolution= 2  Weight=0.00143616  Old Result= 0.00011047 >New Result=0.00010934  Best=0.00004911 BestError=0.00004265  Time=   5.9  Run Time=  42.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  12  Id=   0  Generation= 16  Age=  7  Evolution= 2  Weight=0.00165710  Old Result= 0.00011047  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   5.7  Run Time=  42.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   4  Id=  10  Generation= 16  Age=  5  Evolution= 3  Weight=0.00073671  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.5  Run Time=  44.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   2  Id=  10  Generation= 14  Age=  3  Evolution= 3  Weight=0.00063848  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.5  Run Time=  44.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   5  Id=  10  Generation= 17  Age=  6  Evolution= 3  Weight=0.00078583  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.5  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   3  Id=  10  Generation= 15  Age=  4  Evolution= 3  Weight=0.00068760  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.6  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   7  Id=  10  Generation= 19  Age=  8  Evolution= 3  Weight=0.00088406  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.8  Run Time=  45.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   6  Id=  10  Generation= 18  Age=  7  Evolution= 3  Weight=0.00083494  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   5.1  Run Time=  47.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  10  Id=  10  Generation= 22  Age= 11  Evolution= 3  Weight=0.00103140  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.4  Run Time=  47.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  13  Id=  10  Generation= 25  Age= 14  Evolution= 3  Weight=0.00117874  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.5  Run Time=  47.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  12  Id=  10  Generation= 24  Age= 13  Evolution= 3  Weight=0.00112963  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.7  Run Time=  47.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  15  Id=  10  Generation= 27  Age= 16  Evolution= 3  Weight=0.00127697  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.4  Run Time=  47.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.12687159  Best=0.00004911 BestError=0.00004265  Time=   6.4  Run Time=  48.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   1  Id=  10  Generation= 13  Age=  2  Evolution= 3  Weight=0.00058937  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   6.5  Run Time=  48.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  11  Id=  10  Generation= 23  Age= 12  Evolution= 3  Weight=0.00108051  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   3.7  Run Time=  48.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  14  Id=  10  Generation= 26  Age= 15  Evolution= 3  Weight=0.00122786  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   1.2  Run Time=  48.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   8  Id=  10  Generation= 20  Age=  9  Evolution= 3  Weight=0.00093317  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   0.6  Run Time=  49.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   9  Id=  10  Generation= 21  Age= 10  Evolution= 3  Weight=0.00098228  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   1.3  Run Time=  50.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   5  Id=  10  Generation= 32  Age= 21  Evolution= 3  Weight=0.00152254  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.4  Run Time=  53.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   6  Id=  10  Generation= 33  Age= 22  Evolution= 3  Weight=0.00157166  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.5  Run Time=  53.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   7  Id=  10  Generation= 34  Age= 23  Evolution= 3  Weight=0.00162077  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.6  Run Time=  53.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   4  Id=  10  Generation= 31  Age= 20  Evolution= 3  Weight=0.00147343  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.6  Run Time=  53.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   1  Id=  10  Generation= 28  Age= 17  Evolution= 3  Weight=0.00132608  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.6  Run Time=  53.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  14  Id=  10  Generation= 40  Age= 29  Evolution= 3  Weight=0.00191545  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.4  Run Time=  55.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  15  Id=  10  Generation= 41  Age= 30  Evolution= 3  Weight=0.00196457  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   2.5  Run Time=  56.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   9  Id=  10  Generation= 36  Age= 25  Evolution= 3  Weight=0.00171900  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   3.2  Run Time=  56.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   3  Id=  10  Generation= 30  Age= 19  Evolution= 3  Weight=0.00142431  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00004911 BestError=0.00004265  Time=   6.7  Run Time=  57.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.02582240  Best=0.00004911 BestError=0.00004265  Time=   6.7  Run Time=  57.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   2  Id=  10  Generation= 29  Age= 18  Evolution= 3  Weight=0.00137520  Old Result= 0.00004911 *New Result=0.00001752  Best=0.00001752 BestError=0.00002629  Time=   6.8  Run Time=  57.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  13  Id=  12  Generation=  3  Age=  3  Evolution= 1  Weight=0.00187058  Old Result= 0.00093529 >New Result=0.00081769  Best=0.00001752 BestError=0.00002629  Time=   5.7  Run Time=  59.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  12  Id=  10  Generation= 39  Age= 28  Evolution= 3  Weight=0.00186634  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   5.6  Run Time=  59.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  10  Id=  10  Generation= 37  Age= 26  Evolution= 3  Weight=0.00176811  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   1.5  Run Time=  59.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   8  Id=  10  Generation= 35  Age= 24  Evolution= 3  Weight=0.00166988  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.2  Run Time=  59.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  11  Id=  10  Generation= 38  Age= 27  Evolution= 3  Weight=0.00181723  Old Result= 0.00004911  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.7  Run Time=  60.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   4  Id=  10  Generation= 46  Age=  5  Evolution= 4  Weight=0.00078857  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.2  Run Time=  62.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   2  Id=  10  Generation= 44  Age=  3  Evolution= 4  Weight=0.00075352  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.5  Run Time=  63.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   6  Id=  10  Generation= 48  Age=  7  Evolution= 4  Weight=0.00082362  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.6  Run Time=  63.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   3  Id=  10  Generation= 45  Age=  4  Evolution= 4  Weight=0.00077105  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.5  Run Time=  63.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   7  Id=  10  Generation= 49  Age=  8  Evolution= 4  Weight=0.00084114  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.6  Run Time=  63.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   5  Id=  10  Generation= 47  Age=  6  Evolution= 4  Weight=0.00080609  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.7  Run Time=  63.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  12  Id=  10  Generation= 54  Age= 13  Evolution= 4  Weight=0.00092876  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.5  Run Time=  65.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   1  Id=  10  Generation= 43  Age=  2  Evolution= 4  Weight=0.00073600  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   5.0  Run Time=  65.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  14  Id=  10  Generation= 56  Age= 15  Evolution= 4  Weight=0.00096381  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.5  Run Time=  65.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  13  Id=  10  Generation= 55  Age= 14  Evolution= 4  Weight=0.00094628  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.5  Run Time=  65.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  15  Id=  10  Generation= 57  Age= 16  Evolution= 4  Weight=0.00098133  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   2.6  Run Time=  66.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   0  Id=  20  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.66095060  Best=0.00001752 BestError=0.00002629  Time=   6.5  Run Time=  67.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   9  Id=  10  Generation= 51  Age= 10  Evolution= 4  Weight=0.00087619  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   1.3  Run Time=  67.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  10  Id=  10  Generation= 52  Age= 11  Evolution= 4  Weight=0.00089371  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00001752 BestError=0.00002629  Time=   4.7  Run Time=  68.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=  11  Id=  10  Generation= 53  Age= 12  Evolution= 4  Weight=0.00091124  Old Result= 0.00001752 *New Result=0.00000775  Best=0.00000775 BestError=0.00003231  Time=   4.7  Run Time=  68.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 2  Index=   8  Id=  10  Generation= 50  Age=  9  Evolution= 4  Weight=0.00085866  Old Result= 0.00001752  Bad Result=10.00000000  Best=0.00000775 BestError=0.00003231  Time=   1.2  Run Time=  68.4
