instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 34816;
iterations = 128;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00952005  Result=0.00962210  Best=0.00952005  Seed=C0A94A05  ResultHash=4B82  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00952005  Result=0.00962204  Best=0.00952005  Seed=C0A94A0A  ResultHash=B8F9  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00952005  Result=0.00962126  Best=0.00952005  Seed=C0A94A0F  ResultHash=7FE9  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00906557  Result=0.00906557  Best=0.00906557  Seed=C0A94A14  ResultHash=A0C8  ProgramHash=9F80
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00906557  Result=0.00962085  Best=0.00906557  Seed=C0A94A19  ResultHash=6A68  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00906557  Result=0.00959504  Best=0.00906557  Seed=C0A94A1E  ResultHash=49DC  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00906557  Result=0.00950757  Best=0.00906557  Seed=C0A94A23  ResultHash=E6EB  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00906557  Result=0.00950757  Best=0.00906557  Seed=C0A94A28  ResultHash=3538  ProgramHash=9F80
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00906557  Result=0.00950049  Best=0.00906557  Seed=C0A94A2D  ResultHash=53AD  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00906557  Result=0.00949734  Best=0.00906557  Seed=C0A94A32  ResultHash=6B7E  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00906557  Result=0.00948596  Best=0.00906557  Seed=C0A94A37  ResultHash=F954  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00906557  Result=0.00948811  Best=0.00906557  Seed=C0A94A3C  ResultHash=47EB  ProgramHash=1529
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00906557  Result=0.00948238  Best=0.00906557  Seed=C0A94A41  ResultHash=9737  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00906557  Result=0.00948209  Best=0.00906557  Seed=C0A94A46  ResultHash=108C  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00906557  Result=0.00948051  Best=0.00906557  Seed=C0A94A4B  ResultHash=5EF4  ProgramHash=F8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00864577  Result=0.00864577  Best=0.00864577  Seed=C0A94A50  ResultHash=DBF0  ProgramHash=B010
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00864577  Result=0.00946891  Best=0.00864577  Seed=C0A94A55  ResultHash=A795  ProgramHash=36E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.00864577  Result=0.00947976  Best=0.00864577  Seed=C0A94A5A  ResultHash=7E1C  ProgramHash=6935
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00864577  Result=0.00947976  Best=0.00864577  Seed=C0A94A5F  ResultHash=B421  ProgramHash=28E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00864577  Result=0.00947952  Best=0.00864577  Seed=C0A94A64  ResultHash=1F59  ProgramHash=C701
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00864577  Result=0.00947952  Best=0.00864577  Seed=C0A94A69  ResultHash=440D  ProgramHash=4205
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.00864577  Result=0.00947943  Best=0.00864577  Seed=C0A94A6E  ResultHash=0C97  ProgramHash=C701
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.00864577  Result=0.00947905  Best=0.00864577  Seed=C0A94A73  ResultHash=C846  ProgramHash=C701
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.00864577  Result=0.00947864  Best=0.00864577  Seed=C0A94A78  ResultHash=7D02  ProgramHash=C701
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.00864577  Result=0.00947864  Best=0.00864577  Seed=C0A94A7D  ResultHash=F36D  ProgramHash=C701
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.00864577  Result=0.00947863  Best=0.00864577  Seed=C0A94A82  ResultHash=767D  ProgramHash=C701
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.00864577  Result=0.00947863  Best=0.00864577  Seed=C0A94A87  ResultHash=1F19  ProgramHash=B650
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.00864577  Result=0.00947863  Best=0.00864577  Seed=C0A94A8C  ResultHash=C298  ProgramHash=C701
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.00864577  Result=0.00913106  Best=0.00864577  Seed=C0A94A91  ResultHash=4A81  ProgramHash=1656
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.00864577  Result=0.00947863  Best=0.00864577  Seed=C0A94A96  ResultHash=767D  ProgramHash=C701
