CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00023317  Best=0.00023317 BestError=0.00022721  Time=   7.2  Run Time=   7.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00164735  Best=0.00023317 BestError=0.00022721  Time=   7.4  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00010255  Best=0.00010255 BestError=0.00016545  Time=   7.6  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.07555139  Best=0.00010255 BestError=0.00016545  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   7  Id=   7  Generation=  8  Age=  5  Evolution= 2  Weight=0.00059748  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.5  Run Time=  29.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   2  Generation=  6  Age=  6  Evolution= 1  Weight=0.00051275  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.7  Run Time=  30.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   3  Id=   7  Generation=  7  Age=  4  Evolution= 2  Weight=0.00051212  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.7  Run Time=  30.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   6  Id=   5  Generation=  5  Age=  2  Evolution= 2  Weight=0.00056005  Old Result= 0.00014001  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   4.8  Run Time=  32.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  15  Id=   2  Generation=  8  Age=  8  Evolution= 1  Weight=0.00071785  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.5  Run Time=  32.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  11  Id=   1  Generation=  6  Age=  3  Evolution= 2  Weight=0.00065982  Old Result= 0.00013196  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.5  Run Time=  32.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  12  Id=  15  Generation=  5  Age=  5  Evolution= 1  Weight=0.00066125  Old Result= 0.00016531  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.7  Run Time=  32.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=   7  Generation=  5  Age=  2  Evolution= 2  Weight=0.00034142  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   6.7  Run Time=  34.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00024469  Best=0.00008535 BestError=0.00013423  Time=   6.9  Run Time=  34.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   5  Id=   1  Generation=  5  Age=  2  Evolution= 2  Weight=0.00052786  Old Result= 0.00013196  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   6.9  Run Time=  34.2
