variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 34816;
iterations = 128;
candidates = 16;
generations = 2;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.03184569  Result=0.03184569  Seed=C0A949AE  ResultHash=826C  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.03184563  Result=0.03184563  Seed=C0A949B0  ResultHash=627F  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.03184563  Result=0.03184563  Seed=C0A949B2  ResultHash=627F  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.03184557  Result=0.03184557  Seed=C0A949B4  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.03184557  Result=0.03184557  Seed=C0A949B6  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.03184557  Result=0.03184557  Seed=C0A949B8  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.03184557  Result=0.03184557  Seed=C0A949BA  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.03184557  Result=0.03184557  Seed=C0A949BC  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.03184557  Result=0.03184557  Seed=C0A949BE  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.03184557  Result=0.03184557  Seed=C0A949C0  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.03184557  Result=0.03184557  Seed=C0A949C2  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.03184557  Result=0.03184557  Seed=C0A949C4  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.03184557  Result=0.03184557  Seed=C0A949C6  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.03184557  Result=0.03184557  Seed=C0A949C8  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.03184557  Result=0.03184557  Seed=C0A949CA  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.03184557  Result=0.03184557  Seed=C0A949CC  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.03184557  Result=0.03184557  Seed=C0A949CE  ResultHash=08E1  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.03161776  Result=0.03161776  Seed=C0A949D0  ResultHash=1749  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.03129196  Result=0.03129196  Seed=C0A949D2  ResultHash=2AD0  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.03129196  Result=0.03129196  Seed=C0A949D4  ResultHash=2AD0  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.03125656  Result=0.03125656  Seed=C0A949D6  ResultHash=822F  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.03124976  Result=0.03124976  Seed=C0A949D8  ResultHash=E9ED  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.03124380  Result=0.03124380  Seed=C0A949DA  ResultHash=11E6  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.03123415  Result=0.03123415  Seed=C0A949DC  ResultHash=9B16  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.03123415  Result=0.03123415  Seed=C0A949DE  ResultHash=9B16  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.03123200  Result=0.03123200  Seed=C0A949E0  ResultHash=F700  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.03123200  Result=0.03123200  Seed=C0A949E2  ResultHash=F700  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.03123057  Result=0.03123057  Seed=C0A949E4  ResultHash=135A  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.03122953  Result=0.03122953  Seed=C0A949E6  ResultHash=5AA7  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.03122950  Result=0.03122950  Seed=C0A949E8  ResultHash=648A  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.03122866  Result=0.03122866  Seed=C0A949EA  ResultHash=DC2B  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.03122866  Result=0.03122866  Seed=C0A949EC  ResultHash=DC2B  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.03122832  Result=0.03122832  Seed=C0A949EE  ResultHash=CD67  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.03122824  Result=0.03122824  Seed=C0A949F0  ResultHash=C87F  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.03122824  Result=0.03122824  Seed=C0A949F2  ResultHash=C87F  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.03122818  Result=0.03122818  Seed=C0A949F4  ResultHash=B930  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.03122818  Result=0.03122818  Seed=C0A949F6  ResultHash=B930  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.03113484  Result=0.03113484  Seed=C0A949F8  ResultHash=6C8A  ProgramHash=AF2D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.03108247  Result=0.03108247  Seed=C0A949FA  ResultHash=353A  ProgramHash=AF2D
