CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_SELECT
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
population = 32768
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
attempts = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f

FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  1  Old Result=0.77470219 >New Result=0.00048700  MinIndex=28938  Best=0.00013930   BestAge=11  Time=1.183  Run Time=59.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  1  Old Result=0.90972596 >New Result=0.00091600  MinIndex=16491  Best=0.00013930   BestAge=12  Time=1.183  Run Time=59.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  1  Old Result=0.95686567 >New Result=0.00674070  MinIndex=18651  Best=0.00013930   BestAge=13  Time=1.183  Run Time=59.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  1  Old Result=0.98988152 >New Result=0.00398588  MinIndex=401  Best=0.00013930   BestAge=14  Time=1.183  Run Time=59.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  2  Old Result=0.85727119 >New Result=0.00057392  MinIndex=11161  Best=0.00013930   BestAge=16  Time=1.181  Run Time=76.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  2  Old Result=0.86568511 >New Result=0.00226465  MinIndex=3159  Best=0.00013930   BestAge=17  Time=1.181  Run Time=76.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  2  Old Result=0.62231839 >New Result=0.00032467  MinIndex=17491  Best=0.00013930   BestAge=18  Time=1.182  Run Time=76.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  2  Old Result=0.90475059 >New Result=0.00084084  MinIndex=9863  Best=0.00013930   BestAge=19  Time=1.182  Run Time=76.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  2  Old Result=0.89586675 >New Result=0.00291980  MinIndex=20108  Best=0.00013930   BestAge=20  Time=1.182  Run Time=76.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  2  Old Result=0.88484859 >New Result=0.00068367  MinIndex=16647  Best=0.00013930   BestAge=21  Time=1.182  Run Time=76.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 4  Generation=  2  Old Result=0.83237243 >New Result=0.00792041  MinIndex=20976  Best=0.00013930   BestAge=22  Time=1.182  Run Time=76.7
