variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.03658713  Result=0.07657827  Best=0.03658713  Seed=C0A949C7  ResultHash=BFC4  ProgramHash=3F9C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.03658713  Result=0.06821465  Best=0.03658713  Seed=C0A949CA  ResultHash=E12D  ProgramHash=7304
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.03658713  Result=0.04379690  Best=0.03658713  Seed=C0A949CD  ResultHash=5BDF  ProgramHash=C9E8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.03658713  Result=0.05078602  Best=0.03658713  Seed=C0A949D0  ResultHash=13B9  ProgramHash=82ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.03658713  Result=0.05395949  Best=0.03658713  Seed=C0A949D3  ResultHash=E38D  ProgramHash=E420
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.03658713  Result=0.05170061  Best=0.03658713  Seed=C0A949D6  ResultHash=BFCD  ProgramHash=6BAF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.03658713  Result=0.05274000  Best=0.03658713  Seed=C0A949D9  ResultHash=A8BC  ProgramHash=7193
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.03658713  Result=0.06928504  Best=0.03658713  Seed=C0A949DC  ResultHash=58DF  ProgramHash=772A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.03658713  Result=0.05746162  Best=0.03658713  Seed=C0A949DF  ResultHash=444C  ProgramHash=F787
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.03658713  Result=0.04625575  Best=0.03658713  Seed=C0A949E2  ResultHash=4836  ProgramHash=7F9C
