instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 256;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00369012  Result=0.00369012  Best=0.00369012  Seed=C0A94A05  ResultHash=680C  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00369012  Result=0.00369775  Best=0.00369012  Seed=C0A94A0A  ResultHash=409A  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00366341  Result=0.00366341  Best=0.00366341  Seed=C0A94A0F  ResultHash=8A1A  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00366341  Result=0.00366759  Best=0.00366341  Seed=C0A94A14  ResultHash=5E45  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00361415  Result=0.00361415  Best=0.00361415  Seed=C0A94A19  ResultHash=13BD  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00361415  Result=0.00361561  Best=0.00361415  Seed=C0A94A1E  ResultHash=1078  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00339687  Result=0.00339687  Best=0.00339687  Seed=C0A94A23  ResultHash=9C62  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00339687  Result=0.00340712  Best=0.00339687  Seed=C0A94A28  ResultHash=B43E  ProgramHash=D351
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00331545  Result=0.00331545  Best=0.00331545  Seed=C0A94A2D  ResultHash=D4BA  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00329387  Result=0.00329387  Best=0.00329387  Seed=C0A94A32  ResultHash=874C  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00329387  Result=0.00330973  Best=0.00329387  Seed=C0A94A37  ResultHash=A584  ProgramHash=C6D2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00329387  Result=0.00330853  Best=0.00329387  Seed=C0A94A3C  ResultHash=B60F  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00329387  Result=0.00330865  Best=0.00329387  Seed=C0A94A41  ResultHash=0519  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00329148  Result=0.00329148  Best=0.00329148  Seed=C0A94A46  ResultHash=9ED3  ProgramHash=61E5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00329148  Result=0.00330973  Best=0.00329148  Seed=C0A94A4B  ResultHash=16C8  ProgramHash=412D
