CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Generation=28  Age=3  Result=0.00533533  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3599 Seconds  Run Time=13.7336 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=29  Age=4  Result=0.00127077  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3537 Seconds  Run Time=14.0874 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=30  Age=5  Result=0.00100173  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3560 Seconds  Run Time=14.4433 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=31  Age=6  Result=0.00072506  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3560 Seconds  Run Time=14.7993 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=32  Age=7  Result=0.00095797  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3527 Seconds  Run Time=15.1520 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=33  Age=8  Result=0.00067388  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3541 Seconds  Run Time=15.5061 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=34  Age=9  Result=0.00171047  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3579 Seconds  Run Time=15.8640 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=35  Age=10  Result=0.00170067  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3604 Seconds  Run Time=16.2245 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=36  Age=11  Result=0.00092798  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3587 Seconds  Run Time=16.5832 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=37  Age=12  Result=0.00097522  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3633 Seconds  Run Time=16.9465 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=38  Age=13  Result=0.00062692  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.4487 Seconds  Run Time=17.3952 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=39  Age=14  Result=0.00066102  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3581 Seconds  Run Time=17.7533 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=40  Age=15  Result=0.00050128  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3565 Seconds  Run Time=18.1097 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=41  Age=16  Result=0.00081128  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.4436 Seconds  Run Time=18.5533 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=42  Age=17  Result=0.00125635  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3593 Seconds  Run Time=18.9126 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=43  Age=18  Result=0.00127316  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3515 Seconds  Run Time=19.2641 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=44  Age=19  Result=0.00217330  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3550 Seconds  Run Time=19.6191 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=45  Age=20  Result=0.00113368  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3607 Seconds  Run Time=19.9799 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=46  Age=21  Result=0.00048178  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3538 Seconds  Run Time=20.3337 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=47  Age=22  Result=0.00099834  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.5384 Seconds  Run Time=20.8721 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=48  Age=23  Result=0.00076976  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3528 Seconds  Run Time=21.2249 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Generation=49  Age=24  Result=0.00072177  Best=0.00045991  BestSeed=0  BestGen=25  Time=0.3708 Seconds  Run Time=21.5957 Seconds  TestError=0.00000012
