CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_SELECT
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 1
states = 16
population = 32768
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
attempts = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f

FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  1  Old Result=0.00023925  Bad Result=10.00000000  MinIndex=19517  Best=0.00023925   BestAge=17  Time=2.615  Run Time=21.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  1  Old Result=0.00023925  Bad Result=10.00000000  MinIndex=28110  Best=0.00023925   BestAge=17  Time=2.615  Run Time=21.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  1  Old Result=0.00147371 >New Result=0.00131684  MinIndex=18417  Best=0.00023925   BestAge=18  Time=2.615  Run Time=21.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  1  Old Result=0.00076477  Bad Result=10.00000000  MinIndex=2162  Best=0.00023925   BestAge=18  Time=2.615  Run Time=21.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.89592689 >New Result=0.00498262  MinIndex=29601  Best=0.00023925   BestAge=20  Time=2.029  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00038568  Bad Result=10.00000000  MinIndex=13132  Best=0.00023925   BestAge=20  Time=2.029  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00038568  Bad Result=10.00000000  MinIndex=23196  Best=0.00023925   BestAge=20  Time=2.029  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00038568  Bad Result=10.00000000  MinIndex=29716  Best=0.00023925   BestAge=20  Time=2.029  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00131684  Bad Result=10.00000000  MinIndex=17427  Best=0.00023925   BestAge=20  Time=2.029  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00038434 *New Result=0.00007933  MinIndex=4165  Best=0.00007933   BestAge=0  Time=2.029  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00038568 >New Result=0.00020852  MinIndex=14416  Best=0.00007933   BestAge=1  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00155237  Bad Result=10.00000000  MinIndex=9469  Best=0.00007933   BestAge=1  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00079298  Bad Result=10.00000000  MinIndex=22460  Best=0.00007933   BestAge=1  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00023925  Bad Result=10.00000000  MinIndex=32557  Best=0.00007933   BestAge=1  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00023925  Bad Result=10.00000000  MinIndex=27631  Best=0.00007933   BestAge=1  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00038434 >New Result=0.00026572  MinIndex=30563  Best=0.00007933   BestAge=2  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00038568  Bad Result=10.00000000  MinIndex=13134  Best=0.00007933   BestAge=2  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00097405 >New Result=0.00086807  MinIndex=1322  Best=0.00007933   BestAge=3  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00023925  Bad Result=10.00000000  MinIndex=16364  Best=0.00007933   BestAge=3  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  2  Old Result=0.00076477  Bad Result=10.00000000  MinIndex=11845  Best=0.00007933   BestAge=3  Time=2.032  Run Time=30.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.86782467 >New Result=0.00797257  MinIndex=8649  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=22841  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=27713  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=7009  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=12764  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=31203  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=24490  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=31020  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=5952  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=31145  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=3265  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=22210  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=5331  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=18289  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=16151  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  3  Old Result=0.00086807  Bad Result=10.00000000  MinIndex=4331  Best=0.00007933   BestAge=5  Time=1.276  Run Time=39.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.90788949 >New Result=0.00070238  MinIndex=10084  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=22296  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=29375  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=13347  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=1590  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=8010  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=31269  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=20613  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=21569  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=9444  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=19657  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=13946  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=17608  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=5909  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=22322  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  4  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=20607  Best=0.00007933   BestAge=7  Time=1.480  Run Time=48.2
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.78809857 >New Result=0.00280654  MinIndex=29182  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00070238  Bad Result=10.00000000  MinIndex=30275  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00070238  Bad Result=10.00000000  MinIndex=30616  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00086807  Bad Result=10.00000000  MinIndex=4730  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=20252  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=26300  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=9605  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=2990  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=7624  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=4814  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=26138  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00070238  Bad Result=10.00000000  MinIndex=30248  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=7063  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=3041  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00020852  Bad Result=10.00000000  MinIndex=3172  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  5  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=9520  Best=0.00007933   BestAge=9  Time=1.690  Run Time=57.1
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.80062753 >New Result=0.00363809  MinIndex=18793  Best=0.00007933   BestAge=11  Time=2.100  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00233629  Bad Result=10.00000000  MinIndex=28183  Best=0.00007933   BestAge=11  Time=2.100  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00234586  Bad Result=10.00000000  MinIndex=12886  Best=0.00007933   BestAge=11  Time=2.100  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00079298  Bad Result=10.00000000  MinIndex=17183  Best=0.00007933   BestAge=11  Time=2.100  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=17388  Best=0.00007933   BestAge=11  Time=2.100  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00023925  Bad Result=10.00000000  MinIndex=30305  Best=0.00007933   BestAge=11  Time=2.100  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=1211  Best=0.00007933   BestAge=11  Time=2.100  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00020852 >New Result=0.00017478  MinIndex=1227  Best=0.00007933   BestAge=12  Time=2.101  Run Time=66.4
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 0  Generation=  6  Old Result=0.00007933  Bad Result=10.00000000  MinIndex=22109  Best=0.00007933   BestAge=12  Time=2.101  Run Time=66.4
