instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.05471969  Result=0.06332956  Best=0.05471969  Seed=C0A94A8C  ResultHash=3B35  ProgramHash=349B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.05471969  Result=0.06351578  Best=0.05471969  Seed=C0A94A96  ResultHash=E30B  ProgramHash=857D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.05471969  Result=0.06286830  Best=0.05471969  Seed=C0A94AA0  ResultHash=191C  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.05471969  Result=0.06301594  Best=0.05471969  Seed=C0A94AAA  ResultHash=F9FC  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.05471969  Result=0.06299162  Best=0.05471969  Seed=C0A94AB4  ResultHash=7CDF  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.05471969  Result=0.06268132  Best=0.05471969  Seed=C0A94ABE  ResultHash=7ABB  ProgramHash=3D24
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.05471969  Result=0.06318015  Best=0.05471969  Seed=C0A94AC8  ResultHash=C358  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.05471969  Result=0.06191045  Best=0.05471969  Seed=C0A94AD2  ResultHash=731C  ProgramHash=083B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.05471969  Result=0.06228894  Best=0.05471969  Seed=C0A94ADC  ResultHash=8628  ProgramHash=FBBA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.05471969  Result=0.06272197  Best=0.05471969  Seed=C0A94AE6  ResultHash=035F  ProgramHash=8F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.05471969  Result=0.06369019  Best=0.05471969  Seed=C0A94AF0  ResultHash=5CCF  ProgramHash=8F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.05471969  Result=0.06223524  Best=0.05471969  Seed=C0A94AFA  ResultHash=7DB7  ProgramHash=406C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.05471969  Result=0.06218427  Best=0.05471969  Seed=C0A94B04  ResultHash=12F6  ProgramHash=EDF8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.05471969  Result=0.06187833  Best=0.05471969  Seed=C0A94B0E  ResultHash=0AC0  ProgramHash=A2B3
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00302854  Result=0.00302854  Best=0.00302854  Seed=C0A949CE  ResultHash=529A  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00257313  Result=0.00257313  Best=0.00257313  Seed=C0A94A32  ResultHash=9C32  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00228128  Result=0.00228128  Best=0.00228128  Seed=C0A94A96  ResultHash=F812  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00213602  Result=0.00213602  Best=0.00213602  Seed=C0A94AFA  ResultHash=DB70  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00213602  Result=0.00213659  Best=0.00213602  Seed=C0A94B5E  ResultHash=F2B4  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00197023  Result=0.00197023  Best=0.00197023  Seed=C0A94BC2  ResultHash=3019  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00184450  Result=0.00184450  Best=0.00184450  Seed=C0A94C26  ResultHash=02F5  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00168264  Result=0.00168264  Best=0.00168264  Seed=C0A94C8A  ResultHash=E408  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00165403  Result=0.00165403  Best=0.00165403  Seed=C0A94CEE  ResultHash=5198  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00160146  Result=0.00160146  Best=0.00160146  Seed=C0A94D52  ResultHash=654C  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00158811  Result=0.00158811  Best=0.00158811  Seed=C0A94DB6  ResultHash=BF3B  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00153512  Result=0.00153512  Best=0.00153512  Seed=C0A94E1A  ResultHash=7020  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00146879  Result=0.00146879  Best=0.00146879  Seed=C0A94E7E  ResultHash=E236  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00143251  Result=0.00143251  Best=0.00143251  Seed=C0A94EE2  ResultHash=1C2A  ProgramHash=F3B8
