instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00053030  Result=0.00168586  Best=0.00053030  Seed=C0A95522  ResultHash=CBC9  ProgramHash=4EF8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00053030  Result=0.00187600  Best=0.00053030  Seed=C0A95586  ResultHash=1BE6  ProgramHash=4EF8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00053030  Result=0.00175056  Best=0.00053030  Seed=C0A955EA  ResultHash=64B8  ProgramHash=7142
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00053030  Result=0.00113821  Best=0.00053030  Seed=C0A9564E  ResultHash=A2CE  ProgramHash=9686
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00053030  Result=0.00137681  Best=0.00053030  Seed=C0A956B2  ResultHash=9D49  ProgramHash=9686
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00053030  Result=0.00223939  Best=0.00053030  Seed=C0A95716  ResultHash=8CDF  ProgramHash=9686
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00053030  Result=0.00086562  Best=0.00053030  Seed=C0A9577A  ResultHash=F34B  ProgramHash=9686
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00053030  Result=0.00117683  Best=0.00053030  Seed=C0A957DE  ResultHash=4940  ProgramHash=BFA2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00053030  Result=0.00096557  Best=0.00053030  Seed=C0A95842  ResultHash=5216  ProgramHash=FC0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00053030  Result=0.00083447  Best=0.00053030  Seed=C0A958A6  ResultHash=467E  ProgramHash=FC0F
