CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090 Laptop GPU

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_OPTIMIZE
evolveSeed = 0
optimizeSeed = 0
tests = 256
streams = 1
units = 1
states = 1
population = 262144
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  2  Result=10.00000000  Best=0.00006938   Time=1.383  Run Time=162.9
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  2  Result=10.00000000  Best=0.00006938   Time=1.383  Run Time=162.9
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  2  Result=0.00021041  Best=0.00006938   Time=1.383  Run Time=162.9
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  2  Result=10.00000000  Best=0.00006938   Time=1.383  Run Time=162.9
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  2  Result=10.00000000  Best=0.00006938   Time=1.383  Run Time=162.9
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  2  Result=10.00000000  Best=0.00006938   Time=1.383  Run Time=162.9
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  2  Result=10.00000000  Best=0.00006938   Time=1.383  Run Time=162.9
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  3  Result=0.00093912  Best=0.00006938   Time=1.313  Run Time=207.5
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  3  Result=0.00015122  Best=0.00006938   Time=1.313  Run Time=207.5
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  3  Result=0.00018239  Best=0.00006938   Time=1.313  Run Time=207.5
FIRESTARTER_OPTIMIZE: Seed=0  Test= 0  Generation=  3  Result=10.00000000  Best=0.00006938   Time=1.313  Run Time=207.5
