CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
instructions = 32
registers = 30
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_NEW
evolveSeed = 0
optimizeSeed = 0
tests = 256
streams = 1
units = 1
states = 1
generations = 100
population = 65536
passes = 1
attempts = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 26  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=23  Time=0.1  Run Time=2.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 27  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=24  Time=0.1  Run Time=2.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 28  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=25  Time=0.1  Run Time=2.7
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 29  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=26  Time=0.1  Run Time=2.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 30  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=27  Time=0.1  Run Time=2.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 31  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=28  Time=0.1  Run Time=2.9
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 32  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=29  Time=0.1  Run Time=3.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 33  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=30  Time=0.1  Run Time=3.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 34  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=31  Time=0.1  Run Time=3.1
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 35  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=32  Time=0.1  Run Time=3.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 36  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=33  Time=0.1  Run Time=3.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 37  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=34  Time=0.1  Run Time=3.3
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 38  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=35  Time=0.1  Run Time=3.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 39  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=36  Time=0.1  Run Time=3.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 40  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=37  Time=0.1  Run Time=3.5
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 41  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=38  Time=0.1  Run Time=3.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 42  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=39  Time=0.1  Run Time=3.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 43  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=40  Time=0.1  Run Time=3.7
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 44  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=41  Time=0.1  Run Time=3.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 45  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=42  Time=0.1  Run Time=3.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 46  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=43  Time=0.1  Run Time=3.9
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 47  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=44  Time=0.1  Run Time=4.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 48  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=45  Time=0.1  Run Time=4.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 49  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=46  Time=0.1  Run Time=4.1
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 50  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=47  Time=0.1  Run Time=4.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 51  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=48  Time=0.1  Run Time=4.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 52  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=49  Time=0.1  Run Time=4.3
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 53  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=50  Time=0.1  Run Time=4.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 54  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=51  Time=0.1  Run Time=4.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 55  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=52  Time=0.1  Run Time=4.5
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 56  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=53  Time=0.1  Run Time=4.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 57  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=54  Time=0.1  Run Time=4.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 58  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=55  Time=0.1  Run Time=4.7
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 59  Old Result=0.67720407  Bad Result=0.67720407  MinIndex=141  EvolveAge=13  Best=0.67720407   BestAge=56  Time=0.1  Run Time=4.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 60  Old Result=0.67720407 *New Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=0  Time=0.1  Run Time=4.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 61  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=1  Time=0.1  Run Time=4.9
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 62  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=2  Time=0.1  Run Time=5.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 63  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=3  Time=0.1  Run Time=5.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 64  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=4  Time=0.1  Run Time=5.1
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 65  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=5  Time=0.1  Run Time=5.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 66  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=6  Time=0.1  Run Time=5.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 67  Old Result=0.67720401  Bad Result=0.67720401  MinIndex=36589  EvolveAge=13  Best=0.67720401   BestAge=7  Time=0.1  Run Time=5.3
