variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
process = 0;
population = 139264;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.00022286  Result=0.00022508  Best=0.00022286  Seed=C0A954BE  ResultHash=A8F2  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00022286  Result=0.00022537  Best=0.00022286  Seed=C0A95522  ResultHash=51E5  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00022286  Result=0.00022566  Best=0.00022286  Seed=C0A95586  ResultHash=BDCD  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00022286  Result=0.00022566  Best=0.00022286  Seed=C0A955EA  ResultHash=CFD1  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00022286  Result=0.00022578  Best=0.00022286  Seed=C0A9564E  ResultHash=ADE8  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00022286  Result=0.00022548  Best=0.00022286  Seed=C0A956B2  ResultHash=1EE0  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00022286  Result=0.00022513  Best=0.00022286  Seed=C0A95716  ResultHash=6078  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00022286  Result=0.00022566  Best=0.00022286  Seed=C0A9577A  ResultHash=CDFE  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00022286  Result=0.00022568  Best=0.00022286  Seed=C0A957DE  ResultHash=5432  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00022286  Result=0.00022531  Best=0.00022286  Seed=C0A95842  ResultHash=A369  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00022286  Result=0.00022584  Best=0.00022286  Seed=C0A958A6  ResultHash=203D  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00022286  Result=0.00022578  Best=0.00022286  Seed=C0A9590A  ResultHash=11BE  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00022286  Result=0.00022572  Best=0.00022286  Seed=C0A9596E  ResultHash=4BC2  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00022286  Result=0.00022566  Best=0.00022286  Seed=C0A959D2  ResultHash=0025  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00022286  Result=0.00022608  Best=0.00022286  Seed=C0A95A36  ResultHash=3286  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00022286  Result=0.00022551  Best=0.00022286  Seed=C0A95A9A  ResultHash=A3AE  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00022286  Result=0.00022554  Best=0.00022286  Seed=C0A95AFE  ResultHash=4DFF  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00022286  Result=0.00022605  Best=0.00022286  Seed=C0A95B62  ResultHash=9009  ProgramHash=A49A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00022286  Result=0.00022638  Best=0.00022286  Seed=C0A95BC6  ResultHash=B2CB  ProgramHash=A49A
