variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
processes = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE: Seed=0  Generation=0  Age=0  Best=0.30005914  BestSeed=0  Time=1.3422 Seconds  Run Time=2.8559 Seconds  TestError=29115.17187500
FIRESTARTER_CODE: Seed=1  Generation=1  Age=0  Best=0.17830688  BestSeed=1  Time=1.4568 Seconds  Run Time=3.3149 Seconds  TestError=404698208.00000000
FIRESTARTER_CODE: Seed=2  Generation=2  Age=0  Best=0.16514444  BestSeed=2  Time=1.1245 Seconds  Run Time=3.7754 Seconds  TestError=83999027700913054063584608256.00000000
FIRESTARTER_CODE: Seed=3  Generation=3  Age=0  Best=0.10096514  BestSeed=3  Time=0.9589 Seconds  Run Time=4.2371 Seconds  TestError=403312192.00000000
FIRESTARTER_CODE: Seed=4  Generation=4  Age=0  Best=0.07698471  BestSeed=4  Time=0.8602 Seconds  Run Time=4.7021 Seconds  TestError=4750577426759680000.00000000
FIRESTARTER_CODE: Seed=5  Generation=5  Age=0  Best=0.06513917  BestSeed=5  Time=0.7944 Seconds  Run Time=5.1675 Seconds  TestError=316472088225382400.00000000
FIRESTARTER_CODE: Seed=6  Generation=6  Age=0  Best=0.05341016  BestSeed=6  Time=0.7480 Seconds  Run Time=5.6372 Seconds  TestError=490096503554048.00000000
FIRESTARTER_CODE: Seed=7  Generation=7  Age=1  Best=0.05341016  BestSeed=6  Time=0.7134 Seconds  Run Time=6.0984 Seconds  TestError=490096503554048.00000000
FIRESTARTER_CODE: Seed=8  Generation=8  Age=0  Best=0.04793134  BestSeed=8  Time=0.6856 Seconds  Run Time=6.5714 Seconds  TestError=670693435899904.00000000
FIRESTARTER_CODE: Seed=9  Generation=9  Age=0  Best=0.04096208  BestSeed=9  Time=0.6646 Seconds  Run Time=7.0473 Seconds  TestError=281484459998445568.00000000
FIRESTARTER_CODE: Seed=10  Generation=10  Age=0  Best=0.02753747  BestSeed=10  Time=0.6473 Seconds  Run Time=7.5219 Seconds  TestError=67593546042831798272.00000000
FIRESTARTER_CODE: Seed=11  Generation=11  Age=1  Best=0.02753747  BestSeed=10  Time=0.6327 Seconds  Run Time=7.9839 Seconds  TestError=67593546042831798272.00000000
FIRESTARTER_CODE: Seed=12  Generation=12  Age=2  Best=0.02753747  BestSeed=10  Time=0.6199 Seconds  Run Time=8.4493 Seconds  TestError=67593546042831798272.00000000
FIRESTARTER_CODE: Seed=13  Generation=13  Age=0  Best=0.02180560  BestSeed=13  Time=0.6090 Seconds  Run Time=8.9273 Seconds  TestError=139020719695811575808.00000000
FIRESTARTER_CODE: Seed=14  Generation=14  Age=0  Best=0.01917416  BestSeed=14  Time=0.6001 Seconds  Run Time=9.4031 Seconds  TestError=29024927636751007113470279680.00000000
FIRESTARTER_CODE: Seed=15  Generation=15  Age=1  Best=0.01917416  BestSeed=14  Time=0.5924 Seconds  Run Time=9.8703 Seconds  TestError=29024927636751007113470279680.00000000
FIRESTARTER_CODE: Seed=16  Generation=16  Age=2  Best=0.01917416  BestSeed=14  Time=0.5851 Seconds  Run Time=10.3384 Seconds  TestError=29024927636751007113470279680.00000000
FIRESTARTER_CODE: Seed=17  Generation=17  Age=0  Best=0.01578331  BestSeed=17  Time=0.5787 Seconds  Run Time=10.8188 Seconds  TestError=64885022293107933184.00000000
FIRESTARTER_CODE: Seed=18  Generation=18  Age=1  Best=0.01578331  BestSeed=17  Time=0.5736 Seconds  Run Time=11.2894 Seconds  TestError=64885022293107933184.00000000
FIRESTARTER_CODE: Seed=19  Generation=19  Age=2  Best=0.01578331  BestSeed=17  Time=0.5685 Seconds  Run Time=11.7616 Seconds  TestError=64885022293107933184.00000000
FIRESTARTER_CODE: Seed=20  Generation=20  Age=3  Best=0.01578331  BestSeed=17  Time=0.5639 Seconds  Run Time=12.2331 Seconds  TestError=64885022293107933184.00000000
FIRESTARTER_CODE: Seed=21  Generation=21  Age=4  Best=0.01578331  BestSeed=17  Time=0.5598 Seconds  Run Time=12.7066 Seconds  TestError=64885022293107933184.00000000
FIRESTARTER_CODE: Seed=22  Generation=22  Age=5  Best=0.01578331  BestSeed=17  Time=0.5560 Seconds  Run Time=13.1789 Seconds  TestError=64885022293107933184.00000000
FIRESTARTER_CODE: Seed=23  Generation=23  Age=0  Best=0.01552653  BestSeed=23  Time=0.5527 Seconds  Run Time=13.6665 Seconds  TestError=260048658041007155871481856.00000000
FIRESTARTER_CODE: Seed=24  Generation=24  Age=0  Best=0.01475734  BestSeed=24  Time=0.5503 Seconds  Run Time=14.1592 Seconds  TestError=59528153264071639040.00000000
FIRESTARTER_CODE: Seed=25  Generation=25  Age=1  Best=0.01475734  BestSeed=24  Time=0.5480 Seconds  Run Time=14.6401 Seconds  TestError=59528153264071639040.00000000
FIRESTARTER_CODE: Seed=26  Generation=26  Age=0  Best=0.01462895  BestSeed=26  Time=0.5458 Seconds  Run Time=15.1387 Seconds  TestError=80124992325897158656.00000000
FIRESTARTER_CODE: Seed=27  Generation=27  Age=1  Best=0.01462895  BestSeed=26  Time=0.5444 Seconds  Run Time=15.6350 Seconds  TestError=80124992325897158656.00000000
FIRESTARTER_CODE: Seed=28  Generation=28  Age=2  Best=0.01462895  BestSeed=26  Time=0.5423 Seconds  Run Time=16.1171 Seconds  TestError=80124992325897158656.00000000
FIRESTARTER_CODE: Seed=29  Generation=29  Age=0  Best=0.01457584  BestSeed=29  Time=0.5408 Seconds  Run Time=16.6261 Seconds  TestError=3615570814860001280.00000000
FIRESTARTER_CODE: Seed=30  Generation=30  Age=1  Best=0.01457584  BestSeed=29  Time=0.5398 Seconds  Run Time=17.1237 Seconds  TestError=3615570814860001280.00000000
FIRESTARTER_CODE: Seed=31  Generation=31  Age=2  Best=0.01457584  BestSeed=29  Time=0.5385 Seconds  Run Time=17.6228 Seconds  TestError=3615570814860001280.00000000
FIRESTARTER_CODE: Seed=32  Generation=32  Age=0  Best=0.01445508  BestSeed=32  Time=0.5373 Seconds  Run Time=18.1324 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=33  Generation=33  Age=1  Best=0.01445508  BestSeed=32  Time=0.5365 Seconds  Run Time=18.6309 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=34  Generation=34  Age=2  Best=0.01445508  BestSeed=32  Time=0.5354 Seconds  Run Time=19.1293 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=35  Generation=35  Age=3  Best=0.01445508  BestSeed=32  Time=0.5344 Seconds  Run Time=19.6284 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=36  Generation=36  Age=4  Best=0.01445508  BestSeed=32  Time=0.5334 Seconds  Run Time=20.1280 Seconds  TestError=42573829099300585472.00000000
