instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 128;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.02105765  Result=0.02105765  Best=0.02105765  Seed=C0A949C7  ResultHash=722E  ProgramHash=B39D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.02105765  Result=0.02301279  Best=0.02105765  Seed=C0A949CA  ResultHash=4401  ProgramHash=8C28
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.02105765  Result=0.02241462  Best=0.02105765  Seed=C0A949CD  ResultHash=F362  ProgramHash=8C28
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.02105765  Result=0.02263594  Best=0.02105765  Seed=C0A949D0  ResultHash=04DE  ProgramHash=5DF3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.02105765  Result=0.02295351  Best=0.02105765  Seed=C0A949D3  ResultHash=9D8E  ProgramHash=1FA7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.02105765  Result=0.02293053  Best=0.02105765  Seed=C0A949D6  ResultHash=2FDA  ProgramHash=0AE4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.02105765  Result=0.02134442  Best=0.02105765  Seed=C0A949D9  ResultHash=C7BA  ProgramHash=C152
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.02105765  Result=0.02145219  Best=0.02105765  Seed=C0A949DC  ResultHash=3DFD  ProgramHash=101E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.02105765  Result=0.02117276  Best=0.02105765  Seed=C0A949DF  ResultHash=D676  ProgramHash=4248
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.02090544  Result=0.02090544  Best=0.02090544  Seed=C0A949E2  ResultHash=128B  ProgramHash=101E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.02029747  Result=0.02029747  Best=0.02029747  Seed=C0A949E5  ResultHash=01AA  ProgramHash=037B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.02005386  Result=0.02005386  Best=0.02005386  Seed=C0A949E8  ResultHash=A61F  ProgramHash=1137
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.02000189  Result=0.02000189  Best=0.02000189  Seed=C0A949EB  ResultHash=0B5B  ProgramHash=1137
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.01983011  Result=0.01983011  Best=0.01983011  Seed=C0A949EE  ResultHash=D17A  ProgramHash=3C36
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.01978776  Result=0.01978776  Best=0.01978776  Seed=C0A949F1  ResultHash=FF90  ProgramHash=E3C8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.01924908  Result=0.01924908  Best=0.01924908  Seed=C0A949F4  ResultHash=7D10  ProgramHash=1A5F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.01907623  Result=0.01907623  Best=0.01907623  Seed=C0A949F7  ResultHash=D5EB  ProgramHash=1152
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.01816162  Result=0.01816162  Best=0.01816162  Seed=C0A949FA  ResultHash=2D07  ProgramHash=2B94
