variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
processes = 0;
population = 69632;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Seed=34  Generation=34  Age=3  Best=0.00000125  BestSeed=31  Time=0.0256 Seconds  Run Time=33.3593 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=35  Generation=35  Age=4  Best=0.00000125  BestSeed=31  Time=0.0249 Seconds  Run Time=34.2572 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=36  Generation=36  Age=5  Best=0.00000125  BestSeed=31  Time=0.0243 Seconds  Run Time=35.1565 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=37  Generation=37  Age=6  Best=0.00000125  BestSeed=31  Time=0.0236 Seconds  Run Time=36.0539 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=38  Generation=38  Age=0  Best=0.00000119  BestSeed=38  Time=0.0230 Seconds  Run Time=36.9564 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=39  Generation=39  Age=1  Best=0.00000119  BestSeed=38  Time=0.0225 Seconds  Run Time=37.8560 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=40  Generation=40  Age=2  Best=0.00000119  BestSeed=38  Time=0.0220 Seconds  Run Time=38.7588 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=41  Generation=41  Age=3  Best=0.00000119  BestSeed=38  Time=0.0214 Seconds  Run Time=39.6604 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=42  Generation=42  Age=4  Best=0.00000119  BestSeed=38  Time=0.0210 Seconds  Run Time=40.5624 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=43  Generation=43  Age=5  Best=0.00000119  BestSeed=38  Time=0.0205 Seconds  Run Time=41.4648 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=44  Generation=44  Age=6  Best=0.00000119  BestSeed=38  Time=0.0201 Seconds  Run Time=42.3696 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=45  Generation=45  Age=7  Best=0.00000119  BestSeed=38  Time=0.0196 Seconds  Run Time=43.2738 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=46  Generation=46  Age=8  Best=0.00000119  BestSeed=38  Time=0.0192 Seconds  Run Time=44.1773 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=47  Generation=47  Age=9  Best=0.00000119  BestSeed=38  Time=0.0188 Seconds  Run Time=45.0825 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=48  Generation=48  Age=10  Best=0.00000119  BestSeed=38  Time=0.0184 Seconds  Run Time=45.9847 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=49  Generation=49  Age=11  Best=0.00000119  BestSeed=38  Time=0.0181 Seconds  Run Time=46.8890 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=50  Generation=50  Age=12  Best=0.00000119  BestSeed=38  Time=0.0177 Seconds  Run Time=47.7925 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=51  Generation=51  Age=13  Best=0.00000119  BestSeed=38  Time=0.0174 Seconds  Run Time=48.6966 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=52  Generation=52  Age=14  Best=0.00000119  BestSeed=38  Time=0.0171 Seconds  Run Time=49.6016 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=53  Generation=53  Age=15  Best=0.00000119  BestSeed=38  Time=0.0167 Seconds  Run Time=50.5071 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=54  Generation=54  Age=0  Best=0.00000113  BestSeed=54  Time=0.0164 Seconds  Run Time=51.4182 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=55  Generation=55  Age=1  Best=0.00000113  BestSeed=54  Time=0.0162 Seconds  Run Time=52.3244 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=56  Generation=56  Age=2  Best=0.00000113  BestSeed=54  Time=0.0159 Seconds  Run Time=53.2317 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=57  Generation=57  Age=3  Best=0.00000113  BestSeed=54  Time=0.0156 Seconds  Run Time=54.1390 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=58  Generation=58  Age=4  Best=0.00000113  BestSeed=54  Time=0.0153 Seconds  Run Time=55.0452 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=59  Generation=59  Age=5  Best=0.00000113  BestSeed=54  Time=0.0151 Seconds  Run Time=55.9521 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=60  Generation=60  Age=6  Best=0.00000113  BestSeed=54  Time=0.0148 Seconds  Run Time=56.8575 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=61  Generation=61  Age=7  Best=0.00000113  BestSeed=54  Time=0.0146 Seconds  Run Time=57.7621 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=62  Generation=62  Age=8  Best=0.00000113  BestSeed=54  Time=0.0144 Seconds  Run Time=58.6691 Seconds  TestError=0.00000024
