variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.01530635  Result=0.01530635  Seed=C0A94984  Best Result=00671  Best Index=00671  Best Seed=-1062647421  ResultHash=AD01  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.01509434  Result=0.01509434  Seed=C0A94985  Best Result=02707  Best Index=02707  Best Seed=-1062647420  ResultHash=4867  ProgramHash=3B77
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.01467335  Result=0.01467335  Seed=C0A94986  Best Result=06995  Best Index=06995  Best Seed=-1062647419  ResultHash=FFB6  ProgramHash=8CAF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.01369011  Result=0.01369011  Seed=C0A94987  Best Result=05350  Best Index=05350  Best Seed=-1062647418  ResultHash=37DB  ProgramHash=9F6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.01327044  Result=0.01327044  Seed=C0A94988  Best Result=08050  Best Index=08050  Best Seed=-1062647417  ResultHash=CDAC  ProgramHash=9F6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.01312578  Result=0.01312578  Seed=C0A94989  Best Result=01717  Best Index=01717  Best Seed=-1062647416  ResultHash=CEC6  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.01243675  Result=0.01243675  Seed=C0A9498A  Best Result=02431  Best Index=02431  Best Seed=-1062647415  ResultHash=AFD2  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.01225272  Result=0.01225272  Seed=C0A9498B  Best Result=09423  Best Index=09423  Best Seed=-1062647414  ResultHash=F878  ProgramHash=9F6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.01225272  Result=0.01225272  Seed=C0A9498C  Best Result=00279  Best Index=09423  Best Seed=-1062647413  ResultHash=49B1  ProgramHash=9F6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.01223540  Result=0.01223540  Seed=C0A9498D  Best Result=15685  Best Index=15685  Best Seed=-1062647412  ResultHash=B7DA  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.01197267  Result=0.01197267  Seed=C0A9498E  Best Result=03383  Best Index=03383  Best Seed=-1062647411  ResultHash=629E  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.01188266  Result=0.01188266  Seed=C0A9498F  Best Result=03463  Best Index=03463  Best Seed=-1062647410  ResultHash=42C7  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.01150060  Result=0.01150060  Seed=C0A94990  Best Result=07915  Best Index=07915  Best Seed=-1062647409  ResultHash=D9C1  ProgramHash=9F6A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.01108623  Result=0.01108623  Seed=C0A94991  Best Result=09839  Best Index=09839  Best Seed=-1062647408  ResultHash=C274  ProgramHash=3FC0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.01108623  Result=0.01108623  Seed=C0A94992  Best Result=03577  Best Index=09839  Best Seed=-1062647407  ResultHash=31CA  ProgramHash=3FC0
