variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_EVOLVE;
units = 10;
processes = 16;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=2  Best=0.00024478  BestSeed=3  Time=0.2066 Seconds  Run Time=25.2268 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=2  Best=0.00024478  BestSeed=3  Time=0.2066 Seconds  Run Time=25.2271 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=2  Best=0.00024478  BestSeed=3  Time=0.2066 Seconds  Run Time=25.2273 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=2  Best=0.00024478  BestSeed=3  Time=0.2066 Seconds  Run Time=25.2276 Seconds  TestError=0.00000393
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=2  Best=0.00024478  BestSeed=3  Time=0.2066 Seconds  Run Time=25.2279 Seconds  TestError=0.00000039
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=2  Best=0.00024478  BestSeed=3  Time=0.2066 Seconds  Run Time=25.2282 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=2  Best=0.00024478  BestSeed=3  Time=0.2066 Seconds  Run Time=25.2285 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0311 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0314 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0318 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0322 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0326 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0329 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0331 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0334 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=4  Generation=4  Age=3  Best=0.00024478  BestSeed=3  Time=0.2805 Seconds  Run Time=28.0336 Seconds  TestError=0.00000000
