CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.85227418  Best=0.85227418 BestError=0.78000921  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00110316  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00210881  Best=0.00110316 BestError=0.00146174  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=   4  Generation=  6  Age=  2  Evolution= 2  Weight=0.00053468  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.6  Run Time=  31.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   2  Id=  11  Generation=  6  Age=  3  Evolution= 2  Weight=0.00035807  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   4.9  Run Time=  33.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=  11  Generation=  9  Age=  6  Evolution= 2  Weight=0.00057291  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   5.0  Run Time=  33.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  15  Id=  11  Generation= 14  Age= 11  Evolution= 2  Weight=0.00093098  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.4  Run Time=  33.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   1  Id=  11  Generation=  5  Age=  2  Evolution= 2  Weight=0.00028646  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   5.4  Run Time=  34.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00014159  Best=0.00007161 BestError=0.00008464  Time=   7.1  Run Time=  35.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=  11  Generation=  7  Age=  4  Evolution= 2  Weight=0.00042968  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   7.4  Run Time=  35.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   4  Id=  11  Generation=  8  Age=  5  Evolution= 2  Weight=0.00050130  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   7.6  Run Time=  36.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  13  Id=  11  Generation= 13  Age= 10  Evolution= 2  Weight=0.00085937  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   6.8  Run Time=  38.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   8  Id=  11  Generation= 10  Age=  7  Evolution= 2  Weight=0.00064453  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   4.2  Run Time=  40.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  10  Id=   4  Generation=  8  Age=  4  Evolution= 2  Weight=0.00074855  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   6.5  Run Time=  40.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  11  Id=  11  Generation= 12  Age=  9  Evolution= 2  Weight=0.00078776  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   4.1  Run Time=  40.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  14  Id=   2  Generation=  7  Age=  2  Evolution= 2  Weight=0.00090421  Old Result= 0.00015070  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   6.4  Run Time=  40.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   9  Id=  11  Generation= 11  Age=  8  Evolution= 2  Weight=0.00071614  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   6.1  Run Time=  40.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  12  Id=   4  Generation=  9  Age=  5  Evolution= 2  Weight=0.00085548  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   4.2  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=  17  Generation=  4  Age=  4  Evolution= 1  Weight=0.00042477  Old Result= 0.00014159  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.4  Run Time=  43.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   4  Id=  17  Generation=  5  Age=  5  Evolution= 1  Weight=0.00056636  Old Result= 0.00014159  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.7  Run Time=  43.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=   4  Generation= 10  Age=  6  Evolution= 2  Weight=0.00096242  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.9  Run Time=  43.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  11  Id=   4  Generation= 11  Age=  7  Evolution= 2  Weight=0.00106935  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.7  Run Time=  46.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  12  Id=  11  Generation= 16  Age= 13  Evolution= 2  Weight=0.00107421  Old Result= 0.00007161  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.6  Run Time=  46.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  15  Id=   4  Generation= 12  Age=  8  Evolution= 2  Weight=0.00117629  Old Result= 0.00010694  Bad Result=10.00000000  Best=0.00007161 BestError=0.00008464  Time=   2.6  Run Time=  46.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=  17  Generation=  7  Age=  7  Evolution= 1  Weight=0.00084954  Old Result= 0.00014159 *New Result=0.00001577  Best=0.00001577 BestError=0.00002256  Time=   6.8  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   1  Id=  17  Generation=  2  Age=  2  Evolution= 1  Weight=0.00014159  Old Result= 0.00014159  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   6.9  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   2  Id=  17  Generation=  3  Age=  3  Evolution= 1  Weight=0.00028318  Old Result= 0.00014159  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   6.9  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00830979  Best=0.00001577 BestError=0.00002256  Time=   6.9  Run Time=  47.9
