CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 2
processes = 2
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=0  Id=0  CopyId=0  Generation=0  Age=0  Evolution=0 *Result=0.63413620  Best=0.63413620  BestSeed=0  BestGen=0  Time=73.1025 Seconds  Run Time=9776.5773 Seconds  TestError=0.00000000
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=1  Id=1  CopyId=1  Generation=0  Age=0  Evolution=0 *Result=0.00050169  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0021 Seconds  Run Time=9776.5815 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=2  Id=2  CopyId=2  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0006 Seconds  Run Time=9776.5826 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=3  Id=3  CopyId=3  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5829 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=4  Id=4  CopyId=4  Generation=0  Age=0  Evolution=0  Result=1.48324537  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5831 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=5  Id=5  CopyId=5  Generation=0  Age=0  Evolution=0  Result=0.00511026  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5833 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=6  Id=6  CopyId=6  Generation=0  Age=0  Evolution=0  Result=0.12232419  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5835 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=7  Id=7  CopyId=7  Generation=0  Age=0  Evolution=0  Result=0.00081336  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5837 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=8  Id=8  CopyId=8  Generation=0  Age=0  Evolution=0  Result=0.00066511  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5839 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=9  Id=9  CopyId=9  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5842 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=10  Id=10  CopyId=10  Generation=0  Age=0  Evolution=0  Result=0.00733936  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=9776.5844 Seconds  TestError=0.00000012
