CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 32

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_RANDOM
units = 8
processes = 16
iterations = 256
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 2
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_RANDOM: Seed=24  Generation=0  Result=0.00174946  Average=0.06139694  Best=0.00135991  BestSeed=15  Time=0.2753 Seconds  Run Time=17.7479 Seconds  TestError=0.00000006  V:0=0.00174946  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=25  Generation=0  Result=0.00140026  Average=0.05899707  Best=0.00135991  BestSeed=15  Time=0.2660 Seconds  Run Time=17.7904 Seconds  TestError=0.00000006  V:0=0.00140026  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=28  Generation=0  Result=0.00641981  Average=0.05697487  Best=0.00135991  BestSeed=15  Time=0.2576 Seconds  Run Time=17.8368 Seconds  TestError=0.00000006  V:0=0.00641981  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=23  Generation=0  Result=0.00256193  Average=0.05495957  Best=0.00135991  BestSeed=15  Time=0.2490 Seconds  Run Time=17.8632 Seconds  TestError=0.00000006  V:0=0.00256193  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=27  Generation=0  Result=0.00162351  Average=0.05305471  Best=0.00135991  BestSeed=15  Time=0.2924 Seconds  Run Time=19.3272 Seconds  TestError=0.00000006  V:0=10.00000000  V:1=10.00000000  V:2=0.00162351
FIRESTARTER_RANDOM: Seed=30  Generation=0  Result=0.00320486  Average=0.05133575  Best=0.00135991  BestSeed=15  Time=0.2929 Seconds  Run Time=19.6340 Seconds  TestError=0.00000006  V:0=0.00320486  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=21  Generation=0  Result=0.00140262  Average=0.04967132  Best=0.00135991  BestSeed=15  Time=0.2872 Seconds  Run Time=19.7576 Seconds  TestError=0.00000006  V:0=0.00123665  V:1=0.00140262  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=29  Generation=0  Result=0.02109003  Average=0.04874934  Best=0.00135991  BestSeed=15  Time=0.2869 Seconds  Run Time=20.0352 Seconds  TestError=0.00000006  V:0=10.00000000  V:1=10.00000000  V:2=0.02109003
FIRESTARTER_RANDOM: Seed=31  Generation=0  Result=0.29475832  Average=0.05643712  Best=0.00135991  BestSeed=15  Time=0.2810 Seconds  Run Time=20.1335 Seconds  TestError=0.00000006  V:0=0.29475832  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=38  Generation=0  Result=0.00327253  Average=0.05482607  Best=0.00135991  BestSeed=15  Time=0.2760 Seconds  Run Time=20.2481 Seconds  TestError=0.00000006  V:0=0.00327253  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=34  Generation=0  Result=0.03618550  Average=0.05427782  Best=0.00135991  BestSeed=15  Time=0.3150 Seconds  Run Time=21.8509 Seconds  TestError=0.00000006  V:0=10.00000000  V:1=10.00000000  V:2=0.03618550
FIRESTARTER_RANDOM: Seed=35  Generation=0  Result=0.00317916  Average=0.05281786  Best=0.00135991  BestSeed=15  Time=0.3196 Seconds  Run Time=22.3282 Seconds  TestError=0.00000006  V:0=0.00317916  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Seed=37  Generation=0  Result=0.00251055  Average=0.05142043  Best=0.00135991  BestSeed=15  Time=0.3139 Seconds  Run Time=22.4422 Seconds  TestError=0.00000006  V:0=10.00000000  V:1=10.00000000  V:2=0.00251055
FIRESTARTER_RANDOM: Seed=43  Generation=0  Result=0.01688669  Average=0.05048709  Best=0.00135991  BestSeed=15  Time=0.3116 Seconds  Run Time=22.6679 Seconds  TestError=0.00000006  V:0=0.01688669  V:1=10.00000000  V:2=10.00000000
