variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A05  ResultHash=C4A2  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A0A  ResultHash=BB87  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A0F  ResultHash=9988  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A14  ResultHash=11ED  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A19  ResultHash=EB3D  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A1E  ResultHash=5876  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A23  ResultHash=D58F  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A28  ResultHash=179A  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A2D  ResultHash=D967  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A32  ResultHash=4D3C  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A37  ResultHash=D0BA  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A3C  ResultHash=8D9B  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A41  ResultHash=9006  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A46  ResultHash=9FEB  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A4B  ResultHash=58F3  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A50  ResultHash=AF91  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A55  ResultHash=411A  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A5A  ResultHash=E6D5  ProgramHash=45CE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.11319003  Result=0.11319003  Best=0.11319003  Seed=C0A94A5F  ResultHash=8C68  ProgramHash=45CE
