variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 1;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=1  Seed=3  Result=0.00284448  Average=0.00284448  Best=0.00284448  BestSeed=3  Time=1.4017 Seconds  Run Time=4.3878 Seconds  TestError=0.00000125
FIRESTARTER_RANDOM: Generation=2  Seed=0  Result=0.00058630  Average=0.00171539  Best=0.00058630  BestSeed=0  Time=0.9247 Seconds  Run Time=4.8340 Seconds  TestError=0.00000039
FIRESTARTER_RANDOM: Generation=3  Seed=1  Result=0.00058693  Average=0.00133924  Best=0.00058630  BestSeed=0  Time=0.6721 Seconds  Run Time=4.9803 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=4  Seed=5  Result=0.00058776  Average=0.00115137  Best=0.00058630  BestSeed=0  Time=0.5436 Seconds  Run Time=5.1382 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=5  Seed=2  Result=0.00071645  Average=0.00106438  Best=0.00058630  BestSeed=0  Time=0.5286 Seconds  Run Time=5.6071 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=6  Seed=4  Result=0.00077546  Average=0.00101623  Best=0.00058630  BestSeed=0  Time=0.5203 Seconds  Run Time=6.0856 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=7  Seed=6  Result=0.00128645  Average=0.00105483  Best=0.00058630  BestSeed=0  Time=0.5119 Seconds  Run Time=6.5473 Seconds  TestError=0.00000054
FIRESTARTER_RANDOM: Generation=8  Seed=11  Result=0.00165275  Average=0.00112957  Best=0.00058630  BestSeed=0  Time=0.4679 Seconds  Run Time=6.7071 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=9  Seed=7  Result=0.00016826  Average=0.00102276  Best=0.00016826  BestSeed=7  Time=0.4696 Seconds  Run Time=7.2123 Seconds  TestError=0.00000095
FIRESTARTER_RANDOM: Generation=10  Seed=8  Result=0.00024197  Average=0.00094468  Best=0.00016826  BestSeed=7  Time=0.4389 Seconds  Run Time=7.3525 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=11  Seed=9  Result=0.00045606  Average=0.00090026  Best=0.00016826  BestSeed=7  Time=0.4141 Seconds  Run Time=7.5189 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=12  Seed=10  Result=0.00028104  Average=0.00084866  Best=0.00016826  BestSeed=7  Time=0.3925 Seconds  Run Time=7.6736 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=13  Seed=12  Result=0.00017703  Average=0.00079699  Best=0.00016826  BestSeed=7  Time=0.3740 Seconds  Run Time=7.8254 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=14  Seed=13  Result=0.00137621  Average=0.00083837  Best=0.00016826  BestSeed=7  Time=0.3598 Seconds  Run Time=8.0018 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=15  Seed=16  Result=0.00020489  Average=0.00079614  Best=0.00016826  BestSeed=7  Time=0.3470 Seconds  Run Time=8.1683 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=16  Seed=15  Result=0.00163835  Average=0.00084877  Best=0.00016826  BestSeed=7  Time=0.3360 Seconds  Run Time=8.3398 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=17  Seed=14  Result=0.00032371  Average=0.00081789  Best=0.00016826  BestSeed=7  Time=0.3252 Seconds  Run Time=8.4931 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=18  Seed=17  Result=0.00178185  Average=0.00087144  Best=0.00016826  BestSeed=7  Time=0.3161 Seconds  Run Time=8.6539 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=19  Seed=18  Result=0.00023803  Average=0.00083810  Best=0.00016826  BestSeed=7  Time=0.3086 Seconds  Run Time=8.8282 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=20  Seed=19  Result=0.00087532  Average=0.00083997  Best=0.00016826  BestSeed=7  Time=0.3013 Seconds  Run Time=8.9905 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=21  Seed=21  Result=0.00172901  Average=0.00088230  Best=0.00016826  BestSeed=7  Time=0.2947 Seconds  Run Time=9.1519 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=22  Seed=20  Result=0.00027770  Average=0.00085482  Best=0.00016826  BestSeed=7  Time=0.2894 Seconds  Run Time=9.3301 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=23  Seed=22  Result=0.00124462  Average=0.00087177  Best=0.00016826  BestSeed=7  Time=0.2846 Seconds  Run Time=9.5093 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=24  Seed=23  Result=0.00028337  Average=0.00084725  Best=0.00016826  BestSeed=7  Time=0.2792 Seconds  Run Time=9.6654 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=25  Seed=24  Result=0.00022751  Average=0.00082246  Best=0.00016826  BestSeed=7  Time=0.2752 Seconds  Run Time=9.8429 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=26  Seed=26  Result=0.00025928  Average=0.00080080  Best=0.00016826  BestSeed=7  Time=0.2712 Seconds  Run Time=10.0154 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=27  Seed=25  Result=0.06548518  Average=0.00319652  Best=0.00016826  BestSeed=7  Time=0.2672 Seconds  Run Time=10.1784 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=28  Seed=27  Result=0.00042792  Average=0.00309764  Best=0.00016826  BestSeed=7  Time=0.2634 Seconds  Run Time=10.3392 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=29  Seed=28  Result=0.00341734  Average=0.00310866  Best=0.00016826  BestSeed=7  Time=0.2603 Seconds  Run Time=10.5130 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=30  Seed=29  Result=0.97492790  Average=0.03550263  Best=0.00016826  BestSeed=7  Time=0.2573 Seconds  Run Time=10.6822 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=31  Seed=30  Result=0.00172052  Average=0.03441289  Best=0.00016826  BestSeed=7  Time=0.2541 Seconds  Run Time=10.8407 Seconds  TestError=2.20769382
