variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 512;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.01361400  Result=0.02243745  Best=0.01361400  Seed=C0A94A05  ResultHash=8322  ProgramHash=0873
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.01361400  Result=0.01904297  Best=0.01361400  Seed=C0A94A0A  ResultHash=FF1F  ProgramHash=0873
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.01361400  Result=0.01973653  Best=0.01361400  Seed=C0A94A0F  ResultHash=5FE6  ProgramHash=571F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.01361400  Result=0.01769984  Best=0.01361400  Seed=C0A94A14  ResultHash=3754  ProgramHash=571F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.01361400  Result=0.01744455  Best=0.01361400  Seed=C0A94A19  ResultHash=DA84  ProgramHash=571F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.01361400  Result=0.02071995  Best=0.01361400  Seed=C0A94A1E  ResultHash=8554  ProgramHash=C7A2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.01361400  Result=0.02211893  Best=0.01361400  Seed=C0A94A23  ResultHash=1BCA  ProgramHash=5122
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.01361400  Result=0.02281038  Best=0.01361400  Seed=C0A94A28  ResultHash=EBE7  ProgramHash=28A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.01361400  Result=0.02401739  Best=0.01361400  Seed=C0A94A2D  ResultHash=991A  ProgramHash=8164
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.01361400  Result=0.02220786  Best=0.01361400  Seed=C0A94A32  ResultHash=2159  ProgramHash=8164
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.01361400  Result=0.02153385  Best=0.01361400  Seed=C0A94A37  ResultHash=6FD9  ProgramHash=09DA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.01361400  Result=0.01852405  Best=0.01361400  Seed=C0A94A3C  ResultHash=D33C  ProgramHash=7114
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.01361400  Result=0.01927021  Best=0.01361400  Seed=C0A94A41  ResultHash=EE00  ProgramHash=6E3B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.01361400  Result=0.01713008  Best=0.01361400  Seed=C0A94A46  ResultHash=64AF  ProgramHash=6352
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.01361400  Result=0.01769304  Best=0.01361400  Seed=C0A94A4B  ResultHash=5407  ProgramHash=0626
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.01361400  Result=0.01780990  Best=0.01361400  Seed=C0A94A50  ResultHash=4870  ProgramHash=C7BD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.01226905  Result=0.01226905  Best=0.01226905  Seed=C0A94A55  ResultHash=75E1  ProgramHash=59B6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.01202452  Result=0.01202452  Best=0.01202452  Seed=C0A94A5A  ResultHash=25A3  ProgramHash=59B6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.01202452  Result=0.01913047  Best=0.01202452  Seed=C0A94A5F  ResultHash=DC5E  ProgramHash=8E52
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.01202452  Result=0.01871234  Best=0.01202452  Seed=C0A94A64  ResultHash=F078  ProgramHash=A54B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.01202452  Result=0.01875877  Best=0.01202452  Seed=C0A94A69  ResultHash=758E  ProgramHash=C696
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.01202452  Result=0.01558012  Best=0.01202452  Seed=C0A94A6E  ResultHash=23BE  ProgramHash=1647
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.01202452  Result=0.01320100  Best=0.01202452  Seed=C0A94A73  ResultHash=FA6D  ProgramHash=B1A4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.01202452  Result=0.01587629  Best=0.01202452  Seed=C0A94A78  ResultHash=32CC  ProgramHash=CEF0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.01202452  Result=0.01578939  Best=0.01202452  Seed=C0A94A7D  ResultHash=D2D5  ProgramHash=0496
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.01202452  Result=0.01457661  Best=0.01202452  Seed=C0A94A82  ResultHash=19C5  ProgramHash=0496
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.01202452  Result=0.01406479  Best=0.01202452  Seed=C0A94A87  ResultHash=1B5D  ProgramHash=6035
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.01202452  Result=0.01577163  Best=0.01202452  Seed=C0A94A8C  ResultHash=291D  ProgramHash=722D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.01202452  Result=0.01441526  Best=0.01202452  Seed=C0A94A91  ResultHash=BA18  ProgramHash=79A0
