CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
seed = 3
optimizeSeed = 0
seeds = 100
tests = 1
units = 4
processes = 0
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 64

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=99  Unit=3  Generation=0  Age=0  Result=0.85227418  Best=0.00113487  BestSeed=76  BestGen=0  Time=0.1878 Seconds  Run Time=36.0203 Seconds  TestError=0.00000004
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=0  Age=0 *Result=0.00105131  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.0000 Seconds  Run Time=41.0732 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=1  Age=1  Result=0.00626189  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.4834 Seconds  Run Time=43.0069 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=2  Age=2  Result=0.00134271  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.1855 Seconds  Run Time=43.7490 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=3  Age=3  Result=0.00163558  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.0981 Seconds  Run Time=44.1413 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=4  Age=4  Result=0.00107103  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.1374 Seconds  Run Time=44.6907 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=5  Age=5  Result=0.01799576  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.3655 Seconds  Run Time=46.1526 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=6  Age=6  Result=0.11312893  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.1564 Seconds  Run Time=46.7783 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=7  Age=7  Result=0.00107697  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.3343 Seconds  Run Time=48.1155 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=8  Age=8  Result=0.00269994  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.4355 Seconds  Run Time=49.8575 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=9  Age=9  Result=0.00132879  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.1451 Seconds  Run Time=50.4379 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=10  Age=10  Result=0.00191777  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.1468 Seconds  Run Time=51.0250 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=11  Age=11  Result=0.00129634  Best=0.00105131  BestSeed=98  BestGen=0  Time=0.1218 Seconds  Run Time=51.5123 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=12  Age=0 *Result=0.00079143  Best=0.00079143  BestSeed=98  BestGen=12  Time=0.2170 Seconds  Run Time=52.3803 Seconds  TestError=0.00000036
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=13  Age=1  Result=0.07442069  Best=0.00079143  BestSeed=98  BestGen=12  Time=0.1860 Seconds  Run Time=53.1243 Seconds  TestError=0.00000036
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=14  Age=0 *Result=0.00058193  Best=0.00058193  BestSeed=98  BestGen=14  Time=0.1863 Seconds  Run Time=53.8694 Seconds  TestError=0.00000072
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=15  Age=1  Result=0.00089633  Best=0.00058193  BestSeed=98  BestGen=14  Time=0.1212 Seconds  Run Time=54.3540 Seconds  TestError=0.00000072
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=16  Age=2  Result=0.97492790  Best=0.00058193  BestSeed=98  BestGen=14  Time=0.1249 Seconds  Run Time=54.8536 Seconds  TestError=0.00000072
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=17  Age=3  Result=0.00090332  Best=0.00058193  BestSeed=98  BestGen=14  Time=0.1148 Seconds  Run Time=55.3130 Seconds  TestError=0.00000072
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=18  Age=4  Result=0.00126958  Best=0.00058193  BestSeed=98  BestGen=14  Time=0.1877 Seconds  Run Time=56.0637 Seconds  TestError=0.00000072
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=19  Age=0 *Result=0.00051146  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1916 Seconds  Run Time=56.8303 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=20  Age=1  Result=0.00112963  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.5281 Seconds  Run Time=58.9427 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=21  Age=2  Result=0.00110539  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1328 Seconds  Run Time=59.4739 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=22  Age=3  Result=0.00127995  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1616 Seconds  Run Time=60.1205 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=23  Age=4  Result=0.00075555  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.2140 Seconds  Run Time=60.9764 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=24  Age=5  Result=0.00184584  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1168 Seconds  Run Time=61.4436 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=25  Age=6  Result=0.14396274  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1203 Seconds  Run Time=61.9249 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=26  Age=7  Result=0.00207531  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1176 Seconds  Run Time=62.3955 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=27  Age=8  Result=0.00118685  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.2488 Seconds  Run Time=63.3906 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=28  Age=9  Result=0.00105256  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1635 Seconds  Run Time=64.0447 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=29  Age=10  Result=0.00230831  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1584 Seconds  Run Time=64.6782 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=30  Age=11  Result=0.00074816  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.2526 Seconds  Run Time=65.6886 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=31  Age=12  Result=0.00128067  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1756 Seconds  Run Time=66.3910 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=32  Age=13  Result=0.00072411  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1431 Seconds  Run Time=66.9634 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=33  Age=14  Result=0.00194407  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1585 Seconds  Run Time=67.5974 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=34  Age=15  Result=0.00060141  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.2350 Seconds  Run Time=68.5372 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=35  Age=16  Result=0.00082821  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1331 Seconds  Run Time=69.0696 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=36  Age=17  Result=0.00142300  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1301 Seconds  Run Time=69.5898 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=37  Age=18  Result=0.00153548  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1279 Seconds  Run Time=70.1012 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=38  Age=19  Result=0.00107890  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1618 Seconds  Run Time=70.7484 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=39  Age=20  Result=0.00072485  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1101 Seconds  Run Time=71.1888 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=40  Age=21  Result=0.00138986  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1414 Seconds  Run Time=71.7542 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=41  Age=22  Result=0.00066346  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1381 Seconds  Run Time=72.3067 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=42  Age=23  Result=0.00061518  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1572 Seconds  Run Time=72.9356 Seconds  TestError=0.00000001
