CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.10688785  Best=0.10688785 BestError=0.10497549  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00157154  Best=0.00157154 BestError=0.00145507  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00134990  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00356865  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   2  Id=  12  Generation=  8  Age=  3  Evolution= 2  Weight=0.00068843  Old Result= 0.00009835  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   2.4  Run Time=  32.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=  12  Generation=  9  Age=  4  Evolution= 2  Weight=0.00078678  Old Result= 0.00009835  Bad Result=10.00000000  Best=0.00009835 BestError=0.00011027  Time=   2.8  Run Time=  32.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=  12  Generation=  7  Age=  2  Evolution= 2  Weight=0.00059009  Old Result= 0.00009835 *New Result=0.00007713  Best=0.00007713 BestError=0.00004423  Time=   7.2  Run Time=  37.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=  12  Generation= 10  Age=  5  Evolution= 2  Weight=0.00088513  Old Result= 0.00009835 >New Result=0.00009169  Best=0.00007713 BestError=0.00004423  Time=   7.4  Run Time=  37.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   6  Id=   9  Generation=  8  Age=  3  Evolution= 2  Weight=0.00085700  Old Result= 0.00012243  Bad Result=10.00000000  Best=0.00007713 BestError=0.00004423  Time=   7.5  Run Time=  37.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=  13  Generation=  4  Age=  2  Evolution= 2  Weight=0.00070578  Old Result= 0.00023526  Bad Result=10.00000000  Best=0.00007713 BestError=0.00004423  Time=   7.6  Run Time=  37.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00007713 BestError=0.00004423  Time=   8.1  Run Time=  38.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  15  Id=  12  Generation= 14  Age=  9  Evolution= 2  Weight=0.00127852  Old Result= 0.00009835  Bad Result=10.00000000  Best=0.00007713 BestError=0.00004423  Time=   2.3  Run Time=  39.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  10  Id=  12  Generation= 11  Age=  6  Evolution= 2  Weight=0.00098348  Old Result= 0.00009835  Bad Result=10.00000000  Best=0.00007713 BestError=0.00004423  Time=   7.4  Run Time=  40.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  11  Id=  12  Generation= 12  Age=  7  Evolution= 2  Weight=0.00108182  Old Result= 0.00009835  Bad Result=10.00000000  Best=0.00007713 BestError=0.00004423  Time=   2.4  Run Time=  40.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  13  Id=  12  Generation= 13  Age=  8  Evolution= 2  Weight=0.00118017  Old Result= 0.00009835  Bad Result=10.00000000  Best=0.00007713 BestError=0.00004423  Time=   7.4  Run Time=  40.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  12  Id=   9  Generation= 10  Age=  5  Evolution= 2  Weight=0.00110185  Old Result= 0.00012243 >New Result=0.00010008  Best=0.00007713 BestError=0.00004423  Time=   8.1  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  14  Id=   9  Generation= 11  Age=  6  Evolution= 2  Weight=0.00122428  Old Result= 0.00012243  Bad Result=10.00000000  Best=0.00007713 BestError=0.00004423  Time=   4.5  Run Time=  42.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   9  Id=   9  Generation=  9  Age=  4  Evolution= 2  Weight=0.00097942  Old Result= 0.00012243 *New Result=0.00005877  Best=0.00005877 BestError=0.00005972  Time=   4.9  Run Time=  42.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   8  Id=  13  Generation=  5  Age=  3  Evolution= 2  Weight=0.00094104  Old Result= 0.00023526 >New Result=0.00013205  Best=0.00005877 BestError=0.00005972  Time=   3.9  Run Time=  42.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   6  Id=   9  Generation= 18  Age=  7  Evolution= 3  Weight=0.00099909  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.7  Run Time=  45.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   2  Id=   9  Generation= 14  Age=  3  Evolution= 3  Weight=0.00076401  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   5.0  Run Time=  47.6
