CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
samples = 15
instructions = 32
registers = 30
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f
evolveTarget = 0.000001f

mode = FIRESTARTER_EVOLVE_GPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 1
states = 1
generations = 0
population = 8192
iterations = 64
passes = 500
candidates = 16
attempts = 0
optimize = 1

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 18  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00010949 *New Result=0.00006032  Index=401  EvolveAge1=377  EvolveAge2=997  Best=0.00006032   BestAge=1  Time=1.1 Seconds  Run Time=1947.1 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 19  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00006032  Bad Result=0.00006032  Index=401  EvolveAge1=877  EvolveAge2=997  Best=0.00006032   BestAge=2  Time=1.1 Seconds  Run Time=1948.2 Seconds
FIRESTARTER_OPTIMIZE_GPU: Seed=0  Test=13  Optimize=0  Generation= 18 *Result=0.00000080  Best=0.00000080   Time=2.4 Seconds  Run Time=1950.5 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 20  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00006032  Bad Result=0.00105238  Index=7775  EvolveAge1=88  EvolveAge2=2134  Best=0.00006032   BestAge=3  Time=1.1 Seconds  Run Time=1951.6 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 21  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00105238  Bad Result=0.00105238  Index=7775  EvolveAge1=588  EvolveAge2=2134  Best=0.00006032   BestAge=4  Time=1.1 Seconds  Run Time=1952.7 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 22  Age=  2  Evolution= 0  Weight=0.00000000  Old Result=0.00105238  Bad Result=0.00105238  Index=7775  EvolveAge1=1088  EvolveAge2=2134  Best=0.00006032   BestAge=5  Time=1.1 Seconds  Run Time=1953.8 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 23  Age=  3  Evolution= 0  Weight=0.00000000  Old Result=0.00105238  Bad Result=0.00105238  Index=7775  EvolveAge1=1588  EvolveAge2=2134  Best=0.00006032   BestAge=6  Time=1.1 Seconds  Run Time=1954.9 Seconds
FIRESTARTER_OPTIMIZE_GPU: Seed=0  Test=13  Optimize=0  Generation= 23 *Result=0.00049585  Best=0.00049585   Time=2.3 Seconds  Run Time=1957.1 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 24  Age=  4  Evolution= 0  Weight=0.00000000  Old Result=0.00105238  Bad Result=0.00105238  Index=7775  EvolveAge1=2088  EvolveAge2=2134  Best=0.00006032   BestAge=7  Time=1.1 Seconds  Run Time=1958.2 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 25  Age=  5  Evolution= 0  Weight=0.00000000  Old Result=0.00105238  Bad Result=0.00105506  Index=1062  EvolveAge1=588  EvolveAge2=946  Best=0.00006032   BestAge=8  Time=1.1 Seconds  Run Time=1959.3 Seconds
