CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.10243542  Best=0.10243542 BestError=0.10059024  Time=   7.5  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.10243542 BestError=0.10059024  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00228131  Best=0.00228131 BestError=0.00208052  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00067529  Best=0.00067529 BestError=0.00059947  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   7  Id=   8  Generation=  4  Age=  2  Evolution= 2  Weight=0.00122881  Old Result= 0.00040960  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.5  Run Time=  30.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   3  Id=  13  Generation= 13  Age= 13  Evolution= 1  Weight=0.00105214  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.8  Run Time=  30.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   1  Id=  16  Generation=  2  Age=  2  Evolution= 1  Weight=0.00045615  Old Result= 0.00045615  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   5.0  Run Time=  32.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  15  Id=  13  Generation= 19  Age= 19  Evolution= 1  Weight=0.00157821  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00008768 BestError=0.00021528  Time=   2.6  Run Time=  33.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.05443330  Best=0.00008768 BestError=0.00021528  Time=   7.2  Run Time=  35.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   2  Id=  16  Generation=  3  Age=  3  Evolution= 1  Weight=0.00091230  Old Result= 0.00045615 >New Result=0.00032053  Best=0.00008768 BestError=0.00021528  Time=   7.2  Run Time=  35.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   6  Id=  13  Generation= 15  Age= 15  Evolution= 1  Weight=0.00122749  Old Result= 0.00008768 *New Result=0.00004532  Best=0.00004532 BestError=0.00003598  Time=   7.4  Run Time=  35.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   5  Id=  13  Generation= 14  Age= 14  Evolution= 1  Weight=0.00113982  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   7.3  Run Time=  35.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   9  Id=  11  Generation=  6  Age=  3  Evolution= 2  Weight=0.00131531  Old Result= 0.00026306  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   2.4  Run Time=  35.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  12  Id=  13  Generation= 17  Age= 17  Evolution= 1  Weight=0.00140285  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   6.9  Run Time=  37.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  14  Id=  13  Generation= 18  Age= 18  Evolution= 1  Weight=0.00149053  Old Result= 0.00008768  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   1.9  Run Time=  37.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  11  Id=  16  Generation=  4  Age=  4  Evolution= 1  Weight=0.00136845  Old Result= 0.00045615  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   6.6  Run Time=  37.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   8  Id=  13  Generation= 16  Age= 16  Evolution= 1  Weight=0.00131517  Old Result= 0.00008768 >New Result=0.00008620  Best=0.00004532 BestError=0.00003598  Time=   3.9  Run Time=  39.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  10  Id=   7  Generation=  3  Age=  3  Evolution= 1  Weight=0.00135058  Old Result= 0.00067529 >New Result=0.00045191  Best=0.00004532 BestError=0.00003598  Time=   4.0  Run Time=  39.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  13  Id=  15  Generation=  2  Age=  2  Evolution= 1  Weight=0.00148309  Old Result= 0.00148309 >New Result=0.00052358  Best=0.00004532 BestError=0.00003598  Time=   3.8  Run Time=  39.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   3  Id=  13  Generation= 23  Age=  4  Evolution= 2  Weight=0.00099709  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   2.6  Run Time=  42.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   7  Id=  13  Generation= 27  Age=  8  Evolution= 2  Weight=0.00117838  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   2.6  Run Time=  42.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   5  Id=  13  Generation= 25  Age=  6  Evolution= 2  Weight=0.00108774  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   5.0  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  15  Id=  13  Generation= 35  Age= 16  Evolution= 2  Weight=0.00154096  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00004532 BestError=0.00003598  Time=   2.4  Run Time=  45.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00355382  Best=0.00004532 BestError=0.00003598  Time=   7.3  Run Time=  47.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   6  Id=  13  Generation= 26  Age=  7  Evolution= 2  Weight=0.00113306  Old Result= 0.00004532 *New Result=0.00003199  Best=0.00003199 BestError=0.00003453  Time=   7.3  Run Time=  47.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   1  Id=  13  Generation= 21  Age=  2  Evolution= 2  Weight=0.00090645  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   7.4  Run Time=  47.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   4  Id=  13  Generation= 24  Age=  5  Evolution= 2  Weight=0.00104242  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   7.5  Run Time=  47.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   2  Id=  13  Generation= 22  Age=  3  Evolution= 2  Weight=0.00095177  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   7.5  Run Time=  47.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  13  Id=  13  Generation= 33  Age= 14  Evolution= 2  Weight=0.00145032  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   2.2  Run Time=  47.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=   8  Id=  13  Generation= 28  Age=  9  Evolution= 2  Weight=0.00122371  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   1.7  Run Time=  49.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=12  Index=  11  Id=  13  Generation= 31  Age= 12  Evolution= 2  Weight=0.00135967  Old Result= 0.00004532  Bad Result=10.00000000  Best=0.00003199 BestError=0.00003453  Time=   6.4  Run Time=  49.1
