variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.07410121  Result=0.15513909  Best=0.07410121  Seed=5FA82B45  ResultHash=DF72  ProgramHash=BEB5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.07410121  Result=0.14420867  Best=0.07410121  Seed=5FA82B4A  ResultHash=6D84  ProgramHash=F4C6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.07410121  Result=0.11018741  Best=0.07410121  Seed=5FA82B4F  ResultHash=FB21  ProgramHash=8FF2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.07410121  Result=0.11056280  Best=0.07410121  Seed=5FA82B54  ResultHash=D32D  ProgramHash=44E2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.06792140  Result=0.06792140  Best=0.06792140  Seed=5FA82B59  ResultHash=1399  ProgramHash=44E2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.06792140  Result=0.09782857  Best=0.06792140  Seed=5FA82B5E  ResultHash=9E7D  ProgramHash=1C77
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.06792140  Result=0.08351809  Best=0.06792140  Seed=5FA82B63  ResultHash=24DA  ProgramHash=776A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.06792140  Result=0.10118002  Best=0.06792140  Seed=5FA82B68  ResultHash=595E  ProgramHash=ACDE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.06792140  Result=0.13069773  Best=0.06792140  Seed=5FA82B6D  ResultHash=0757  ProgramHash=9F1C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.06792140  Result=0.12782782  Best=0.06792140  Seed=5FA82B72  ResultHash=7A5A  ProgramHash=6F7D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.06792140  Result=0.10420552  Best=0.06792140  Seed=5FA82B77  ResultHash=62CA  ProgramHash=F4A3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.06792140  Result=0.10303485  Best=0.06792140  Seed=5FA82B7C  ResultHash=1C08  ProgramHash=A6B3
