CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
evolveSeed = 0
optimizeSeed = 0
seeds = 1
tests = 0
units = 1
processes = 0
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Generation=313  Age=13  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2630 Seconds  Run Time=10.1346 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=314  Age=14  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2633 Seconds  Run Time=10.3978 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=315  Age=15  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2620 Seconds  Run Time=10.6598 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=316  Age=16  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2623 Seconds  Run Time=10.9222 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=317  Age=17  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2626 Seconds  Run Time=11.1847 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=318  Age=18  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2641 Seconds  Run Time=11.4488 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=319  Age=19  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2631 Seconds  Run Time=11.7119 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=320  Age=20  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2614 Seconds  Run Time=11.9734 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=321  Age=21  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2621 Seconds  Run Time=12.2355 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=322  Age=22  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2633 Seconds  Run Time=12.4987 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=323  Age=23  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2617 Seconds  Run Time=12.7605 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=324  Age=24  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2626 Seconds  Run Time=13.0231 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=325  Age=25  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2633 Seconds  Run Time=13.2864 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=326  Age=26  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2644 Seconds  Run Time=13.5508 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=327  Age=27  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2623 Seconds  Run Time=13.8131 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=328  Age=28  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2638 Seconds  Run Time=14.0769 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=329  Age=29  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2620 Seconds  Run Time=14.3389 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=330  Age=30  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2646 Seconds  Run Time=14.6036 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=331  Age=31  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2651 Seconds  Run Time=14.8687 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Generation=332  Age=32  Evolution=29  Result=0.00001323  Best=0.00001323  BestSeed=0  BestGen=300  Time=0.2631 Seconds  Run Time=15.1318 Seconds  TestError=0.00000131
