variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_EVOLVE;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 100;
seed = 7988;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_EVOLVE: Seed=7989  Generation=1  Age=0  Best=0.00054266  BestSeed=7989  Time=7.2739 Seconds  Run Time=17.4732 Seconds  TestError=0.00000007
FIRESTARTER_EVOLVE: Seed=7991  Generation=3  Age=0  Best=0.00009012  BestSeed=7991  Time=3.6438 Seconds  Run Time=17.5758 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=7990  Generation=2  Age=4294967295  Best=0.00009012  BestSeed=7991  Time=4.9199 Seconds  Run Time=17.6598 Seconds  TestError=8.50804138
FIRESTARTER_EVOLVE: Seed=7992  Generation=4  Age=1  Best=0.00009012  BestSeed=7991  Time=3.0169 Seconds  Run Time=17.9856 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=7988  Generation=0  Age=0  Best=0.00004703  BestSeed=7988  Time=15.4252 Seconds  Run Time=18.3486 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=7993  Generation=5  Age=5  Best=0.00004703  BestSeed=7988  Time=2.5980 Seconds  Run Time=18.4880 Seconds  TestError=0.00000143
FIRESTARTER_EVOLVE: Seed=7994  Generation=6  Age=6  Best=0.00004703  BestSeed=7988  Time=2.2371 Seconds  Run Time=18.5598 Seconds  TestError=8.50804138
FIRESTARTER_EVOLVE: Seed=7995  Generation=7  Age=7  Best=0.00004703  BestSeed=7988  Time=1.9700 Seconds  Run Time=18.6597 Seconds  TestError=8.50804138
FIRESTARTER_EVOLVE: Seed=7997  Generation=9  Age=9  Best=0.00004703  BestSeed=7988  Time=1.5899 Seconds  Run Time=18.7992 Seconds  TestError=8.50804138
FIRESTARTER_EVOLVE: Seed=7998  Generation=10  Age=10  Best=0.00004703  BestSeed=7988  Time=1.4483 Seconds  Run Time=18.8315 Seconds  TestError=8.50804138
FIRESTARTER_EVOLVE: Seed=7996  Generation=8  Age=8  Best=0.00004703  BestSeed=7988  Time=1.7942 Seconds  Run Time=19.0475 Seconds  TestError=8.50804138
FIRESTARTER_EVOLVE: Seed=7999  Generation=11  Age=11  Best=0.00004703  BestSeed=7988  Time=1.3690 Seconds  Run Time=19.3276 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=8001  Generation=13  Age=0  Best=0.00001717  BestSeed=8001  Time=1.2092 Seconds  Run Time=19.8601 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=8000  Generation=12  Age=4294967295  Best=0.00001717  BestSeed=8001  Time=1.3080 Seconds  Run Time=19.9039 Seconds  TestError=0.00000048
