variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.02144374  Result=0.02144374  Seed=C0A9498C  ResultHash=854A  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.02143538  Result=0.02143538  Seed=C0A9498D  ResultHash=F2EB  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.02133447  Result=0.02133447  Seed=C0A9498E  ResultHash=8CED  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.02133447  Result=0.02133447  Seed=C0A9498F  ResultHash=8CED  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.02133447  Result=0.02133447  Seed=C0A94990  ResultHash=8CED  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.02123863  Result=0.02123863  Seed=C0A94991  ResultHash=CFF1  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.02116096  Result=0.02116096  Seed=C0A94992  ResultHash=C7A3  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.02115262  Result=0.02115262  Seed=C0A94993  ResultHash=16CE  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.02115262  Result=0.02115262  Seed=C0A94994  ResultHash=16CE  ProgramHash=7E09
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.02115190  Result=0.02115190  Seed=C0A94995  ResultHash=6F34  ProgramHash=7E09
