instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 256;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00834858  Result=0.00834858  Best=0.00834858  Seed=C0A94AA0  ResultHash=89DD  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00834769  Result=0.00834769  Best=0.00834769  Seed=C0A94AAA  ResultHash=4A79  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00834763  Result=0.00834763  Best=0.00834763  Seed=C0A94AB4  ResultHash=2EC9  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00834763  Result=0.00834763  Best=0.00834763  Seed=C0A94ABE  ResultHash=E987  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00834763  Result=0.00834763  Best=0.00834763  Seed=C0A94AC8  ResultHash=6CC3  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00834763  Result=0.00834763  Best=0.00834763  Seed=C0A94AD2  ResultHash=F4D3  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00834763  Result=0.00834763  Best=0.00834763  Seed=C0A94ADC  ResultHash=5977  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00834763  Result=0.00834763  Best=0.00834763  Seed=C0A94AE6  ResultHash=CA9B  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00834286  Result=0.00834286  Best=0.00834286  Seed=C0A94AF0  ResultHash=9C04  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00834286  Result=0.00834763  Best=0.00834286  Seed=C0A94AFA  ResultHash=D681  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00834286  Result=0.00834751  Best=0.00834286  Seed=C0A94B04  ResultHash=3B38  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00834286  Result=0.00834763  Best=0.00834286  Seed=C0A94B0E  ResultHash=3797  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00834286  Result=0.00834763  Best=0.00834286  Seed=C0A94B18  ResultHash=0291  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00834286  Result=0.00834763  Best=0.00834286  Seed=C0A94B22  ResultHash=67FF  ProgramHash=FA40
