variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
processes = 0;
population = 139264;
iterations = 256;
candidates = 16;
generations = 50;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 2.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Test=0  Generation=33  Age=3  Best=0.00000134  BestSeed=30  Time=0.4434 Seconds  Run Time=17.2541 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=34  Age=4  Best=0.00000134  BestSeed=30  Time=0.4424 Seconds  Run Time=17.6965 Seconds  TestError=0.00000155
FIRESTARTER_OPTIMIZE: Test=0  Generation=35  Age=5  Best=0.00000134  BestSeed=30  Time=0.4439 Seconds  Run Time=18.1404 Seconds  TestError=0.00000155
FIRESTARTER_OPTIMIZE: Test=0  Generation=36  Age=6  Best=0.00000134  BestSeed=30  Time=0.4417 Seconds  Run Time=18.5821 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=37  Age=7  Best=0.00000134  BestSeed=30  Time=0.4429 Seconds  Run Time=19.0250 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=38  Age=8  Best=0.00000134  BestSeed=30  Time=0.4415 Seconds  Run Time=19.4665 Seconds  TestError=0.00000155
FIRESTARTER_OPTIMIZE: Test=0  Generation=39  Age=9  Best=0.00000134  BestSeed=30  Time=0.4421 Seconds  Run Time=19.9086 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=40  Age=10  Best=0.00000134  BestSeed=30  Time=0.4441 Seconds  Run Time=20.3528 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=41  Age=11  Best=0.00000134  BestSeed=30  Time=0.4438 Seconds  Run Time=20.7966 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=42  Age=12  Best=0.00000134  BestSeed=30  Time=0.4441 Seconds  Run Time=21.2407 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=43  Age=13  Best=0.00000134  BestSeed=30  Time=0.4450 Seconds  Run Time=21.6857 Seconds  TestError=0.00000152
FIRESTARTER_OPTIMIZE: Test=0  Generation=44  Age=14  Best=0.00000134  BestSeed=30  Time=0.4434 Seconds  Run Time=22.1290 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=45  Age=15  Best=0.00000134  BestSeed=30  Time=0.4450 Seconds  Run Time=22.5741 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=46  Age=16  Best=0.00000134  BestSeed=30  Time=0.4454 Seconds  Run Time=23.0194 Seconds  TestError=0.00000152
FIRESTARTER_OPTIMIZE: Test=0  Generation=47  Age=17  Best=0.00000134  BestSeed=30  Time=0.4456 Seconds  Run Time=23.4650 Seconds  TestError=0.00000152
FIRESTARTER_OPTIMIZE: Test=0  Generation=48  Age=18  Best=0.00000134  BestSeed=30  Time=0.4438 Seconds  Run Time=23.9088 Seconds  TestError=0.00000152
FIRESTARTER_OPTIMIZE: Test=0  Generation=49  Age=19  Best=0.00000134  BestSeed=30  Time=0.4444 Seconds  Run Time=24.3532 Seconds  TestError=0.00000170
FIRESTARTER_OPTIMIZE: Test=0  Generation=50  Age=20  Best=0.00000134  BestSeed=30  Time=0.4447 Seconds  Run Time=24.7979 Seconds  TestError=0.00000152
FIRESTARTER_OPTIMIZE: Test=0  Generation=51  Age=0  Best=0.00000131  BestSeed=51  Time=0.4462 Seconds  Run Time=25.2441 Seconds  TestError=0.00000155
FIRESTARTER_OPTIMIZE: Test=0  Generation=52  Age=1  Best=0.00000131  BestSeed=51  Time=0.4580 Seconds  Run Time=25.7021 Seconds  TestError=0.00000155
