CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_EVOLVE
evolveSeed = 0
optimizeSeed = 0
tests = 1
seeds = 64
units = 4
population = 278528
iterations = 64
optimizations = 500
precision = 0
candidates = 16
attempts = 64

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=25  Id=25  CopyId=25  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 *New Result=0.00026983  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=26  Id=26  CopyId=26  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00168060  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=27  Id=27  CopyId=27  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00178034  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=28  Id=28  CopyId=28  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00125490  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=29  Id=29  CopyId=29  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.94436926  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=30  Id=30  CopyId=30  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.25536108  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=31  Id=31  CopyId=31  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.01278919  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=32  Id=32  CopyId=32  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=1.24038529  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=33  Id=33  CopyId=33  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.01843905  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=34  Id=34  CopyId=34  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00394553  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=35  Id=35  CopyId=35  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00285875  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=36  Id=36  CopyId=36  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.40984970  Best=0.00026983  BestError=0.00000294  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=37  Id=37  CopyId=37  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 *New Result=0.00022906  Best=0.00022906  BestError=0.00000024  BestAge=0
