variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
processes = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE: Seed=32  Generation=32  Age=0  Best=0.01445508  BestSeed=32  Time=0.4900 Seconds  Run Time=17.7892 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=33  Generation=33  Age=1  Best=0.01445508  BestSeed=32  Time=0.4893 Seconds  Run Time=18.2692 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=34  Generation=34  Age=2  Best=0.01445508  BestSeed=32  Time=0.4970 Seconds  Run Time=18.7662 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=35  Generation=35  Age=3  Best=0.01445508  BestSeed=32  Time=0.4846 Seconds  Run Time=19.2508 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=36  Generation=36  Age=4  Best=0.01445508  BestSeed=32  Time=0.4957 Seconds  Run Time=19.7465 Seconds  TestError=42573829099300585472.00000000
FIRESTARTER_CODE: Seed=37  Generation=37  Age=0  Best=0.01445496  BestSeed=37  Time=0.4966 Seconds  Run Time=20.2524 Seconds  TestError=5703519756506628096.00000000
FIRESTARTER_CODE: Seed=38  Generation=38  Age=1  Best=0.01445496  BestSeed=37  Time=0.5051 Seconds  Run Time=20.7481 Seconds  TestError=5703519756506628096.00000000
FIRESTARTER_CODE: Seed=39  Generation=39  Age=0  Best=0.01439583  BestSeed=39  Time=0.4990 Seconds  Run Time=21.2562 Seconds  TestError=46084270659626598400.00000000
FIRESTARTER_CODE: Seed=40  Generation=40  Age=1  Best=0.01439583  BestSeed=39  Time=0.5046 Seconds  Run Time=21.7517 Seconds  TestError=46084270659626598400.00000000
FIRESTARTER_CODE: Seed=41  Generation=41  Age=2  Best=0.01439583  BestSeed=39  Time=0.4968 Seconds  Run Time=22.2485 Seconds  TestError=46084270659626598400.00000000
FIRESTARTER_CODE: Seed=42  Generation=42  Age=3  Best=0.01439583  BestSeed=39  Time=0.4969 Seconds  Run Time=22.7453 Seconds  TestError=46084270659626598400.00000000
FIRESTARTER_CODE: Seed=43  Generation=43  Age=4  Best=0.01439583  BestSeed=39  Time=0.4991 Seconds  Run Time=23.2444 Seconds  TestError=46084270659626598400.00000000
