variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 6;
process = 1;
population = 17408;
iterations = 128;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=93  Seed=93  Result=0.00120258  Average=0.00056196  Best=0.00061893  BestSeed=17  Time=10.2139 Seconds  Run Time=12.7704 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=97  Seed=97  Result=0.00105381  Average=0.00054965  Best=0.00061893  BestSeed=17  Time=10.6243 Seconds  Run Time=13.1809 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=100  Seed=100  Result=0.00016552  Average=0.00053481  Best=0.00016552  BestSeed=100  Time=10.8961 Seconds  Run Time=13.4526 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=102  Seed=102  Result=0.00098479  Average=0.00053398  Best=0.00016552  BestSeed=100  Time=11.0026 Seconds  Run Time=13.5591 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=107  Seed=107  Result=0.00061893  Average=0.00051481  Best=0.00016552  BestSeed=100  Time=11.4172 Seconds  Run Time=13.9738 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=110  Seed=110  Result=0.00120258  Average=0.00051171  Best=0.00016552  BestSeed=100  Time=11.6726 Seconds  Run Time=14.2291 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=111  Seed=111  Result=0.00140405  Average=0.00051975  Best=0.00016552  BestSeed=100  Time=11.7258 Seconds  Run Time=14.2823 Seconds  TestError=0.00000238
FIRESTARTER_RANDOM: Generation=115  Seed=115  Result=0.00105381  Average=0.00051083  Best=0.00016552  BestSeed=100  Time=12.0650 Seconds  Run Time=14.6216 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=118  Seed=118  Result=0.00016552  Average=0.00049925  Best=0.00016552  BestSeed=100  Time=12.2557 Seconds  Run Time=14.8122 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=121  Seed=121  Result=0.00098479  Average=0.00049501  Best=0.00016552  BestSeed=100  Time=12.4687 Seconds  Run Time=15.0252 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=125  Seed=125  Result=0.00061893  Average=0.00048412  Best=0.00016552  BestSeed=100  Time=12.7498 Seconds  Run Time=15.3064 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=129  Seed=129  Result=0.00106862  Average=0.00047739  Best=0.00016552  BestSeed=100  Time=13.0088 Seconds  Run Time=15.5654 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=132  Seed=132  Result=0.00105381  Average=0.00047452  Best=0.00016552  BestSeed=100  Time=13.4293 Seconds  Run Time=15.9859 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=136  Seed=136  Result=0.00016552  Average=0.00046178  Best=0.00016552  BestSeed=100  Time=13.6116 Seconds  Run Time=16.1681 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=138  Seed=138  Result=0.00098479  Average=0.00046223  Best=0.00016552  BestSeed=100  Time=13.8116 Seconds  Run Time=16.3682 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=143  Seed=143  Result=0.00061893  Average=0.00045039  Best=0.00016552  BestSeed=100  Time=14.0848 Seconds  Run Time=16.6414 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=146  Seed=146  Result=0.00106862  Average=0.00044846  Best=0.00016552  BestSeed=100  Time=14.3712 Seconds  Run Time=16.9278 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=147  Seed=147  Result=0.00048745  Average=0.00044872  Best=0.00016552  BestSeed=100  Time=14.3834 Seconds  Run Time=16.9399 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=151  Seed=151  Result=0.00105381  Average=0.00044382  Best=0.00016552  BestSeed=100  Time=14.7366 Seconds  Run Time=17.2932 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=153  Seed=153  Result=0.00016552  Average=0.00043910  Best=0.00016552  BestSeed=100  Time=14.8919 Seconds  Run Time=17.4485 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=156  Seed=156  Result=0.00098479  Average=0.00043697  Best=0.00016552  BestSeed=100  Time=15.0478 Seconds  Run Time=17.6044 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=161  Seed=161  Result=0.00061893  Average=0.00042724  Best=0.00016552  BestSeed=100  Time=15.3552 Seconds  Run Time=17.9118 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=165  Seed=165  Result=0.00106862  Average=0.00042336  Best=0.00016552  BestSeed=100  Time=15.6320 Seconds  Run Time=18.1885 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=168  Seed=168  Result=0.00105381  Average=0.00042207  Best=0.00016552  BestSeed=100  Time=16.0139 Seconds  Run Time=18.5705 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=172  Seed=172  Result=0.00016552  Average=0.00041322  Best=0.00016552  BestSeed=100  Time=16.2753 Seconds  Run Time=18.8318 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=174  Seed=174  Result=0.00082916  Average=0.00041323  Best=0.00016552  BestSeed=100  Time=16.4264 Seconds  Run Time=18.9830 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=179  Seed=179  Result=0.00061893  Average=0.00040515  Best=0.00016552  BestSeed=100  Time=16.7168 Seconds  Run Time=19.2734 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=183  Seed=183  Result=0.00106862  Average=0.00040213  Best=0.00016552  BestSeed=100  Time=16.9635 Seconds  Run Time=19.5201 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=188  Seed=188  Result=0.00048745  Average=0.00039403  Best=0.00016552  BestSeed=100  Time=17.3132 Seconds  Run Time=19.8698 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=193  Seed=193  Result=0.00105381  Average=0.00038928  Best=0.00016552  BestSeed=100  Time=17.6744 Seconds  Run Time=20.2309 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=196  Seed=196  Result=0.00016552  Average=0.00038417  Best=0.00016552  BestSeed=100  Time=17.9529 Seconds  Run Time=20.5095 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=198  Seed=198  Result=0.00082916  Average=0.00038448  Best=0.00016552  BestSeed=100  Time=18.0612 Seconds  Run Time=20.6177 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=203  Seed=203  Result=0.00061893  Average=0.00037805  Best=0.00016552  BestSeed=100  Time=18.4074 Seconds  Run Time=20.9639 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=207  Seed=207  Result=0.00106862  Average=0.00037591  Best=0.00016552  BestSeed=100  Time=18.6615 Seconds  Run Time=21.2181 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=212  Seed=212  Result=0.00048745  Average=0.00036935  Best=0.00016552  BestSeed=100  Time=19.0397 Seconds  Run Time=21.5962 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=217  Seed=217  Result=0.00105381  Average=0.00036569  Best=0.00016552  BestSeed=100  Time=19.3375 Seconds  Run Time=21.8940 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=220  Seed=220  Result=0.00016552  Average=0.00036146  Best=0.00016552  BestSeed=100  Time=19.5707 Seconds  Run Time=22.1273 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=227  Seed=227  Result=0.00081635  Average=0.00035391  Best=0.00016552  BestSeed=100  Time=19.9695 Seconds  Run Time=22.5261 Seconds  TestError=0.00000018
