variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 8000;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=1  Seed=8002  Result=0.00041245  Average=0.00041245  Best=0.00041245  BestSeed=8002  Time=1.3412 Seconds  Run Time=3.9558 Seconds  TestError=0.00000095
FIRESTARTER_RANDOM: Generation=2  Seed=8000  Result=0.00161666  Average=0.00101455  Best=0.00041245  BestSeed=8002  Time=0.6786 Seconds  Run Time=3.9576 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=3  Seed=8001  Result=0.34869671  Average=0.11690861  Best=0.00041245  BestSeed=8002  Time=0.5693 Seconds  Run Time=4.3082 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=4  Seed=8005  Result=0.00296727  Average=0.08842327  Best=0.00041245  BestSeed=8002  Time=0.4435 Seconds  Run Time=4.3746 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=5  Seed=8004  Result=0.00044599  Average=0.07082782  Best=0.00041245  BestSeed=8002  Time=0.4193 Seconds  Run Time=4.6969 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=6  Seed=8003  Result=0.34655368  Average=0.11678213  Best=0.00041245  BestSeed=8002  Time=0.3566 Seconds  Run Time=4.7400 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=7  Seed=8007  Result=0.00422592  Average=0.10070267  Best=0.00041245  BestSeed=8002  Time=0.3635 Seconds  Run Time=5.1451 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=8  Seed=8010  Result=0.00189111  Average=0.08835122  Best=0.00041245  BestSeed=8002  Time=0.3440 Seconds  Run Time=5.3528 Seconds  TestError=0.00000280
FIRESTARTER_RANDOM: Generation=9  Seed=8009  Result=0.00381392  Average=0.07895818  Best=0.00041245  BestSeed=8002  Time=0.3297 Seconds  Run Time=5.5681 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=10  Seed=8008  Result=0.00051093  Average=0.07111346  Best=0.00041245  BestSeed=8002  Time=0.3104 Seconds  Run Time=5.7042 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=11  Seed=8006  Result=0.00127113  Average=0.06476416  Best=0.00041245  BestSeed=8002  Time=0.3077 Seconds  Run Time=5.9850 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=12  Seed=8011  Result=0.00515348  Average=0.05979660  Best=0.00041245  BestSeed=8002  Time=0.2898 Seconds  Run Time=6.0783 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=13  Seed=8013  Result=0.00292904  Average=0.05542217  Best=0.00041245  BestSeed=8002  Time=0.2993 Seconds  Run Time=6.4908 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=14  Seed=8015  Result=0.00054359  Average=0.05150228  Best=0.00041245  BestSeed=8002  Time=0.2875 Seconds  Run Time=6.6253 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=15  Seed=8014  Result=0.00045186  Average=0.04809891  Best=0.00041245  BestSeed=8002  Time=0.2850 Seconds  Run Time=6.8754 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=16  Seed=8012  Result=0.00083137  Average=0.04514469  Best=0.00041245  BestSeed=8002  Time=0.2767 Seconds  Run Time=7.0271 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=17  Seed=8016  Result=0.00051361  Average=0.04251933  Best=0.00041245  BestSeed=8002  Time=0.2723 Seconds  Run Time=7.2299 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=18  Seed=8017  Result=0.00059581  Average=0.04019025  Best=0.00041245  BestSeed=8002  Time=0.2815 Seconds  Run Time=7.6679 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=19  Seed=8019  Result=0.00065207  Average=0.03810929  Best=0.00041245  BestSeed=8002  Time=0.2793 Seconds  Run Time=7.9073 Seconds  TestError=0.00000119
FIRESTARTER_RANDOM: Generation=20  Seed=8018  Result=0.00042682  Average=0.03622517  Best=0.00041245  BestSeed=8002  Time=0.2762 Seconds  Run Time=8.1250 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=21  Seed=8020  Result=0.00044024  Average=0.03452113  Best=0.00041245  BestSeed=8002  Time=0.2835 Seconds  Run Time=8.5543 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=22  Seed=8021  Result=0.00024211  Average=0.03296299  Best=0.00024211  BestSeed=8021  Time=0.2732 Seconds  Run Time=8.6493 Seconds  TestError=0.00000094
FIRESTARTER_RANDOM: Generation=23  Seed=8022  Result=0.00241283  Average=0.03163472  Best=0.00024211  BestSeed=8021  Time=0.2793 Seconds  Run Time=9.0249 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=24  Seed=8023  Result=0.00087869  Average=0.03035322  Best=0.00024211  BestSeed=8021  Time=0.2728 Seconds  Run Time=9.1467 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=25  Seed=8024  Result=0.00098103  Average=0.02917833  Best=0.00024211  BestSeed=8021  Time=0.2757 Seconds  Run Time=9.4921 Seconds  TestError=2.20769382
FIRESTARTER_RANDOM: Generation=26  Seed=8025  Result=0.07184035  Average=0.03081918  Best=0.00024211  BestSeed=8021  Time=0.2672 Seconds  Run Time=9.5473 Seconds  TestError=2.20769382
