CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 4
processes = 4
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=0  Generation=0  Age=0  Evolution=0 *Result=0.14241731  Best=0.14241731  BestSeed=0  BestGen=0  Time=78.0721 Seconds  Run Time=4208.8395 Seconds  TestError=0.00000000
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=1  Generation=0  Age=0  Evolution=0 *Result=0.00519830  Best=0.00519830  BestSeed=0  BestGen=0  Time=0.0144 Seconds  Run Time=4208.8973 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=2  Generation=0  Age=0  Evolution=0 *Result=0.00220203  Best=0.00220203  BestSeed=0  BestGen=0  Time=0.0112 Seconds  Run Time=4208.9421 Seconds  TestError=0.00000185
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=3  Generation=0  Age=0  Evolution=0  Result=0.01616027  Best=0.00220203  BestSeed=0  BestGen=0  Time=0.0011 Seconds  Run Time=4208.9463 Seconds  TestError=0.00000185
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=4  Generation=0  Age=0  Evolution=0 *Result=0.00219232  Best=0.00219232  BestSeed=0  BestGen=0  Time=0.0051 Seconds  Run Time=4208.9665 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=5  Generation=0  Age=0  Evolution=0  Result=0.00515604  Best=0.00219232  BestSeed=0  BestGen=0  Time=0.0019 Seconds  Run Time=4208.9742 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=6  Generation=0  Age=0  Evolution=0  Result=0.01281646  Best=0.00219232  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4208.9746 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=7  Generation=0  Age=0  Evolution=0  Result=0.99087948  Best=0.00219232  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4208.9751 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=8  Generation=0  Age=0  Evolution=0  Result=0.63171685  Best=0.00219232  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4208.9754 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=9  Generation=0  Age=0  Evolution=0  Result=0.00340855  Best=0.00219232  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4208.9756 Seconds  TestError=0.00000018
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=10  Generation=0  Age=0  Evolution=0  Result=0.50557238  Best=0.00219232  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4208.9759 Seconds  TestError=0.00000018
