instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.01851621  Result=0.01851621  Best=0.01851621  Seed=C0A949DE  ResultHash=1308  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.01851621  Result=0.01851621  Best=0.01851621  Seed=C0A949E2  ResultHash=F48C  ProgramHash=DCEC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.01851621  Result=0.01851624  Best=0.01851621  Seed=C0A949E6  ResultHash=0813  ProgramHash=54CB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.01851621  Result=0.01851630  Best=0.01851621  Seed=C0A949EA  ResultHash=4595  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A949EE  ResultHash=1184  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A949F2  ResultHash=1024  ProgramHash=A4EA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A949F6  ResultHash=834F  ProgramHash=950E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A949FA  ResultHash=FBD2  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A949FE  ResultHash=93B8  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A94A02  ResultHash=9AB6  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A94A06  ResultHash=FBD2  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A94A0A  ResultHash=F694  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A94A0E  ResultHash=C790  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.01851618  Result=0.01851618  Best=0.01851618  Seed=C0A94A12  ResultHash=676C  ProgramHash=6223
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  42  Best=0.01721996  Result=0.01721996  Best=0.01721996  Seed=C0A94A16  ResultHash=6596  ProgramHash=1F88
