variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
processes = 0;
population = 139264;
iterations = 256;
candidates = 16;
generations = 50;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 2.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Test=0  Generation=0  Age=0  Best=0.00006151  BestSeed=0  Time=0.0000 Seconds  Run Time=1.9086 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Test=0  Generation=1  Age=0  Best=0.00005150  BestSeed=1  Time=2.9369 Seconds  Run Time=2.9369 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Test=0  Generation=2  Age=0  Best=0.00005090  BestSeed=2  Time=0.4429 Seconds  Run Time=3.3798 Seconds  TestError=0.00000107
FIRESTARTER_OPTIMIZE: Test=0  Generation=3  Age=0  Best=0.00005054  BestSeed=3  Time=0.4455 Seconds  Run Time=3.8253 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Test=0  Generation=4  Age=0  Best=0.00005049  BestSeed=4  Time=0.4451 Seconds  Run Time=4.2704 Seconds  TestError=0.00000053
FIRESTARTER_OPTIMIZE: Test=0  Generation=5  Age=0  Best=0.00005043  BestSeed=5  Time=0.4449 Seconds  Run Time=4.7153 Seconds  TestError=0.00000066
FIRESTARTER_OPTIMIZE: Test=0  Generation=6  Age=0  Best=0.00004244  BestSeed=6  Time=0.4447 Seconds  Run Time=5.1600 Seconds  TestError=0.00000101
FIRESTARTER_OPTIMIZE: Test=0  Generation=7  Age=0  Best=0.00003994  BestSeed=7  Time=0.4425 Seconds  Run Time=5.6025 Seconds  TestError=0.00000033
FIRESTARTER_OPTIMIZE: Test=0  Generation=8  Age=0  Best=0.00003958  BestSeed=8  Time=0.4459 Seconds  Run Time=6.0484 Seconds  TestError=0.00000033
FIRESTARTER_OPTIMIZE: Test=0  Generation=9  Age=0  Best=0.00003897  BestSeed=9  Time=0.4436 Seconds  Run Time=6.4920 Seconds  TestError=0.00000107
FIRESTARTER_OPTIMIZE: Test=0  Generation=10  Age=0  Best=0.00003879  BestSeed=10  Time=0.4449 Seconds  Run Time=6.9369 Seconds  TestError=0.00000095
FIRESTARTER_OPTIMIZE: Test=0  Generation=11  Age=0  Best=0.00003481  BestSeed=11  Time=0.4442 Seconds  Run Time=7.3811 Seconds  TestError=0.00000161
FIRESTARTER_OPTIMIZE: Test=0  Generation=12  Age=0  Best=0.00002396  BestSeed=12  Time=0.4456 Seconds  Run Time=7.8267 Seconds  TestError=0.00000161
FIRESTARTER_OPTIMIZE: Test=0  Generation=13  Age=0  Best=0.00002378  BestSeed=13  Time=0.4455 Seconds  Run Time=8.2722 Seconds  TestError=0.00000077
