variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=24  Seed=23  Result=0.00232488  Average=0.00106860  Best=0.00025827  BestSeed=8  Time=0.2094 Seconds  Run Time=10.4694 Seconds  TestError=8.51675415  V:0=0.00232488  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=25  Seed=24  Result=0.00031312  Average=0.00103838  Best=0.00025827  BestSeed=8  Time=0.2110 Seconds  Run Time=10.7190 Seconds  TestError=0.00000034  V:0=0.00023028  V:1=0.00010329  V:2=0.00031312
FIRESTARTER_RANDOM: Generation=26  Seed=25  Result=0.06910610  Average=0.00365637  Best=0.00025827  BestSeed=8  Time=0.2099 Seconds  Run Time=10.9011 Seconds  TestError=8.51675415  V:0=0.06910610  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=27  Seed=26  Result=0.00060153  Average=0.00354323  Best=0.00025827  BestSeed=8  Time=0.2149 Seconds  Run Time=11.2448 Seconds  TestError=0.00000012  V:0=0.00016707  V:1=0.00012004  V:2=0.00060153
FIRESTARTER_RANDOM: Generation=28  Seed=28  Result=0.00220957  Average=0.00349560  Best=0.00025827  BestSeed=8  Time=0.2118 Seconds  Run Time=11.3740 Seconds  TestError=8.51675415  V:0=0.00220957  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=29  Seed=27  Result=0.00046510  Average=0.00339110  Best=0.00025827  BestSeed=8  Time=0.2055 Seconds  Run Time=11.4020 Seconds  TestError=8.51675415  V:0=0.00046510  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=30  Seed=30  Result=0.00026596  Average=0.00328693  Best=0.00025827  BestSeed=8  Time=0.2090 Seconds  Run Time=11.7131 Seconds  TestError=7.79230595  V:0=0.00019187  V:1=0.00026596  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=31  Seed=29  Result=0.97492790  Average=0.03463018  Best=0.00025827  BestSeed=8  Time=0.2050 Seconds  Run Time=11.7974 Seconds  TestError=8.51675415  V:0=0.97492790  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=32  Seed=31  Result=0.01704882  Average=0.03408077  Best=0.00025827  BestSeed=8  Time=0.2010 Seconds  Run Time=11.8760 Seconds  TestError=8.51675415  V:0=0.01704882  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=33  Seed=33  Result=0.02248758  Average=0.03372946  Best=0.00025827  BestSeed=8  Time=0.2070 Seconds  Run Time=12.2735 Seconds  TestError=8.51675415  V:0=0.02248758  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=34  Seed=32  Result=0.00101173  Average=0.03276717  Best=0.00025827  BestSeed=8  Time=0.2028 Seconds  Run Time=12.3381 Seconds  TestError=0.00000096  V:0=0.00013512  V:1=0.00012720  V:2=0.00101173
FIRESTARTER_RANDOM: Generation=35  Seed=34  Result=0.00064171  Average=0.03184930  Best=0.00025827  BestSeed=8  Time=0.2014 Seconds  Run Time=12.4910 Seconds  TestError=8.51675415  V:0=0.00064171  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=36  Seed=35  Result=0.40851000  Average=0.04231210  Best=0.00025827  BestSeed=8  Time=0.2034 Seconds  Run Time=12.7664 Seconds  TestError=8.51675415  V:0=0.40851000  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=37  Seed=36  Result=0.00031623  Average=0.04117708  Best=0.00025827  BestSeed=8  Time=0.1989 Seconds  Run Time=12.8026 Seconds  TestError=7.79230595  V:0=0.00015932  V:1=0.00031623  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=38  Seed=37  Result=0.59283543  Average=0.05569440  Best=0.00025827  BestSeed=8  Time=0.2061 Seconds  Run Time=13.2740 Seconds  TestError=8.51675415  V:0=0.59283543  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=39  Seed=38  Result=0.00070560  Average=0.05428444  Best=0.00025827  BestSeed=8  Time=0.2012 Seconds  Run Time=13.2895 Seconds  TestError=0.00000012  V:0=0.00003284  V:1=0.00020492  V:2=0.00070560
FIRESTARTER_RANDOM: Generation=40  Seed=39  Result=0.02780551  Average=0.05362247  Best=0.00025827  BestSeed=8  Time=0.2002 Seconds  Run Time=13.4514 Seconds  TestError=8.51675415  V:0=0.02780551  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=41  Seed=41  Result=0.00034152  Average=0.05232293  Best=0.00025827  BestSeed=8  Time=0.1993 Seconds  Run Time=13.6137 Seconds  TestError=8.51675415  V:0=0.00034152  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=42  Seed=42  Result=0.00076717  Average=0.05109541  Best=0.00025827  BestSeed=8  Time=0.1982 Seconds  Run Time=13.7672 Seconds  TestError=8.51675415  V:0=0.00076717  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=43  Seed=46  Result=0.00119799  Average=0.04993501  Best=0.00025827  BestSeed=8  Time=0.1974 Seconds  Run Time=13.9314 Seconds  TestError=8.51675415  V:0=0.00119799  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=44  Seed=43  Result=0.00059348  Average=0.04881361  Best=0.00025827  BestSeed=8  Time=0.1966 Seconds  Run Time=14.0927 Seconds  TestError=8.51675415  V:0=0.00059348  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=45  Seed=44  Result=0.00069311  Average=0.04774426  Best=0.00025827  BestSeed=8  Time=0.1958 Seconds  Run Time=14.2547 Seconds  TestError=8.51675415  V:0=0.00069311  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=46  Seed=40  Result=0.01056015  Average=0.04693591  Best=0.00025827  BestSeed=8  Time=0.1939 Seconds  Run Time=14.3638 Seconds  TestError=7.79230595  V:0=0.00008899  V:1=0.01056015  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=47  Seed=45  Result=0.00379422  Average=0.04601800  Best=0.00025827  BestSeed=8  Time=0.1908 Seconds  Run Time=14.4098 Seconds  TestError=8.51675415  V:0=0.00379422  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=48  Seed=48  Result=0.00048387  Average=0.04506938  Best=0.00025827  BestSeed=8  Time=0.1901 Seconds  Run Time=14.5678 Seconds  TestError=8.51675415  V:0=0.00048387  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=49  Seed=49  Result=0.00111541  Average=0.04417235  Best=0.00025827  BestSeed=8  Time=0.1895 Seconds  Run Time=14.7293 Seconds  TestError=8.51675415  V:0=0.00111541  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=50  Seed=50  Result=0.00159672  Average=0.04332084  Best=0.00025827  BestSeed=8  Time=0.1890 Seconds  Run Time=14.8909 Seconds  TestError=5.62777710  V:0=0.00159672  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=51  Seed=47  Result=0.00052738  Average=0.04248175  Best=0.00025827  BestSeed=8  Time=0.1854 Seconds  Run Time=14.8989 Seconds  TestError=8.51675415  V:0=0.00052738  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=52  Seed=51  Result=0.00056505  Average=0.04167566  Best=0.00025827  BestSeed=8  Time=0.1848 Seconds  Run Time=15.0538 Seconds  TestError=8.51675415  V:0=0.00056505  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=53  Seed=52  Result=0.00530452  Average=0.04098942  Best=0.00025827  BestSeed=8  Time=0.1844 Seconds  Run Time=15.2162 Seconds  TestError=8.51675415  V:0=0.00530452  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=54  Seed=54  Result=0.00077534  Average=0.04024471  Best=0.00025827  BestSeed=8  Time=0.1840 Seconds  Run Time=15.3777 Seconds  TestError=1549.56738281  V:0=0.00077534  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=55  Seed=53  Result=0.00715339  Average=0.03964305  Best=0.00025827  BestSeed=8  Time=0.1821 Seconds  Run Time=15.4583 Seconds  TestError=8.51675415  V:0=0.00715339  V:1=10.00000000  V:2=10.00000000
