instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.14893085  Result=0.38392597  Best=0.14893085  Seed=C0A94A8C  ResultHash=B516  ProgramHash=9AD4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.14893085  Result=0.30563819  Best=0.14893085  Seed=C0A94A96  ResultHash=68FD  ProgramHash=B409
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.14893085  Result=0.35091472  Best=0.14893085  Seed=C0A94AA0  ResultHash=9EEF  ProgramHash=445F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.14893085  Result=0.31692082  Best=0.14893085  Seed=C0A94AAA  ResultHash=6A0D  ProgramHash=445F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.14893085  Result=0.30208838  Best=0.14893085  Seed=C0A94AB4  ResultHash=F3B2  ProgramHash=F441
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.14893085  Result=0.31310648  Best=0.14893085  Seed=C0A94ABE  ResultHash=A380  ProgramHash=1007
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.14893085  Result=0.17720437  Best=0.14893085  Seed=C0A94AC8  ResultHash=5F43  ProgramHash=1007
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.14893085  Result=0.31750977  Best=0.14893085  Seed=C0A94AD2  ResultHash=CCCB  ProgramHash=1007
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.14893085  Result=0.34668660  Best=0.14893085  Seed=C0A94ADC  ResultHash=258C  ProgramHash=0A8A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.14893085  Result=0.23452497  Best=0.14893085  Seed=C0A94AE6  ResultHash=137A  ProgramHash=4CE1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.14893085  Result=0.35763383  Best=0.14893085  Seed=C0A94AF0  ResultHash=C161  ProgramHash=0943
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.14893085  Result=0.47737834  Best=0.14893085  Seed=C0A94AFA  ResultHash=7678  ProgramHash=C3EC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.14893085  Result=0.38640788  Best=0.14893085  Seed=C0A94B04  ResultHash=B0E8  ProgramHash=6021
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.14893085  Result=0.33612740  Best=0.14893085  Seed=C0A94B0E  ResultHash=2F17  ProgramHash=DBF8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  42  Best=0.14893085  Result=0.35907274  Best=0.14893085  Seed=C0A94B18  ResultHash=F773  ProgramHash=B685
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  43  Best=0.14893085  Result=0.31197965  Best=0.14893085  Seed=C0A94B22  ResultHash=032F  ProgramHash=6BAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  44  Best=0.14893085  Result=0.32497624  Best=0.14893085  Seed=C0A94B2C  ResultHash=45C3  ProgramHash=1A91
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  45  Best=0.14893085  Result=0.33742589  Best=0.14893085  Seed=C0A94B36  ResultHash=AACA  ProgramHash=7DBE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  46  Best=0.14893085  Result=0.35021657  Best=0.14893085  Seed=C0A94B40  ResultHash=E2C9  ProgramHash=324A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  47  Best=0.14893085  Result=0.30896902  Best=0.14893085  Seed=C0A94B4A  ResultHash=312F  ProgramHash=84EC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  48  Best=0.14893085  Result=0.35660303  Best=0.14893085  Seed=C0A94B54  ResultHash=0AE7  ProgramHash=4FA0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  49  Best=0.14893085  Result=0.35713899  Best=0.14893085  Seed=C0A94B5E  ResultHash=D8A1  ProgramHash=F4B1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  50  Best=0.14893085  Result=0.31786013  Best=0.14893085  Seed=C0A94B68  ResultHash=1F63  ProgramHash=060E
