instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 10;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94AA0  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94AAA  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.18927014  Result=0.18927014  Best=0.18927014  Seed=C0A94AB4  ResultHash=397A  ProgramHash=EC74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94ABE  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94AC8  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94AD2  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94ADC  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94AE6  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94AF0  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94AFA  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94B04  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94B0E  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94B18  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94B22  ResultHash=BD82  ProgramHash=0CAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.16479301  Result=0.16479301  Best=0.16479301  Seed=C0A94B2C  ResultHash=BD82  ProgramHash=0CAA
