Test: 0  Generation=79  Evolve Result=0.00116028  Optimize Result=0.00000048  Duration: 39.4 *******
Test: 1  Generation=206  Evolve Result=0.00057811  Optimize Result=0.00000011  Duration: 101.0 *******
Test: 2  Generation=40  Evolve Result=0.00057411  Optimize Result=0.00000012  Duration: 21.5 *******
Test: 3  Generation=62  Evolve Result=0.00113410  Optimize Result=0.00000040  Duration: 31.7 *******
Test: 4  Generation=250  Evolve Result=0.00128973  Optimize Result=0.00000024  Duration: 121.5 *******
Test: 5  Generation=163  Evolve Result=0.00036293  Optimize Result=0.00000072  Duration: 79.0 *******
Test: 6  Generation=7  Evolve Result=0.00222671  Optimize Result=0.00000009  Duration: 3.7 *******
Test: 7  Generation=6  Evolve Result=0.00024011  Optimize Result=0.00000054  Duration: 3.2 *******
Test: 8  Generation=47  Evolve Result=0.00233269  Optimize Result=0.00000029  Duration: 25.1 *******
Test: 9  Generation=18  Evolve Result=0.00295097  Optimize Result=0.00000018  Duration: 9.6 *******
Test: 10  Generation=149  Evolve Result=0.00171432  Optimize Result=0.00000024  Duration: 71.4 *******
Test: 11  Generation=80  Evolve Result=0.00087829  Optimize Result=0.00000049  Duration: 41.6 *******
Test: 12  Generation=217  Evolve Result=0.00075072  Optimize Result=0.00000021  Duration: 103.1 *******
Test: 13  Generation=94  Evolve Result=0.00177765  Optimize Result=0.00000017  Duration: 47.2 *******
Test: 14  Generation=359  Evolve Result=0.00193680  Optimize Result=0.00000051  Duration: 166.4 *******
Test: 15  Generation=54  Evolve Result=0.00038734  Optimize Result=0.00000043  Duration: 28.2 *******
