variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00934172  Result=0.00934172  Seed=C0A94A14  ResultHash=1792  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00934172  Result=0.00934172  Seed=C0A94A19  ResultHash=1792  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00934172  Result=0.00934172  Seed=C0A94A1E  ResultHash=1792  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00934172  Result=0.00934172  Seed=C0A94A23  ResultHash=1792  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00934172  Result=0.00934172  Seed=C0A94A28  ResultHash=1792  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00933731  Result=0.00933731  Seed=C0A94A2D  ResultHash=EA74  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00933652  Result=0.00933652  Seed=C0A94A32  ResultHash=D61D  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00933629  Result=0.00933629  Seed=C0A94A37  ResultHash=EAB0  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00933617  Result=0.00933617  Seed=C0A94A3C  ResultHash=6DBE  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00933615  Result=0.00933615  Seed=C0A94A41  ResultHash=2BB6  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00933615  Result=0.00933617  Seed=C0A94A46  ResultHash=C77F  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00933614  Result=0.00933614  Seed=C0A94A4B  ResultHash=813E  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00933614  Result=0.00933614  Seed=C0A94A50  ResultHash=AD9D  ProgramHash=4F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00933614  Result=0.00933614  Seed=C0A94A55  ResultHash=AD9D  ProgramHash=4F74
