variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.02060923  Result=0.03320569  Best=0.02060923  Seed=5FA82B45  ResultHash=13A7  ProgramHash=F963
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.02060923  Result=0.03396749  Best=0.02060923  Seed=5FA82B4A  ResultHash=1564  ProgramHash=A4B1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.02060923  Result=0.02956766  Best=0.02060923  Seed=5FA82B4F  ResultHash=3861  ProgramHash=A4B1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.02060923  Result=0.02755445  Best=0.02060923  Seed=5FA82B54  ResultHash=DCCE  ProgramHash=0833
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.02060923  Result=0.02634025  Best=0.02060923  Seed=5FA82B59  ResultHash=8A3B  ProgramHash=D13F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.02060923  Result=0.02750088  Best=0.02060923  Seed=5FA82B5E  ResultHash=DE50  ProgramHash=D13F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.02060923  Result=0.02622706  Best=0.02060923  Seed=5FA82B63  ResultHash=7702  ProgramHash=D723
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.02060923  Result=0.02585900  Best=0.02060923  Seed=5FA82B68  ResultHash=8ED5  ProgramHash=D8E0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.02060923  Result=0.02877736  Best=0.02060923  Seed=5FA82B6D  ResultHash=F32E  ProgramHash=BAD2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.02060923  Result=0.03085983  Best=0.02060923  Seed=5FA82B72  ResultHash=B5B9  ProgramHash=27DF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.02060923  Result=0.02361488  Best=0.02060923  Seed=5FA82B77  ResultHash=4CDF  ProgramHash=776F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.02060923  Result=0.02471578  Best=0.02060923  Seed=5FA82B7C  ResultHash=B7C2  ProgramHash=BCA0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.02060923  Result=0.02156913  Best=0.02060923  Seed=5FA82B81  ResultHash=4DBE  ProgramHash=3F44
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.02060923  Result=0.02093887  Best=0.02060923  Seed=5FA82B86  ResultHash=72FC  ProgramHash=645F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.02060923  Result=0.02102035  Best=0.02060923  Seed=5FA82B8B  ResultHash=CB03  ProgramHash=9454
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.02060923  Result=0.02128983  Best=0.02060923  Seed=5FA82B90  ResultHash=FBF4  ProgramHash=0809
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.01872337  Result=0.01872337  Best=0.01872337  Seed=5FA82B95  ResultHash=7B2C  ProgramHash=D153
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.01872337  Result=0.02061263  Best=0.01872337  Seed=5FA82B9A  ResultHash=E809  ProgramHash=D32C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.01872337  Result=0.02185440  Best=0.01872337  Seed=5FA82B9F  ResultHash=6BF1  ProgramHash=24A6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.01872337  Result=0.02368617  Best=0.01872337  Seed=5FA82BA4  ResultHash=2DC4  ProgramHash=E562
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.01872337  Result=0.02396119  Best=0.01872337  Seed=5FA82BA9  ResultHash=6A80  ProgramHash=846E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.01872337  Result=0.02390742  Best=0.01872337  Seed=5FA82BAE  ResultHash=8125  ProgramHash=A712
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.01872337  Result=0.02022225  Best=0.01872337  Seed=5FA82BB3  ResultHash=15FE  ProgramHash=E770
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.01872337  Result=0.02211556  Best=0.01872337  Seed=5FA82BB8  ResultHash=8F4D  ProgramHash=1340
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.01872337  Result=0.02275759  Best=0.01872337  Seed=5FA82BBD  ResultHash=AA43  ProgramHash=5499
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.01872337  Result=0.02084029  Best=0.01872337  Seed=5FA82BC2  ResultHash=7E6F  ProgramHash=00DD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.01872337  Result=0.02149940  Best=0.01872337  Seed=5FA82BC7  ResultHash=B6ED  ProgramHash=0AC1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.01794326  Result=0.01794326  Best=0.01794326  Seed=5FA82BCC  ResultHash=EF1E  ProgramHash=4158
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.01794326  Result=0.02128863  Best=0.01794326  Seed=5FA82BD1  ResultHash=BBE2  ProgramHash=585A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.01794326  Result=0.01895046  Best=0.01794326  Seed=5FA82BD6  ResultHash=F0D3  ProgramHash=602C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.01794326  Result=0.01937079  Best=0.01794326  Seed=5FA82BDB  ResultHash=6A6C  ProgramHash=E216
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.01794326  Result=0.02024305  Best=0.01794326  Seed=5FA82BE0  ResultHash=B085  ProgramHash=51A3
