CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 30
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f
evolveTarget = 0.000001f

mode = FIRESTARTER_EVOLVE
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
generations = 0
population = 278528
iterations = 64
passes = 500
candidates = 16
attempts = 0
optimize = 8

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test= 3  Generation=  0 *Result=0.00000024  Best=0.00000024  BestError=0.00000036  Optimize=2  Time=1.9 Seconds  Run Time=5101.5 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 3  Generation=  0 *Result=0.00000024  Best=0.00000024  BestError=0.00000036  Optimize=3  Time=1.9 Seconds  Run Time=5103.4 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 3  Generation=  0 *Result=0.00000024  Best=0.00000024  BestError=0.00000036  Optimize=4  Time=1.9 Seconds  Run Time=5105.3 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 3  Generation=  0 *Result=0.00000024  Best=0.00000024  BestError=0.00000036  Optimize=5  Time=1.9 Seconds  Run Time=5107.2 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 3  Generation=  0 *Result=0.00000024  Best=0.00000024  BestError=0.00000036  Optimize=6  Time=1.9 Seconds  Run Time=5109.1 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 3  Generation=  0 *Result=0.00000024  Best=0.00000024  BestError=0.00000036  Optimize=7  Time=1.9 Seconds  Run Time=5111.0 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 3  Generation=  0 *Result=0.00000024  Best=0.00000024  BestError=0.00000036  Optimize=8  Time=1.9 Seconds  Run Time=5112.9 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000077  Best=0.00000077  BestError=0.00000036  Optimize=0  Time=19.6 Seconds  Run Time=5405.9 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=1  Time=1.9 Seconds  Run Time=5407.8 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=2  Time=1.9 Seconds  Run Time=5409.8 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=3  Time=1.9 Seconds  Run Time=5411.7 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=4  Time=1.9 Seconds  Run Time=5413.6 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=5  Time=1.9 Seconds  Run Time=5415.5 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=6  Time=1.9 Seconds  Run Time=5417.4 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=7  Time=1.9 Seconds  Run Time=5419.3 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 4  Generation=  0 *Result=0.00000048  Best=0.00000048  BestError=0.00000036  Optimize=8  Time=1.9 Seconds  Run Time=5421.3 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000066  Best=0.00000066  BestError=0.00000036  Optimize=0  Time=23.9 Seconds  Run Time=6779.2 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=1  Time=2.3 Seconds  Run Time=6781.6 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=2  Time=2.3 Seconds  Run Time=6783.9 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=3  Time=2.3 Seconds  Run Time=6786.3 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=4  Time=2.3 Seconds  Run Time=6788.6 Seconds
FIRESTARTER_OPTIMIZE: Seed=0  Test= 5  Generation=  0 *Result=0.00000060  Best=0.00000060  BestError=0.00000191  Optimize=5  Time=2.3 Seconds  Run Time=6790.9 Seconds
