CUDA devices = 2
Device 0: NVIDIA GeForce RTX 5090
Device 1: NVIDIA GeForce RTX 5090

variations = 1
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00085118  Best=0.00085118 BestError=0.00082532  Time=   2.4  Run Time=   2.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00001229  Best=0.00001229 BestError=0.00003608  Time=   2.4  Run Time=   4.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00013991  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=   7.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00057925  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=   9.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00006561  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=  11.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00002196  Best=0.00001229 BestError=0.00003608  Time=   2.4  Run Time=  14.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00101144  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=  16.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00037764  Best=0.00001229 BestError=0.00003608  Time=   2.3  Run Time=  19.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   8  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00383091  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  19.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   9  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00242370  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  19.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=  10  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  20.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=  11  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.22518103  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  20.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=  12  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01414663  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  20.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=  13  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  21.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=  14  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01691359  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  21.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=  15  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  21.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  16  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00382299  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  22.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   1  Generation= 35  Age= 35  Evolution= 1  Weight=0.00041796  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  42.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   2  Generation=  4  Age=  4  Evolution= 1  Weight=0.00041972  Old Result= 0.00013991  Bad Result=0.22517487  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  43.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   1  Generation= 36  Age= 36  Evolution= 1  Weight=0.00043026  Old Result= 0.00001229  Bad Result=0.01414223  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  43.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   5  Generation= 21  Age= 21  Evolution= 1  Weight=0.00043916  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  43.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   1  Generation= 37  Age= 37  Evolution= 1  Weight=0.00044255  Old Result= 0.00001229  Bad Result=0.40572539  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  43.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   1  Generation= 38  Age= 38  Evolution= 1  Weight=0.00045484  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  44.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   4  Generation=  8  Age=  8  Evolution= 1  Weight=0.00045926  Old Result= 0.00006561  Bad Result=0.00385563  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  44.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   5  Generation= 22  Age= 22  Evolution= 1  Weight=0.00046112  Old Result= 0.00002196  Bad Result=0.00238436  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   1  Generation= 39  Age= 39  Evolution= 1  Weight=0.00046714  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  45.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=   1  Generation= 40  Age= 40  Evolution= 1  Weight=0.00047943  Old Result= 0.00001229  Bad Result=0.22520480  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  45.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   5  Generation= 23  Age= 23  Evolution= 1  Weight=0.00048308  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  45.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=   1  Generation= 41  Age= 41  Evolution= 1  Weight=0.00049172  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  46.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   1  Generation= 42  Age= 42  Evolution= 1  Weight=0.00050401  Old Result= 0.00001229  Bad Result=0.03945712  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  46.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   5  Generation= 24  Age= 24  Evolution= 1  Weight=0.00050504  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  46.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  21  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00382997  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  47.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation= 43  Age= 43  Evolution= 1  Weight=0.00051631  Old Result= 0.00001229  Bad Result=0.68245196  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  47.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   4  Generation=  9  Age=  9  Evolution= 1  Weight=0.00052487  Old Result= 0.00006561  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  47.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   5  Generation= 25  Age= 25  Evolution= 1  Weight=0.00052699  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  48.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   1  Generation= 44  Age= 44  Evolution= 1  Weight=0.00052860  Old Result= 0.00001229  Bad Result=0.01414316  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  48.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   1  Generation= 45  Age= 45  Evolution= 1  Weight=0.00054089  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  48.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   5  Generation= 26  Age= 26  Evolution= 1  Weight=0.00054895  Old Result= 0.00002196  Bad Result=0.14720903  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  48.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   1  Generation= 46  Age= 46  Evolution= 1  Weight=0.00055319  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  49.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   2  Generation=  5  Age=  5  Evolution= 1  Weight=0.00055963  Old Result= 0.00013991  Bad Result=0.05667276  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  49.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   1  Generation= 47  Age= 47  Evolution= 1  Weight=0.00056548  Old Result= 0.00001229  Bad Result=0.68245375  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  49.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   5  Generation= 27  Age= 27  Evolution= 1  Weight=0.00057091  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  50.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=   1  Generation= 48  Age= 48  Evolution= 1  Weight=0.00057777  Old Result= 0.00001229  Bad Result=0.22532377  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  50.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00057925  Old Result= 0.00057925  Bad Result=0.01415588  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  50.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=   1  Generation= 49  Age= 49  Evolution= 1  Weight=0.00059007  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  51.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   4  Generation= 10  Age= 10  Evolution= 1  Weight=0.00059047  Old Result= 0.00006561  Bad Result=0.01427058  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  51.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   5  Generation= 28  Age= 28  Evolution= 1  Weight=0.00059287  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  51.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  22  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.05671168  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  52.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation= 50  Age= 50  Evolution= 1  Weight=0.00060236  Old Result= 0.00001229  Bad Result=0.68246400  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  52.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   1  Generation= 51  Age= 51  Evolution= 1  Weight=0.00061465  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  52.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   5  Generation= 29  Age= 29  Evolution= 1  Weight=0.00061483  Old Result= 0.00002196  Bad Result=0.22523861  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  53.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   1  Generation= 52  Age= 52  Evolution= 1  Weight=0.00062694  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  53.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   5  Generation= 30  Age= 30  Evolution= 1  Weight=0.00063679  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  53.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   1  Generation= 53  Age= 53  Evolution= 1  Weight=0.00063924  Old Result= 0.00001229  Bad Result=0.03897172  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  53.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   1  Generation= 54  Age= 54  Evolution= 1  Weight=0.00065153  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  54.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   4  Generation= 11  Age= 11  Evolution= 1  Weight=0.00065608  Old Result= 0.00006561  Bad Result=0.00383199  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  54.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   5  Generation= 31  Age= 31  Evolution= 1  Weight=0.00065874  Old Result= 0.00002196  Bad Result=0.68245059  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  54.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   1  Generation= 55  Age= 55  Evolution= 1  Weight=0.00066382  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  55.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=   1  Generation= 56  Age= 56  Evolution= 1  Weight=0.00067612  Old Result= 0.00001229  Bad Result=0.22534467  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  55.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   5  Generation= 32  Age= 32  Evolution= 1  Weight=0.00068070  Old Result= 0.00002196  Bad Result=0.01416476  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  55.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=   1  Generation= 57  Age= 57  Evolution= 1  Weight=0.00068841  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  56.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   2  Generation=  6  Age=  6  Evolution= 1  Weight=0.00069954  Old Result= 0.00013991  Bad Result=0.02517779  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  56.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   1  Generation= 58  Age= 58  Evolution= 1  Weight=0.00070070  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  56.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  23  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.05668632  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  57.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   5  Generation= 33  Age= 33  Evolution= 1  Weight=0.00070266  Old Result= 0.00002196  Bad Result=0.68245125  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  57.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   1  Generation= 59  Age= 59  Evolution= 1  Weight=0.00071300  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  57.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   4  Generation= 12  Age= 12  Evolution= 1  Weight=0.00072169  Old Result= 0.00006561  Bad Result=0.22514103  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  58.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   5  Generation= 34  Age= 34  Evolution= 1  Weight=0.00072462  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  58.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   1  Generation= 60  Age= 60  Evolution= 1  Weight=0.00072529  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  58.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   1  Generation= 61  Age= 61  Evolution= 1  Weight=0.00073758  Old Result= 0.00001229  Bad Result=0.00721630  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  59.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   5  Generation= 35  Age= 35  Evolution= 1  Weight=0.00074658  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  59.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   1  Generation= 62  Age= 62  Evolution= 1  Weight=0.00074987  Old Result= 0.00001229  Bad Result=0.05670318  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  59.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   7  Generation=  3  Age=  3  Evolution= 1  Weight=0.00075527  Old Result= 0.00037764  Bad Result=0.68245149  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  59.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   1  Generation= 63  Age= 63  Evolution= 1  Weight=0.00076217  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  60.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=   5  Generation= 36  Age= 36  Evolution= 1  Weight=0.00076853  Old Result= 0.00002196  Bad Result=0.45351836  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  60.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   1  Generation= 64  Age= 64  Evolution= 1  Weight=0.00077446  Old Result= 0.00001229  Bad Result=0.01415645  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  60.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=   1  Generation= 65  Age= 65  Evolution= 1  Weight=0.00078675  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  61.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   4  Generation= 13  Age= 13  Evolution= 1  Weight=0.00078730  Old Result= 0.00006561  Bad Result=0.02547366  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  61.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   5  Generation= 37  Age= 37  Evolution= 1  Weight=0.00079049  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  61.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  24  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.05668993  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  62.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation= 66  Age= 66  Evolution= 1  Weight=0.00079905  Old Result= 0.00001229  Bad Result=0.68245006  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  62.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   1  Generation= 67  Age= 67  Evolution= 1  Weight=0.00081134  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  62.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   5  Generation= 38  Age= 38  Evolution= 1  Weight=0.00081245  Old Result= 0.00002196  Bad Result=0.22518203  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  63.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   1  Generation= 68  Age= 68  Evolution= 1  Weight=0.00082363  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  63.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   5  Generation= 39  Age= 39  Evolution= 1  Weight=0.00083441  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  63.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   6  Id=   1  Generation= 69  Age= 69  Evolution= 1  Weight=0.00083593  Old Result= 0.00001229  Bad Result=0.03672228  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  64.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   7  Id=   2  Generation=  7  Age=  7  Evolution= 1  Weight=0.00083945  Old Result= 0.00013991  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  64.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   8  Id=   1  Generation= 70  Age= 70  Evolution= 1  Weight=0.00084822  Old Result= 0.00001229  Bad Result=0.05667202  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  64.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   9  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00085118  Old Result= 0.00085118  Bad Result=0.00240189  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  64.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  10  Id=   4  Generation= 14  Age= 14  Evolution= 1  Weight=0.00085291  Old Result= 0.00006561  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  65.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  11  Id=   5  Generation= 40  Age= 40  Evolution= 1  Weight=0.00085637  Old Result= 0.00002196  Bad Result=0.22533369  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  65.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  12  Id=   1  Generation= 71  Age= 71  Evolution= 1  Weight=0.00086051  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  65.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  13  Id=   1  Generation= 72  Age= 72  Evolution= 1  Weight=0.00087281  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  66.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  14  Id=   5  Generation= 41  Age= 41  Evolution= 1  Weight=0.00087832  Old Result= 0.00002196  Bad Result=0.02305739  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  66.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=  15  Id=   1  Generation= 73  Age= 73  Evolution= 1  Weight=0.00088510  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  66.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   0  Id=  25  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00384573  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  67.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   1  Id=   1  Generation= 74  Age= 74  Evolution= 1  Weight=0.00089739  Old Result= 0.00001229  Bad Result=0.68245047  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  67.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   2  Id=   5  Generation= 42  Age= 42  Evolution= 1  Weight=0.00090028  Old Result= 0.00002196  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  67.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   3  Id=   1  Generation= 75  Age= 75  Evolution= 1  Weight=0.00090968  Old Result= 0.00001229  Bad Result=0.45450303  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  68.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   4  Id=   4  Generation= 15  Age= 15  Evolution= 1  Weight=0.00091851  Old Result= 0.00006561  Bad Result=0.01416576  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  68.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 0  Index=   5  Id=   1  Generation= 76  Age= 76  Evolution= 1  Weight=0.00092198  Old Result= 0.00001229  Bad Result=0.97492790  Best=0.00001229 BestError=0.00003608  Time=   0.3  Run Time=  68.7
