variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00812113  Result=0.00812113  Seed=C0A949F2  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00812113  Result=0.00812113  Seed=C0A949F6  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00812113  Result=0.00812113  Seed=C0A949FA  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00812113  Result=0.00812113  Seed=C0A949FE  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00812113  Result=0.00812113  Seed=C0A94A02  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00812113  Result=0.00812113  Seed=C0A94A06  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00812113  Result=0.00812113  Seed=C0A94A0A  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00812113  Result=0.00812113  Seed=C0A94A0E  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00812113  Result=0.00812113  Seed=C0A94A12  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00812113  Result=0.00812113  Seed=C0A94A16  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00812113  Result=0.00812113  Seed=C0A94A1A  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00812113  Result=0.00812113  Seed=C0A94A1E  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00812113  Result=0.00812113  Seed=C0A94A22  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00812113  Result=0.00812113  Seed=C0A94A26  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.00812113  Result=0.00812113  Seed=C0A94A2A  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00812113  Result=0.00812113  Seed=C0A94A2E  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00812113  Result=0.00812113  Seed=C0A94A32  ResultHash=94EC  ProgramHash=3557
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00812113  Result=0.00812113  Seed=C0A94A36  ResultHash=94EC  ProgramHash=3557
