CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00020730  Best=0.00020730 BestError=0.00045645  Time=   7.4  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00019872  Best=0.00019872 BestError=0.00012076  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00215551  Best=0.00019872 BestError=0.00012076  Time=   7.9  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00086171  Best=0.00019872 BestError=0.00012076  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   4  Id=   2  Generation=  9  Age=  5  Evolution= 2  Weight=0.00039172  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.6  Run Time=  29.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   6  Id=   2  Generation= 11  Age=  7  Evolution= 2  Weight=0.00048965  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.5  Run Time=  29.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   1  Id=   2  Generation=  6  Age=  2  Evolution= 2  Weight=0.00024483  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.7  Run Time=  29.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  11  Id=   2  Generation= 15  Age= 11  Evolution= 2  Weight=0.00068551  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.5  Run Time=  32.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  14  Id=   2  Generation= 17  Age= 13  Evolution= 2  Weight=0.00078344  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.5  Run Time=  32.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  12  Id=   8  Generation= 11  Age= 11  Evolution= 1  Weight=0.00072191  Old Result= 0.00007219  Bad Result=10.00000000  Best=0.00004897 BestError=0.00004187  Time=   2.6  Run Time=  32.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   2  Id=   2  Generation=  7  Age=  3  Evolution= 2  Weight=0.00029379  Old Result= 0.00004897 *New Result=0.00001049  Best=0.00001049 BestError=0.00001755  Time=   6.7  Run Time=  33.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   7  Id=   2  Generation= 12  Age=  8  Evolution= 2  Weight=0.00053862  Old Result= 0.00004897 *New Result=0.00000930  Best=0.00000930 BestError=0.00002418  Time=   6.7  Run Time=  33.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   5  Id=   2  Generation= 10  Age=  6  Evolution= 2  Weight=0.00044069  Old Result= 0.00004897 >New Result=0.00004052  Best=0.00000930 BestError=0.00002418  Time=   6.8  Run Time=  33.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.05626816  Best=0.00000930 BestError=0.00002418  Time=   6.8  Run Time=  33.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   9  Id=   2  Generation= 14  Age= 10  Evolution= 2  Weight=0.00063655  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   3.9  Run Time=  33.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  10  Id=   4  Generation=  2  Age=  2  Evolution= 1  Weight=0.00067744  Old Result= 0.00067744 >New Result=0.00005593  Best=0.00000930 BestError=0.00002418  Time=   3.6  Run Time=  37.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  15  Id=  16  Generation=  2  Age=  2  Evolution= 1  Weight=0.00079156  Old Result= 0.00079156  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   3.8  Run Time=  37.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   8  Id=   2  Generation= 13  Age=  9  Evolution= 2  Weight=0.00058758  Old Result= 0.00004897 >New Result=0.00001180  Best=0.00000930 BestError=0.00002418  Time=   3.8  Run Time=  37.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  13  Id=   2  Generation= 16  Age= 12  Evolution= 2  Weight=0.00073448  Old Result= 0.00004897  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   3.9  Run Time=  37.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   2  Id=   2  Generation= 20  Age=  2  Evolution= 3  Weight=0.00017667  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   4  Id=   2  Generation= 22  Age=  4  Evolution= 3  Weight=0.00019526  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.6  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   6  Id=   2  Generation= 24  Age=  6  Evolution= 3  Weight=0.00021386  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   7  Id=   2  Generation= 25  Age=  7  Evolution= 3  Weight=0.00022316  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   5  Id=   2  Generation= 23  Age=  5  Evolution= 3  Weight=0.00020456  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.6  Run Time=  40.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   3  Id=   2  Generation= 21  Age=  3  Evolution= 3  Weight=0.00018597  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   4.8  Run Time=  43.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  14  Id=   2  Generation= 31  Age= 13  Evolution= 3  Weight=0.00027895  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  43.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  13  Id=   2  Generation= 30  Age= 12  Evolution= 3  Weight=0.00026965  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  43.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  10  Id=   2  Generation= 27  Age=  9  Evolution= 3  Weight=0.00024176  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.6  Run Time=  43.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00352246  Best=0.00000930 BestError=0.00002418  Time=   6.6  Run Time=  44.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   1  Id=   4  Generation=  4  Age=  2  Evolution= 2  Weight=0.00016780  Old Result= 0.00005593 >New Result=0.00005125  Best=0.00000930 BestError=0.00002418  Time=   6.6  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  11  Id=   2  Generation= 28  Age= 10  Evolution= 3  Weight=0.00025105  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   1.7  Run Time=  44.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  15  Id=   4  Generation=  6  Age=  4  Evolution= 2  Weight=0.00027967  Old Result= 0.00005593  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   4.0  Run Time=  45.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=  12  Id=   2  Generation= 29  Age= 11  Evolution= 3  Weight=0.00026035  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   4.1  Run Time=  45.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   8  Id=   4  Generation=  5  Age=  3  Evolution= 2  Weight=0.00022374  Old Result= 0.00005593  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   0.7  Run Time=  45.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   9  Id=   2  Generation= 26  Age=  8  Evolution= 3  Weight=0.00023246  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   0.6  Run Time=  45.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   2  Id=   2  Generation= 33  Age= 15  Evolution= 3  Weight=0.00029755  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.4  Run Time=  48.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   5  Id=   2  Generation= 36  Age= 18  Evolution= 3  Weight=0.00032544  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.5  Run Time=  48.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 9  Index=   7  Id=   2  Generation= 39  Age= 21  Evolution= 3  Weight=0.00035334  Old Result= 0.00000930  Bad Result=10.00000000  Best=0.00000930 BestError=0.00002418  Time=   2.6  Run Time=  48.7
