instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.43900549  Result=0.68254232  Best=0.43900549  Seed=C0A949DE  ResultHash=9E92  ProgramHash=2612
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.43900549  Result=0.68254256  Best=0.43900549  Seed=C0A949E2  ResultHash=4C71  ProgramHash=C5F0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.43900549  Result=0.68254352  Best=0.43900549  Seed=C0A949E6  ResultHash=EF17  ProgramHash=86C3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.43900549  Result=0.68254501  Best=0.43900549  Seed=C0A949EA  ResultHash=3401  ProgramHash=DA26
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.43900549  Result=0.68254703  Best=0.43900549  Seed=C0A949EE  ResultHash=C797  ProgramHash=FFD3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.43900549  Result=0.68254745  Best=0.43900549  Seed=C0A949F2  ResultHash=1276  ProgramHash=1B3A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00299609  Result=0.00299609  Best=0.00299609  Seed=C0A949CE  ResultHash=6BDC  ProgramHash=64AE
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00117955  Result=0.00117955  Best=0.00117955  Seed=C0A94A32  ResultHash=7D39  ProgramHash=64AE
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00065649  Result=0.00065649  Best=0.00065649  Seed=C0A94A96  ResultHash=EEE2  ProgramHash=64AE
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00051513  Result=0.00051513  Best=0.00051513  Seed=C0A94AFA  ResultHash=691F  ProgramHash=64AE
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00048482  Result=0.00048482  Best=0.00048482  Seed=C0A94B5E  ResultHash=F787  ProgramHash=64AE
