CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 2
processes = 2
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=24  Generation=0  Age=0  Evolution=0  Result=0.01606697  Best=0.00055248  BestSeed=0  BestGen=0  Time=0.0002 Seconds  Run Time=4606.4014 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=25  Generation=0  Age=0  Evolution=0 *Result=0.00028699  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0046 Seconds  Run Time=4606.4106 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=26  Generation=0  Age=0  Evolution=0  Result=0.00164099  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0008 Seconds  Run Time=4606.4122 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=27  Generation=0  Age=0  Evolution=0  Result=0.00102407  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4124 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=28  Generation=0  Age=0  Evolution=0  Result=0.00151315  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4127 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=29  Generation=0  Age=0  Evolution=0  Result=0.94438732  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4129 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=30  Generation=0  Age=0  Evolution=0  Result=1.25536060  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4131 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=31  Generation=0  Age=0  Evolution=0  Result=0.00985682  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4133 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=32  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4135 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=33  Generation=0  Age=0  Evolution=0  Result=0.01843870  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4137 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=34  Generation=0  Age=0  Evolution=0  Result=0.00248480  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4139 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=35  Generation=0  Age=0  Evolution=0  Result=0.00277591  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4141 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=36  Generation=0  Age=0  Evolution=0  Result=0.40979186  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4144 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=37  Generation=0  Age=0  Evolution=0  Result=0.00469720  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4147 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=38  Generation=0  Age=0  Evolution=0  Result=0.23225746  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4149 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=39  Generation=0  Age=0  Evolution=0  Result=1.00267684  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4151 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=40  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4153 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=41  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0002 Seconds  Run Time=4606.4156 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=42  Generation=0  Age=0  Evolution=0  Result=0.20369074  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4158 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=43  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4160 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=44  Generation=0  Age=0  Evolution=0  Result=0.76361132  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=4606.4163 Seconds  TestError=0.00000262
