CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 4
processes = 4
population = 278528
iterations = 64
generations = 500
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=22  Id=22  CopyId=22  Generation=0  Age=0  Evolution=0  Result=0.04029730  Best=0.00055248  BestSeed=0  BestGen=0  Time=0.0018 Seconds  Run Time=12142.0250 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=23  Id=23  CopyId=23  Generation=0  Age=0  Evolution=0  Result=0.11532791  Best=0.00055248  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.0253 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=24  Id=24  CopyId=24  Generation=0  Age=0  Evolution=0  Result=0.01606697  Best=0.00055248  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.0255 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=25  Id=25  CopyId=25  Generation=0  Age=0  Evolution=0 *Result=0.00028699  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0214 Seconds  Run Time=12142.1113 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=26  Id=26  CopyId=26  Generation=0  Age=0  Evolution=0  Result=0.00164099  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0024 Seconds  Run Time=12142.1210 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=27  Id=27  CopyId=27  Generation=0  Age=0  Evolution=0  Result=0.00102407  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1213 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=28  Id=28  CopyId=28  Generation=0  Age=0  Evolution=0  Result=0.00151315  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1215 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=29  Id=29  CopyId=29  Generation=0  Age=0  Evolution=0  Result=0.94438732  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0000 Seconds  Run Time=12142.1217 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=30  Id=30  CopyId=30  Generation=0  Age=0  Evolution=0  Result=1.25536060  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1219 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=31  Id=31  CopyId=31  Generation=0  Age=0  Evolution=0  Result=0.00985682  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0000 Seconds  Run Time=12142.1221 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=32  Id=32  CopyId=32  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0000 Seconds  Run Time=12142.1223 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=33  Id=33  CopyId=33  Generation=0  Age=0  Evolution=0  Result=0.01843870  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1226 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=34  Id=34  CopyId=34  Generation=0  Age=0  Evolution=0  Result=0.00248480  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1228 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=35  Id=35  CopyId=35  Generation=0  Age=0  Evolution=0  Result=0.00277591  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1230 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=36  Id=36  CopyId=36  Generation=0  Age=0  Evolution=0  Result=0.40979186  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1232 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=37  Id=37  CopyId=37  Generation=0  Age=0  Evolution=0  Result=0.00469720  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1235 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=38  Id=38  CopyId=38  Generation=0  Age=0  Evolution=0  Result=0.23225746  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1237 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=39  Id=39  CopyId=39  Generation=0  Age=0  Evolution=0  Result=1.00267684  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1239 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=40  Id=40  CopyId=40  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1241 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=41  Id=41  CopyId=41  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1243 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=42  Id=42  CopyId=42  Generation=0  Age=0  Evolution=0  Result=0.20369074  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1245 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=43  Id=43  CopyId=43  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1248 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=44  Id=44  CopyId=44  Generation=0  Age=0  Evolution=0  Result=0.76361132  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1250 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=45  Id=45  CopyId=45  Generation=0  Age=0  Evolution=0  Result=0.45252201  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1252 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=46  Id=46  CopyId=46  Generation=0  Age=0  Evolution=0  Result=0.00485724  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1255 Seconds  TestError=0.00000262
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=47  Id=47  CopyId=47  Generation=0  Age=0  Evolution=0  Result=0.08691692  Best=0.00028699  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1257 Seconds  TestError=0.00000262
