CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.07451279  Best=0.07451279 BestError=0.06425745  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00036490  Best=0.00036490 BestError=0.00035849  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00236094  Best=0.00036490 BestError=0.00035849  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00112707  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=  16  Generation=  3  Age=  3  Evolution= 1  Weight=0.00062033  Old Result= 0.00031017 >New Result=0.00019161  Best=0.00007268 BestError=0.00006733  Time=   7.5  Run Time=  37.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   3  Generation=  6  Age=  2  Evolution= 2  Weight=0.00038981  Old Result= 0.00007796 *New Result=0.00001645  Best=0.00001645 BestError=0.00003862  Time=   7.6  Run Time=  37.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   3  Generation=  8  Age=  4  Evolution= 2  Weight=0.00054574  Old Result= 0.00007796 >New Result=0.00005370  Best=0.00001645 BestError=0.00003862  Time=   7.7  Run Time=  38.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   7  Id=   3  Generation=  9  Age=  5  Evolution= 2  Weight=0.00062370  Old Result= 0.00007796 >New Result=0.00007325  Best=0.00001645 BestError=0.00003862  Time=   7.8  Run Time=  38.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   3  Id=   3  Generation=  7  Age=  3  Evolution= 2  Weight=0.00046778  Old Result= 0.00007796  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   7.8  Run Time=  38.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00001645 BestError=0.00003862  Time=   7.9  Run Time=  38.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   4  Generation=  4  Age=  2  Evolution= 2  Weight=0.00053215  Old Result= 0.00017738  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   7.9  Run Time=  38.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  14  Id=   3  Generation= 12  Age=  8  Evolution= 2  Weight=0.00085759  Old Result= 0.00007796  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.2  Run Time=  40.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  10  Id=   4  Generation=  5  Age=  3  Evolution= 2  Weight=0.00070954  Old Result= 0.00017738  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.5  Run Time=  40.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  11  Id=   0  Generation= 11  Age=  3  Evolution= 2  Weight=0.00072680  Old Result= 0.00007268  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.4  Run Time=  40.8
