variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.01890428  Result=0.01890428  Best=0.01890428  Seed=C0A949FB  ResultHash=2AD8  ProgramHash=FD23
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.01826262  Result=0.01826262  Best=0.01826262  Seed=C0A94A00  ResultHash=28D5  ProgramHash=9BF4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.01826262  Result=0.02852842  Best=0.01826262  Seed=C0A94A05  ResultHash=5BA9  ProgramHash=3325
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.01826262  Result=0.01887423  Best=0.01826262  Seed=C0A94A0A  ResultHash=E602  ProgramHash=FD23
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.01826262  Result=0.01839077  Best=0.01826262  Seed=C0A94A0F  ResultHash=33E5  ProgramHash=9BF4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.01826262  Result=0.01887423  Best=0.01826262  Seed=C0A94A14  ResultHash=2CD7  ProgramHash=FD23
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.01736873  Result=0.01736873  Best=0.01736873  Seed=C0A94A19  ResultHash=B49C  ProgramHash=9BF4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.01736873  Result=0.01887465  Best=0.01736873  Seed=C0A94A1E  ResultHash=F236  ProgramHash=FD23
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.01736873  Result=0.01887393  Best=0.01736873  Seed=C0A94A23  ResultHash=56A9  ProgramHash=FD23
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.01736873  Result=0.02051234  Best=0.01736873  Seed=C0A94A28  ResultHash=46EB  ProgramHash=8893
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.01736873  Result=0.01887345  Best=0.01736873  Seed=C0A94A2D  ResultHash=1AEA  ProgramHash=FD23
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.01736873  Result=0.02709591  Best=0.01736873  Seed=C0A94A32  ResultHash=A202  ProgramHash=4D58
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.01736873  Result=0.02050602  Best=0.01736873  Seed=C0A94A37  ResultHash=3134  ProgramHash=8893
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.01654434  Result=0.01654434  Best=0.01654434  Seed=C0A94A3C  ResultHash=6473  ProgramHash=9BF4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  42  Best=0.01654434  Result=0.02050591  Best=0.01654434  Seed=C0A94A41  ResultHash=38B4  ProgramHash=8893
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  43  Best=0.01654434  Result=0.02226913  Best=0.01654434  Seed=C0A94A46  ResultHash=4231  ProgramHash=6D1D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  44  Best=0.01654434  Result=0.02650782  Best=0.01654434  Seed=C0A94A4B  ResultHash=312D  ProgramHash=920C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  45  Best=0.01584554  Result=0.01584554  Best=0.01584554  Seed=C0A94A50  ResultHash=3A7D  ProgramHash=9BF4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  46  Best=0.01584554  Result=0.02258579  Best=0.01584554  Seed=C0A94A55  ResultHash=BC57  ProgramHash=7C4C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  47  Best=0.01584554  Result=0.02256019  Best=0.01584554  Seed=C0A94A5A  ResultHash=BE86  ProgramHash=7C4C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  48  Best=0.01584554  Result=0.02327776  Best=0.01584554  Seed=C0A94A5F  ResultHash=EE4E  ProgramHash=920C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  49  Best=0.01584554  Result=0.01850688  Best=0.01584554  Seed=C0A94A64  ResultHash=5C92  ProgramHash=4A5D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  50  Best=0.01583111  Result=0.01583111  Best=0.01583111  Seed=C0A94A69  ResultHash=30D9  ProgramHash=9BF4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  51  Best=0.01583111  Result=0.02040267  Best=0.01583111  Seed=C0A94A6E  ResultHash=5F79  ProgramHash=8893
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  52  Best=0.01583111  Result=0.02692592  Best=0.01583111  Seed=C0A94A73  ResultHash=0237  ProgramHash=6FB4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  53  Best=0.01583111  Result=0.01583141  Best=0.01583111  Seed=C0A94A78  ResultHash=DE14  ProgramHash=9BF4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  54  Best=0.01583111  Result=0.02183510  Best=0.01583111  Seed=C0A94A7D  ResultHash=977D  ProgramHash=7C4C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  55  Best=0.01583111  Result=0.02173464  Best=0.01583111  Seed=C0A94A82  ResultHash=BEA0  ProgramHash=7C4C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  56  Best=0.01583111  Result=0.02154769  Best=0.01583111  Seed=C0A94A87  ResultHash=328E  ProgramHash=7C4C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  57  Best=0.01583111  Result=0.01589955  Best=0.01583111  Seed=C0A94A8C  ResultHash=3106  ProgramHash=C579
