CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.45582074  Best=0.45582074 BestError=0.47709805  Time=   7.5  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.45582074 BestError=0.47709805  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00396626  Best=0.00396626 BestError=0.00440867  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00198424  Best=0.00198424 BestError=0.00293820  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=   8  Generation=  9  Age=  2  Evolution= 2  Weight=0.00135926  Old Result= 0.00016991  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   5.0  Run Time=  35.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  14  Id=  14  Generation=  5  Age=  2  Evolution= 2  Weight=0.00189091  Old Result= 0.00047273  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.5  Run Time=  36.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=  16  Generation=  2  Age=  2  Evolution= 1  Weight=0.00019647  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   5.5  Run Time=  36.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=  16  Generation=  6  Age=  6  Evolution= 1  Weight=0.00098237  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   7.3  Run Time=  37.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   3  Id=  16  Generation=  4  Age=  4  Evolution= 1  Weight=0.00058942  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   7.4  Run Time=  38.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00084314  Best=0.00016991 BestError=0.00055082  Time=   7.4  Run Time=  38.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   4  Id=  16  Generation=  5  Age=  5  Evolution= 1  Weight=0.00078590  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   7.4  Run Time=  38.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   2  Id=  16  Generation=  3  Age=  3  Evolution= 1  Weight=0.00039295  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   7.4  Run Time=  38.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  15  Id=  16  Generation= 11  Age= 11  Evolution= 1  Weight=0.00196474  Old Result= 0.00019647  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   2.2  Run Time=  38.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  13  Id=   8  Generation= 12  Age=  5  Evolution= 2  Weight=0.00186899  Old Result= 0.00016991  Bad Result=10.00000000  Best=0.00016991 BestError=0.00055082  Time=   1.7  Run Time=  39.8
