variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.04913038  Result=0.04913038  Seed=C0A9498A  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.04913038  Result=0.04913038  Seed=C0A9498B  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.04913038  Result=0.04913038  Seed=C0A9498C  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.04913038  Result=0.04913038  Seed=C0A9498D  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.04913038  Result=0.04913038  Seed=C0A9498E  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.04913038  Result=0.04913038  Seed=C0A9498F  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.04913038  Result=0.04913038  Seed=C0A94990  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.04913038  Result=0.04913038  Seed=C0A94991  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.04913038  Result=0.04913038  Seed=C0A94992  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.04913038  Result=0.04913038  Seed=C0A94993  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.04913038  Result=0.04913038  Seed=C0A94994  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  42  Best=0.04913038  Result=0.04913038  Seed=C0A94995  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  43  Best=0.04913038  Result=0.04913038  Seed=C0A94996  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  44  Best=0.04913038  Result=0.04913038  Seed=C0A94997  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  45  Best=0.04913038  Result=0.04913038  Seed=C0A94998  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  46  Best=0.04913038  Result=0.04913038  Seed=C0A94999  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  47  Best=0.04913038  Result=0.04913038  Seed=C0A9499A  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  48  Best=0.04913038  Result=0.04913038  Seed=C0A9499B  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  49  Best=0.04913038  Result=0.04913038  Seed=C0A9499C  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  50  Best=0.04913038  Result=0.04913038  Seed=C0A9499D  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  51  Best=0.04913038  Result=0.04913038  Seed=C0A9499E  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  52  Best=0.04913038  Result=0.04913038  Seed=C0A9499F  ResultHash=2FD2  ProgramHash=C8F2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  53  Best=0.04644499  Result=0.04644499  Seed=C0A949A0  ResultHash=F992  ProgramHash=82CB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  54  Best=0.03794909  Result=0.03794909  Seed=C0A949A1  ResultHash=C941  ProgramHash=F609
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  55  Best=0.03794909  Result=0.03794909  Seed=C0A949A2  ResultHash=C941  ProgramHash=F609
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  56  Best=0.03794909  Result=0.03794909  Seed=C0A949A3  ResultHash=C941  ProgramHash=F609
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  57  Best=0.03794909  Result=0.03794909  Seed=C0A949A4  ResultHash=C941  ProgramHash=F609
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  58  Best=0.03794909  Result=0.03794909  Seed=C0A949A5  ResultHash=C941  ProgramHash=F609
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  59  Best=0.03794909  Result=0.03794909  Seed=C0A949A6  ResultHash=C941  ProgramHash=F609
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  60  Best=0.03794909  Result=0.03794909  Seed=C0A949A7  ResultHash=C941  ProgramHash=F609
