CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 1
units = 8
processes = 8
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=3  Age=2  Evolution=2  Result=0.00019774  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3725 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=3  Age=2  Evolution=2  Result=0.00035322  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3745 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=3  Age=2  Evolution=2  Result=0.00043190  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3765 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=3  Age=2  Evolution=1  Result=0.00083548  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3785 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=3  Age=2  Evolution=1  Result=0.00137839  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3803 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=3  Age=2  Evolution=1  Result=0.02689373  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3825 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=3  Age=2  Evolution=1  Result=0.85227418  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3845 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=2 *Result=0.00001550  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0005 Seconds  Run Time=724.3807 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=1  Result=0.00018340  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0001 Seconds  Run Time=724.3840 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=2  Result=0.00032812  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3863 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=2  Result=0.00039136  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3883 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=2  Result=0.00082076  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3901 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=1  Result=0.00137839  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3919 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=1  Result=0.02689373  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3939 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=4  Age=0  Evolution=1  Result=0.85227418  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3958 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=1  Evolution=2  Result=0.00002921  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0001 Seconds  Run Time=733.4143 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=0  Evolution=2  Result=0.00017333  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4204 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=0  Evolution=2  Result=0.00031471  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4224 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=0  Evolution=2  Result=0.00039136  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4244 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=0  Evolution=2  Result=0.00082076  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4262 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=0  Evolution=1  Result=0.00137839  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4281 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=0  Evolution=1  Result=0.02689373  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4305 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=5  Age=0  Evolution=1  Result=0.85227418  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=733.4328 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=2  Result=0.00001012  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0001 Seconds  Run Time=739.4156 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=2  Result=0.00017071  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4176 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=2  Result=0.00028908  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4198 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=2  Result=0.00038970  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4218 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=2  Result=0.00079197  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4238 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=2  Result=0.00117087  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4258 Seconds  TestError=0.00000057
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=6  Age=1  Evolution=1  Result=0.02511588  Best=0.00000936  BestSeed=0  BestGen=5  Time=0.0000 Seconds  Run Time=739.4283 Seconds  TestError=0.00000057
