CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=29  Age=16  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0991 Seconds  Run Time=7.0292 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=30  Age=17  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0993 Seconds  Run Time=7.1285 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=31  Age=18  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0979 Seconds  Run Time=7.2264 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=32  Age=19  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0990 Seconds  Run Time=7.3255 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=33  Age=20  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0991 Seconds  Run Time=7.4246 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=34  Age=21  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0989 Seconds  Run Time=7.5235 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=35  Age=22  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0993 Seconds  Run Time=7.6228 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=36  Age=23  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0987 Seconds  Run Time=7.7215 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=37  Age=24  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0989 Seconds  Run Time=7.8204 Seconds  TestError=0.00000021
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=38  Age=25  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0990 Seconds  Run Time=7.9194 Seconds  TestError=0.00000018
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=39  Age=26  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0990 Seconds  Run Time=8.0184 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=40  Age=27  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0989 Seconds  Run Time=8.1174 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=41  Age=28  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0991 Seconds  Run Time=8.2165 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=42  Age=29  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0984 Seconds  Run Time=8.3149 Seconds  TestError=0.00000021
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=43  Age=30  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0992 Seconds  Run Time=8.4141 Seconds  TestError=0.00000021
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=44  Age=31  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0990 Seconds  Run Time=8.5131 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=0  Generation=45  Age=32  Result=0.00000060  Best=0.00000060  BestGen=13  Time=0.0994 Seconds  Run Time=8.6124 Seconds  TestError=0.00000021
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=0  Age=0 *Result=0.00000632  Best=0.00000632  BestGen=0  Time=8.7140 Seconds  Run Time=8.7140 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=1  Age=0 *Result=0.00000584  Best=0.00000584  BestGen=1  Time=0.3006 Seconds  Run Time=9.0146 Seconds  TestError=0.00000119
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=2  Age=0 *Result=0.00000572  Best=0.00000572  BestGen=2  Time=0.2998 Seconds  Run Time=9.3143 Seconds  TestError=0.00000143
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=3  Age=1  Result=0.00000572  Best=0.00000572  BestGen=2  Time=0.1032 Seconds  Run Time=9.4175 Seconds  TestError=0.00000143
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=4  Age=2  Result=0.00000572  Best=0.00000572  BestGen=2  Time=0.1014 Seconds  Run Time=9.5189 Seconds  TestError=0.00000143
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=5  Age=0 *Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.2946 Seconds  Run Time=9.8136 Seconds  TestError=0.00000143
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=6  Age=1  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.1029 Seconds  Run Time=9.9164 Seconds  TestError=0.00000143
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=7  Age=2  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.1008 Seconds  Run Time=10.0173 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=8  Age=3  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0989 Seconds  Run Time=10.1162 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=9  Age=4  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0984 Seconds  Run Time=10.2146 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=10  Age=5  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0992 Seconds  Run Time=10.3138 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=11  Age=6  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0975 Seconds  Run Time=10.4113 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=12  Age=7  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0990 Seconds  Run Time=10.5103 Seconds  TestError=0.00000060
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=13  Age=8  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0988 Seconds  Run Time=10.6092 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=14  Age=9  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0991 Seconds  Run Time=10.7083 Seconds  TestError=0.00000060
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=15  Age=10  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0994 Seconds  Run Time=10.8076 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=16  Age=11  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0993 Seconds  Run Time=10.9069 Seconds  TestError=0.00000119
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=17  Age=12  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0997 Seconds  Run Time=11.0065 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=18  Age=13  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0979 Seconds  Run Time=11.1044 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=19  Age=14  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.1002 Seconds  Run Time=11.2047 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=20  Age=15  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0985 Seconds  Run Time=11.3032 Seconds  TestError=0.00000107
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=21  Age=16  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0975 Seconds  Run Time=11.4007 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=22  Age=17  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0988 Seconds  Run Time=11.4995 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=23  Age=18  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0987 Seconds  Run Time=11.5982 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=24  Age=19  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0994 Seconds  Run Time=11.6976 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=25  Age=20  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0991 Seconds  Run Time=11.7967 Seconds  TestError=0.00000131
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=26  Age=21  Result=0.00000560  Best=0.00000560  BestGen=5  Time=0.0989 Seconds  Run Time=11.8955 Seconds  TestError=0.00000131
