variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.01689140  Result=0.01689140  Seed=C0A949F2  ResultHash=8A89  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.01689140  Result=0.01689140  Seed=C0A949F6  ResultHash=8A89  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.01689140  Result=0.01689140  Seed=C0A949FA  ResultHash=8A89  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.01689140  Result=0.01689140  Seed=C0A949FE  ResultHash=8A89  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.01689140  Result=0.01689140  Seed=C0A94A02  ResultHash=8A89  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.01689140  Result=0.01689140  Seed=C0A94A06  ResultHash=8A89  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.01689140  Result=0.01689140  Seed=C0A94A0A  ResultHash=8A89  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.01689140  Result=0.01689140  Seed=C0A94A0E  ResultHash=D775  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.01689140  Result=0.01689140  Seed=C0A94A12  ResultHash=46BD  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.01689140  Result=0.01689140  Seed=C0A94A16  ResultHash=BCD0  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.01689140  Result=0.01689140  Seed=C0A94A1A  ResultHash=BCD0  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.01689140  Result=0.01689140  Seed=C0A94A1E  ResultHash=BCD0  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.01689139  Result=0.01689139  Seed=C0A94A22  ResultHash=4340  ProgramHash=CFFD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.01689139  Result=0.01689139  Seed=C0A94A26  ResultHash=E529  ProgramHash=CFFD
